Wavelength (nm)	CHL286_BPhebide a ME, DCM (Falk, 1975).abs
326.35	0.33649
329.56	0.35025
331.49	0.36461
333.48	0.37717
335.55	0.40170
337.96	0.43221
340.29	0.47410
342.82	0.52495
344.89	0.57760
347.10	0.64222
349.88	0.72119
352.59	0.81692
354.87	0.90009
356.73	0.95274
357.87	0.98086
359.08	0.99641
360.00	1.0000
361.15	0.99641
362.29	0.97906
364.43	0.90786
367.49	0.77863
370.13	0.68709
372.83	0.62307
375.98	0.56025
378.69	0.52914
380.46	0.51179
382.18	0.49982
383.61	0.50640
384.96	0.51299
385.89	0.51837
387.00	0.52196
388.88	0.51358
390.24	0.49623
392.16	0.44478
395.37	0.33050
397.65	0.25931
399.51	0.20546
401.36	0.15819
403.07	0.13187
404.71	0.11272
406.35	0.097166
408.56	0.084602
410.56	0.074431
412.70	0.067251
416.40	0.059473
420.83	0.054159
424.75	0.049302
430.02	0.042122
434.73	0.035541
438.01	0.030156
443.00	0.025968
446.56	0.025266
456.05	0.025497
463.89	0.025657
469.24	0.025968
473.87	0.025968
477.15	0.028597
481.29	0.033148
484.85	0.042721
487.92	0.049302
490.56	0.054088
493.69	0.058276
496.90	0.060071
499.18	0.060071
501.39	0.058875
503.32	0.058276
505.31	0.060670
507.95	0.066653
509.73	0.073832
511.44	0.086397
512.59	0.094773
514.08	0.10734
515.37	0.12229
516.79	0.13905
519.29	0.16836
521.78	0.19768
524.30	0.22341
525.95	0.23717
527.84	0.24674
529.41	0.24913
530.98	0.24495
532.41	0.23657
534.69	0.21503
536.54	0.19469
538.97	0.16238
542.10	0.11452
544.88	0.079217
547.17	0.055883
549.45	0.038532
552.37	0.024173
554.72	0.018190
557.43	0.015640
559.93	0.013040
562.71	0.010412
565.49	0.0098139
568.34	0.0092810
571.76	0.0081390
575.76	0.0074207
578.82	0.0068224
582.53	0.0074207
585.67	0.0080190
588.80	0.0092156
591.66	0.0092156
594.37	0.0098139
597.08	0.011011
600.57	0.014002
604.49	0.018190
607.56	0.022977
610.76	0.027165
614.62	0.029531
616.97	0.030755
619.46	0.032549
621.82	0.034034
625.31	0.034943
628.52	0.033415
631.58	0.031951
634.36	0.030156
637.22	0.030156
639.14	0.030755
641.35	0.031353
643.85	0.033434
647.06	0.036738
650.19	0.042122
653.97	0.049302
657.89	0.056481
661.89	0.066054
665.31	0.075627
667.93	0.082807
671.01	0.093576
673.08	0.097764
676.07	0.10255
680.35	0.10554
683.20	0.10494
686.98	0.10255
690.41	0.099559
693.26	0.097260
696.32	0.094174
699.75	0.089986
702.24	0.089388
704.81	0.090585
706.95	0.094174
709.23	0.099559
711.65	0.10554
713.72	0.11452
716.29	0.12588
719.00	0.14383
721.21	0.16238
724.20	0.18930
727.41	0.22221
730.90	0.27008
734.11	0.31674
737.89	0.37119
740.89	0.41666
744.45	0.46273
746.87	0.49085
748.30	0.50521
750.01	0.51717
751.65	0.52256
753.00	0.52495
754.94	0.52136
756.78	0.51299
758.57	0.49743
760.56	0.47170
763.13	0.42444
766.41	0.35384
769.69	0.27905
772.90	0.20187
775.48	0.14982
777.82	0.10853
780.24	0.079217
782.67	0.055285
785.23	0.039131
787.23	0.027763
789.68	0.016994
791.93	0.010412
794.57	0.0068224
796.78	0.0044292
800.21	0.0025198
803.63	0.0017438
807.48	0.0014377
810.47	0.0014377
814.11	0.0014377
818.81	0.0014377
849.50	0.0014377
