Wavelength (nm)	CHL287_BPhebide a ME, Pyr (Scheer, 1978).abs
347.54	0.74848
348.40	0.80785
349.08	0.86112
349.79	0.90367
350.45	0.94572
351.00	0.96764
351.85	0.98522
352.55	0.99389
353.50	1.0000
354.35	0.99618
355.38	0.97911
356.60	0.93476
358.85	0.84404
360.50	0.77371
362.12	0.71356
363.70	0.66769
365.48	0.62309
367.09	0.58487
368.11	0.56295
369.14	0.54715
371.33	0.52702
372.87	0.51734
374.03	0.51428
375.64	0.51734
376.92	0.52396
378.02	0.53492
379.24	0.54894
380.52	0.56423
381.55	0.57442
382.50	0.57722
383.55	0.57366
384.35	0.56193
386.12	0.51708
388.50	0.44190
390.68	0.36978
392.74	0.29639
394.22	0.24109
395.57	0.19496
396.92	0.15827
398.14	0.13762
399.69	0.11775
401.04	0.10322
403.54	0.091498
407.21	0.079775
411.58	0.070091
416.21	0.060407
422.06	0.047410
426.44	0.040020
431.26	0.029827
434.79	0.022436
438.46	0.017594
441.87	0.014536
445.47	0.013517
448.88	0.013772
451.58	0.015301
453.70	0.017826
455.88	0.017339
458.39	0.014791
461.16	0.011223
463.34	0.0099490
465.72	0.010459
468.94	0.010713
472.47	0.013007
475.62	0.015810
478.71	0.020397
481.90	0.026277
484.69	0.031101
487.97	0.036707
491.20	0.044607
493.95	0.049959
497.49	0.060662
499.80	0.067288
502.40	0.076207
503.72	0.083598
506.55	0.10195
507.84	0.11418
510.22	0.14221
512.08	0.16770
514.27	0.19547
517.48	0.23905
518.51	0.25230
520.06	0.26428
521.60	0.27167
523.21	0.27294
524.81	0.27142
526.42	0.26734
528.22	0.25536
530.22	0.22707
532.47	0.18502
534.52	0.14298
536.39	0.11061
537.64	0.090733
539.41	0.070601
541.28	0.054801
543.59	0.042823
546.81	0.034668
549.89	0.028807
553.75	0.027788
558.38	0.027278
563.33	0.027278
568.80	0.028807
574.39	0.029317
578.63	0.031822
585.51	0.033716
590.72	0.034416
595.67	0.036244
600.43	0.038236
605.25	0.039510
610.72	0.040530
616.51	0.041549
622.10	0.042059
626.15	0.040785
630.01	0.040020
633.55	0.039001
638.50	0.038491
642.74	0.037981
645.12	0.039001
648.79	0.042314
652.58	0.049959
655.79	0.059133
658.82	0.069327
661.90	0.079266
665.00	0.086911
669.10	0.098888
671.55	0.10500
673.22	0.10832
675.60	0.11189
678.49	0.11341
681.51	0.11189
684.86	0.10883
687.62	0.10373
690.58	0.098633
692.70	0.094811
695.08	0.093027
697.98	0.091753
701.13	0.092008
703.38	0.095320
705.63	0.099908
707.49	0.10297
709.68	0.10985
711.41	0.11545
713.22	0.12284
715.08	0.13355
717.72	0.15291
720.10	0.17407
722.92	0.20974
725.56	0.25842
728.58	0.31958
731.86	0.38711
734.88	0.46535
736.62	0.50740
738.03	0.53874
739.92	0.57569
741.40	0.60628
743.58	0.63431
744.98	0.64832
746.00	0.65113
747.29	0.64883
748.84	0.63609
751.35	0.59736
753.53	0.54435
756.55	0.47121
759.32	0.39807
762.73	0.29996
766.39	0.18273
767.48	0.15190
769.47	0.11800
770.88	0.097359
771.79	0.085637
772.89	0.074678
774.11	0.068053
775.78	0.055056
778.35	0.039510
