Wavelength (nm)	CHL289_Zn Bphe a, Et2O (Wakao, 1996).abs
301.37	0.54640
302.14	0.52042
303.43	0.49156
304.98	0.45909
306.53	0.42373
307.82	0.39703
309.37	0.37538
310.66	0.35951
312.72	0.34652
315.30	0.33353
318.14	0.32848
321.76	0.33281
325.63	0.34219
329.24	0.35878
332.59	0.38693
335.00	0.42156
337.24	0.45836
339.04	0.50094
341.37	0.55001
342.92	0.59908
344.46	0.64526
346.02	0.69144
347.56	0.73690
348.88	0.76364
350.31	0.78418
351.21	0.79521
353.00	0.80172
354.61	0.79270
355.87	0.77567
357.48	0.74209
359.59	0.68497
361.85	0.62984
363.53	0.58625
364.83	0.55518
366.27	0.52762
367.87	0.50557
369.13	0.49254
370.74	0.48252
372.89	0.47650
375.58	0.47300
378.63	0.46999
381.31	0.47149
383.46	0.48252
384.75	0.49304
385.64	0.50515
386.69	0.51601
387.29	0.52854
388.63	0.53814
390.12	0.54190
391.62	0.53689
392.81	0.52185
393.86	0.49388
395.23	0.45629
396.40	0.40368
397.89	0.34438
399.83	0.26295
401.47	0.20115
402.22	0.17108
403.12	0.14435
404.31	0.12556
405.06	0.11011
406.10	0.098001
407.45	0.086308
409.09	0.077121
411.48	0.068770
413.87	0.062088
417.15	0.054989
420.44	0.049978
423.87	0.045802
427.31	0.039956
431.04	0.036197
434.92	0.033692
438.36	0.030769
441.64	0.030351
445.67	0.029516
448.81	0.027011
452.25	0.022417
456.28	0.020329
460.16	0.017824
463.89	0.014900
468.82	0.014065
474.64	0.012812
481.81	0.011977
487.79	0.010725
492.56	0.010725
497.19	0.011142
501.37	0.012812
505.26	0.014900
508.99	0.019076
511.38	0.023252
513.92	0.027428
516.31	0.030769
519.15	0.033692
521.83	0.035362
524.67	0.037868
527.21	0.039956
529.60	0.045384
531.84	0.050396
533.93	0.057912
535.87	0.066264
537.51	0.076286
539.45	0.090067
541.10	0.10176
542.59	0.11679
544.38	0.13558
546.47	0.15521
548.41	0.17651
550.36	0.19655
552.00	0.21159
553.19	0.22286
554.69	0.23205
556.33	0.23873
558.42	0.24123
560.51	0.23873
561.70	0.23038
563.05	0.22035
564.54	0.20657
566.18	0.18653
567.83	0.16690
569.62	0.14435
571.26	0.12180
572.61	0.10259
573.95	0.087143
575.14	0.074198
576.49	0.061670
577.83	0.051648
579.18	0.042461
581.12	0.033692
583.21	0.024923
585.30	0.018659
587.84	0.014483
590.67	0.0098893
593.81	0.0065486
598.14	0.0061310
602.62	0.0057134
607.10	0.0065486
610.98	0.0082190
614.27	0.010725
618.15	0.012395
622.18	0.014900
625.62	0.016153
630.25	0.016571
634.13	0.018241
638.76	0.019494
643.39	0.020747
647.27	0.021999
651.15	0.024505
654.59	0.026593
657.57	0.029934
660.56	0.033274
663.25	0.037033
665.79	0.042879
668.77	0.049978
671.61	0.057495
673.70	0.064176
676.39	0.071275
678.78	0.077957
681.32	0.084638
683.71	0.091319
685.80	0.095913
687.89	0.10134
691.17	0.10468
695.06	0.10677
698.04	0.10802
701.18	0.10969
704.31	0.10928
708.05	0.11011
710.89	0.11345
713.87	0.11637
715.66	0.12306
718.05	0.13350
720.59	0.14435
722.83	0.15730
724.92	0.17317
727.31	0.19446
729.40	0.21743
732.84	0.26545
735.08	0.30680
737.77	0.36442
740.45	0.42038
744.93	0.52436
748.99	0.63878
752.10	0.74318
753.86	0.80974
755.12	0.85685
756.55	0.89643
757.80	0.93402
758.97	0.96032
760.31	0.98413
761.66	0.99540
763.00	1.00000
764.64	0.99498
765.99	0.98371
766.88	0.97035
767.80	0.93861
769.22	0.88766
770.80	0.83129
772.11	0.77700
773.98	0.70392
775.58	0.62124
777.49	0.52227
779.28	0.40576
780.47	0.32600
781.82	0.26545
783.46	0.21868
784.51	0.18277
785.55	0.14769
786.75	0.12389
787.64	0.10385
788.69	0.086308
789.58	0.073363
790.63	0.059165
791.97	0.046637
793.61	0.035780
795.85	0.026593
798.09	0.018659
800.63	0.012395
803.47	0.0086366
807.20	0.0065486
810.79	0.0045296
815.27	0.0031626
820.94	0.0018537
825.87	0.0015375
831.25	0.0015317
837.59	0.0015000
841.60	0.0015000
