Wavelength (nm)	CHL290_Zn Bphe a, Tol (Musewald, 1998).abs
300.82	0.19630
304.18	0.19713
306.81	0.19769
309.73	0.19906
313.09	0.20680
315.86	0.22183
318.64	0.24004
322.73	0.27100
326.38	0.30197
329.59	0.33293
332.37	0.36890
336.31	0.42582
339.74	0.48501
342.17	0.54193
345.22	0.60477
347.34	0.64165
348.87	0.67034
350.77	0.69493
351.64	0.70449
352.96	0.71177
355.00	0.71452
356.61	0.71132
357.78	0.70312
359.42	0.69037
361.58	0.65303
364.20	0.59839
365.96	0.56242
367.56	0.53191
369.46	0.50687
371.21	0.49139
373.11	0.48092
376.03	0.47454
379.83	0.47727
381.88	0.48183
384.51	0.49275
386.15	0.50550
387.72	0.52042
389.76	0.54056
391.08	0.55286
392.25	0.56151
393.71	0.56288
394.73	0.56014
395.75	0.54694
396.92	0.52736
398.39	0.49913
399.40	0.46817
400.86	0.41990
402.17	0.36936
403.35	0.32747
404.81	0.28057
406.36	0.23002
407.73	0.19542
409.63	0.16354
411.23	0.13941
414.45	0.11072
417.95	0.092965
422.19	0.080216
428.90	0.068832
435.04	0.060181
441.90	0.050163
447.45	0.041057
453.29	0.033771
461.18	0.028307
471.40	0.025575
479.88	0.022843
487.76	0.020811
495.50	0.021022
501.20	0.022843
507.92	0.030128
513.18	0.037869
517.98	0.044244
520.95	0.050619
525.15	0.061547
529.83	0.081582
533.04	0.10116
535.81	0.12256
538.73	0.14260
541.22	0.16400
543.85	0.18312
546.77	0.19997
548.52	0.20862
550.71	0.21090
553.05	0.20862
555.68	0.19724
559.18	0.17311
563.42	0.14351
566.78	0.11573
569.84	0.092965
572.53	0.073841
574.95	0.060636
579.19	0.042423
583.13	0.030584
586.93	0.023298
590.73	0.018290
596.28	0.014647
602.41	0.013281
608.69	0.012825
615.56	0.013465
621.69	0.015102
629.43	0.017379
636.59	0.020510
644.77	0.023754
651.78	0.026941
657.77	0.031950
663.17	0.037650
669.74	0.045789
676.02	0.056993
680.40	0.066556
684.78	0.077484
689.17	0.087957
692.61	0.096153
695.74	0.10025
700.12	0.10389
705.52	0.10845
709.76	0.11072
713.12	0.11216
717.35	0.11437
721.24	0.11892
724.01	0.12575
726.99	0.13349
729.62	0.14624
732.54	0.16218
736.41	0.18768
739.48	0.21909
741.53	0.25780
744.23	0.30197
747.73	0.36662
752.55	0.47909
755.62	0.57927
758.44	0.67671
761.06	0.76186
763.65	0.83563
766.13	0.89710
768.47	0.95310
770.52	0.98316
771.68	0.99682
773.00	1.0000
774.88	0.99591
776.21	0.98042
778.69	0.91622
781.32	0.82697
783.31	0.73272
785.12	0.63710
787.60	0.51734
789.65	0.40624
792.13	0.29605
794.03	0.21955
795.78	0.17083
797.39	0.14123
799.29	0.11118
801.77	0.078394
804.84	0.055172
808.93	0.036503
811.35	0.026941
814.48	0.020566
820.17	0.013679
824.99	0.010204
832.15	0.0064507
838.87	0.0033092
847.63	0.0017325
854.49	0.0011158
861.65	0.00075008
868.95	0.00040260
875.67	0.00040260
881.95	0.00040260
