Wavelength (nm)	CHL292_Ni Bphe a, Pyr (Hartwich, 1998).abs
302.16	0.33670
306.08	0.33978
309.83	0.34242
314.46	0.34726
318.21	0.35519
322.13	0.36400
325.34	0.37104
327.48	0.38029
329.98	0.39174
331.94	0.40230
333.98	0.41771
337.47	0.43885
341.21	0.45954
344.42	0.48156
347.10	0.50225
349.42	0.52471
351.63	0.54760
353.69	0.57270
355.30	0.59119
356.91	0.61277
358.87	0.64711
360.05	0.66296
361.26	0.67881
362.61	0.68806
364.22	0.69687
366.00	0.69995
367.78	0.69599
369.75	0.68586
371.53	0.66913
373.49	0.64579
375.10	0.62290
377.41	0.59604
379.02	0.57975
380.62	0.56257
382.94	0.54452
385.44	0.52911
388.29	0.51546
391.68	0.50269
393.64	0.49168
396.14	0.47759
398.10	0.46064
400.60	0.43709
404.36	0.39262
406.62	0.35299
408.63	0.32173
411.30	0.28562
413.79	0.24335
415.76	0.21385
417.72	0.18831
419.86	0.16850
422.35	0.15045
424.67	0.13328
427.35	0.12139
430.20	0.11214
432.88	0.10245
436.44	0.094529
441.08	0.086163
445.89	0.077357
451.24	0.068111
457.49	0.056663
461.77	0.050939
466.94	0.043894
472.64	0.038170
477.99	0.033327
484.41	0.030000
490.48	0.027162
496.36	0.025842
502.78	0.025842
508.49	0.027603
514.73	0.029804
521.15	0.032886
526.14	0.036409
532.03	0.042133
537.56	0.046536
542.54	0.051379
548.26	0.058424
553.96	0.064478
558.07	0.072514
561.63	0.079999
564.66	0.090566
567.34	0.10245
570.37	0.11919
572.69	0.13372
574.65	0.15045
577.33	0.17290
579.51	0.18875
581.43	0.20372
583.03	0.21781
584.99	0.22838
587.13	0.23939
588.92	0.24732
591.41	0.25172
593.58	0.24732
595.87	0.24071
597.66	0.22882
600.69	0.20505
602.47	0.18479
604.26	0.16498
606.75	0.14472
608.71	0.12887
612.11	0.10818
614.78	0.090126
617.10	0.079559
619.24	0.072954
622.62	0.066350
626.01	0.061947
629.04	0.060185
633.32	0.059745
636.71	0.061506
639.92	0.063267
645.09	0.065469
649.37	0.068991
654.19	0.072954
657.22	0.075596
660.07	0.080439
664.18	0.087484
667.03	0.094529
669.88	0.10201
673.27	0.11258
676.66	0.12139
680.94	0.13284
684.15	0.14296
687.36	0.15221
690.93	0.16102
694.49	0.17202
698.24	0.18259
701.27	0.18831
705.73	0.19404
709.47	0.19888
712.86	0.20284
716.43	0.20813
719.10	0.21517
722.31	0.22618
724.99	0.23895
727.66	0.25480
729.80	0.27065
732.48	0.29223
735.15	0.32437
738.18	0.36268
740.86	0.40186
743.31	0.44986
746.39	0.50445
748.35	0.54980
750.75	0.60748
752.35	0.64755
754.23	0.69643
756.91	0.76467
759.41	0.82191
761.40	0.86330
763.08	0.89985
765.11	0.93771
766.36	0.96105
767.79	0.97910
768.53	0.99230
771.00	1.0000
773.14	0.99456
775.10	0.98571
776.50	0.96854
777.77	0.94784
779.02	0.91174
780.18	0.87783
781.69	0.83380
782.95	0.78581
784.73	0.71580
786.51	0.63214
788.12	0.55905
789.72	0.48244
791.33	0.40891
793.47	0.32437
795.25	0.26625
797.03	0.22178
799.00	0.17995
801.14	0.14649
803.45	0.11522
805.59	0.092768
807.20	0.073835
809.34	0.062387
811.84	0.049178
815.05	0.038610
817.72	0.032006
821.64	0.025401
826.10	0.020118
830.92	0.015714
836.27	0.012632
842.87	0.0095502
849.11	0.0073487
855.17	0.0055875
861.41	0.0038263
868.37	0.0031165
876.04	0.0029456
881.74	0.0029360
889.77	0.0029360
897.97	0.0029360
