Wavelength (nm)	CHL294_Pd Bphe a, Tol (Musewald, 1998).abs
300.53	0.16297
304.48	0.16479
308.42	0.17250
311.93	0.18476
315.29	0.20246
317.96	0.22289
320.41	0.24513
322.75	0.26783
324.35	0.29053
325.59	0.30596
326.84	0.32684
328.30	0.34863
330.20	0.37814
331.52	0.39857
332.39	0.40628
334.00	0.40901
335.32	0.40583
336.47	0.39176
337.67	0.37178
338.68	0.35181
340.73	0.32367
342.92	0.29779
344.82	0.27555
346.72	0.25648
348.91	0.24059
350.67	0.23197
352.71	0.22244
354.61	0.21971
356.95	0.22244
359.44	0.22743
362.07	0.23515
363.09	0.23742
364.99	0.23969
367.18	0.24150
369.82	0.24377
372.74	0.24877
375.52	0.26102
378.15	0.27600
381.36	0.29779
383.26	0.31413
384.43	0.32911
385.95	0.34455
387.36	0.34727
388.83	0.34500
390.25	0.33229
391.88	0.29961
393.69	0.26148
395.69	0.22198
397.88	0.18340
399.93	0.15026
401.87	0.12211
404.02	0.10305
406.07	0.088977
408.55	0.077628
411.77	0.067642
416.44	0.059924
419.37	0.056747
424.63	0.052661
429.16	0.046306
433.40	0.039497
437.49	0.034504
442.32	0.029815
448.16	0.025541
454.30	0.024063
461.90	0.023124
470.82	0.022247
476.38	0.021339
483.10	0.022701
488.95	0.026333
493.04	0.034504
497.86	0.036773
501.81	0.040405
505.76	0.045398
509.12	0.052661
514.38	0.069457
517.60	0.083984
521.25	0.10441
524.05	0.12121
527.01	0.13528
530.17	0.14754
532.51	0.15071
534.39	0.14862
536.68	0.14215
538.09	0.13755
541.28	0.11576
543.32	0.097148
545.81	0.078536
548.44	0.056747
550.63	0.039043
552.39	0.030418
555.46	0.020431
558.53	0.014530
562.47	0.0099906
566.27	0.0072669
570.80	0.0059051
575.34	0.0049972
580.45	0.0054511
585.86	0.0054239
591.41	0.0054511
597.55	0.0063590
603.40	0.0077208
608.66	0.0095366
615.24	0.011352
622.40	0.013168
629.42	0.015892
636.44	0.017708
642.14	0.019523
648.13	0.021727
653.25	0.024517
657.48	0.025879
662.02	0.028602
668.16	0.033596
672.39	0.040859
675.90	0.048576
679.70	0.058109
683.36	0.066446
687.16	0.073997
690.33	0.080352
693.88	0.083076
697.10	0.084437
701.34	0.083530
704.85	0.081260
709.23	0.079898
713.03	0.083530
716.14	0.088977
719.61	0.095332
722.67	0.10396
725.60	0.11304
728.96	0.12529
732.47	0.14754
734.62	0.16887
737.00	0.19656
738.76	0.22561
741.53	0.27691
743.14	0.31504
745.34	0.37133
747.98	0.46938
750.45	0.55836
752.64	0.64869
754.84	0.76490
756.59	0.84888
757.81	0.90472
758.78	0.94421
759.66	0.98279
760.54	0.99777
762.00	1.0000
763.10	0.99641
763.87	0.98279
765.24	0.93649
766.93	0.86658
768.17	0.81665
769.53	0.75718
771.56	0.67638
773.92	0.58378
776.47	0.47120
778.08	0.38540
779.83	0.30097
782.61	0.20065
784.22	0.15798
785.97	0.12166
787.73	0.093970
789.19	0.077174
790.36	0.059017
792.84	0.042675
794.60	0.033596
797.23	0.024517
800.00	0.019523
803.51	0.014530
806.87	0.011806
810.97	0.0090827
815.94	0.0068130
820.76	0.0054511
826.90	0.0040893
832.75	0.0026730
839.76	0.0017215
846.20	0.0014257
853.36	0.0013656
859.50	0.0013656
