Wavelength nm)	CHL295_Pd Bphebide a (Tookad), DCM (Brandis, 2005).abs
300.40	0.19135
304.40	0.19485
307.95	0.20099
310.91	0.21459
314.02	0.23432
317.43	0.26063
319.95	0.29002
323.21	0.32861
325.14	0.36150
326.62	0.38956
328.10	0.41675
329.73	0.44475
331.65	0.45052
333.14	0.44613
335.51	0.42289
338.02	0.38430
340.54	0.34439
342.20	0.31940
344.25	0.29879
346.80	0.27949
349.73	0.26327
352.99	0.24485
355.95	0.23388
359.65	0.22687
363.36	0.22994
367.06	0.23695
370.47	0.24441
373.73	0.25362
376.40	0.26327
378.47	0.27818
380.25	0.29396
382.00	0.31194
383.36	0.32334
385.28	0.33650
387.36	0.34045
389.20	0.33606
390.77	0.32203
392.69	0.28782
394.45	0.25099
396.10	0.21678
398.62	0.17600
400.84	0.14048
402.77	0.11460
405.58	0.091361
408.99	0.072504
413.58	0.059348
418.91	0.049700
426.02	0.040930
432.84	0.034790
438.91	0.029966
445.14	0.026897
452.25	0.025142
459.36	0.023247
466.77	0.021824
474.62	0.022427
481.28	0.024704
489.14	0.028651
495.36	0.033913
500.54	0.040930
505.43	0.048385
509.43	0.056717
512.84	0.068119
516.84	0.085660
519.80	0.10364
522.91	0.12118
526.10	0.13960
528.99	0.15363
532.40	0.16635
535.21	0.16898
537.73	0.16547
539.65	0.15626
541.73	0.13872
544.25	0.11285
546.32	0.089168
548.30	0.069434
550.60	0.052770
552.99	0.037860
555.05	0.025581
557.73	0.015056
561.88	0.0084783
566.47	0.0044093
572.10	0.0038409
577.73	0.0036544
587.36	0.0052847
597.43	0.0067242
610.17	0.0093553
623.36	0.013302
633.58	0.017249
643.95	0.023388
651.06	0.028690
658.17	0.035667
664.54	0.043122
670.47	0.052770
676.99	0.067242
681.88	0.080398
686.02	0.092238
690.47	0.10013
695.06	0.10583
699.95	0.10890
704.99	0.10978
709.43	0.11241
713.73	0.11943
718.02	0.13346
721.28	0.14881
724.40	0.16635
727.51	0.19222
731.06	0.23081
734.17	0.27423
736.99	0.32905
741.95	0.43692
745.43	0.54568
749.58	0.68426
752.40	0.77591
754.47	0.84827
756.10	0.89519
757.58	0.93115
759.85	0.97676
761.14	0.99356
762.77	1.00000
764.40	0.99518
766.05	0.97807
768.00	0.93290
770.25	0.85090
772.54	0.73995
776.25	0.57068
780.10	0.39746
782.02	0.29966
783.85	0.22336
785.58	0.16460
786.91	0.12907
788.69	0.098377
790.91	0.069434
792.69	0.051454
795.21	0.035229
798.02	0.023827
801.58	0.014637
804.99	0.0091067
807.90	0.0065482
812.47	0.0048385
820.10	0.0040930
826.62	0.0040572
850.00	0.0040572
