Wavelength (nm)	CHL297_3-(CH3)(OH)CH-13(2)-OH BChl a, Et2O (Struck, 1990).abs
300.53	0.20746
305.16	0.22841
308.73	0.25408
312.94	0.29376
317.57	0.33344
320.10	0.36171
323.67	0.40090
326.62	0.44140
330.20	0.50105
333.70	0.57251
336.00	0.63401
337.98	0.70444
339.40	0.77834
341.00	0.85274
342.15	0.91275
343.50	0.97078
345.00	0.99658
346.61	1.0000
348.29	0.99608
349.76	0.97922
351.40	0.94747
353.97	0.88051
356.28	0.81951
358.39	0.76743
360.45	0.73469
363.02	0.71634
366.17	0.69998
368.07	0.69303
371.01	0.68857
374.59	0.68410
377.54	0.68906
380.06	0.70196
381.50	0.71783
382.80	0.73073
384.27	0.74362
385.53	0.75020
387.21	0.74461
388.27	0.73370
389.95	0.68609
392.26	0.60227
395.63	0.46885
398.58	0.38205
400.26	0.31856
401.73	0.28434
403.63	0.26103
406.60	0.23920
409.52	0.22036
413.51	0.20796
418.14	0.19407
422.80	0.18216
428.24	0.15687
432.10	0.12116
434.76	0.086935
437.50	0.067591
440.87	0.053704
444.44	0.044776
448.65	0.035352
455.59	0.028904
462.54	0.022953
468.22	0.019481
474.11	0.018985
480.21	0.019481
485.89	0.020473
492.84	0.021465
498.52	0.025433
504.20	0.032376
508.41	0.040808
512.61	0.051224
517.03	0.058664
522.71	0.060648
528.18	0.063128
532.18	0.071063
535.13	0.081975
537.86	0.10777
539.97	0.14001
542.12	0.17770
543.40	0.21292
545.44	0.26946
547.05	0.31063
549.00	0.33939
550.28	0.34485
552.17	0.34187
553.22	0.32600
555.35	0.28037
557.85	0.22780
561.22	0.16778
564.37	0.12265
567.74	0.087927
571.53	0.065607
575.31	0.054696
579.10	0.048248
583.73	0.041304
587.94	0.039816
592.15	0.041800
595.30	0.045768
599.30	0.049736
602.88	0.053704
609.40	0.058664
616.55	0.063624
622.65	0.067660
628.76	0.071559
633.38	0.075527
638.22	0.085943
641.59	0.10231
643.48	0.12017
646.22	0.14397
649.16	0.16927
652.70	0.18960
656.11	0.19804
660.74	0.20151
664.31	0.19853
668.10	0.19208
672.52	0.18266
676.94	0.17373
681.36	0.16927
686.19	0.16790
690.19	0.17274
693.98	0.18514
697.98	0.20746
700.92	0.23524
704.08	0.28186
709.00	0.37858
712.50	0.48174
716.95	0.62955
720.07	0.73618
721.66	0.79223
724.30	0.86018
725.40	0.87804
727.35	0.88353
729.10	0.87704
730.59	0.85522
733.00	0.79818
736.05	0.69154
738.58	0.58639
740.27	0.49860
743.21	0.38006
745.50	0.29922
748.47	0.21143
750.79	0.15141
752.60	0.10826
754.58	0.077015
757.45	0.050232
760.89	0.032872
764.46	0.020969
769.09	0.014025
774.35	0.0088106
778.50	0.0065240
782.98	0.0042510
788.45	0.0031131
794.97	0.0026171
802.13	0.0016251
810.96	0.0016251
820.85	0.0016251
