Wavelength (nm)	CHL302_BChl e6, Et2O (Nichiporovich, 2006).abs
302.71	0.17753
304.41	0.18417
306.91	0.19157
310.04	0.19821
312.55	0.20333
315.59	0.21017
319.07	0.22193
321.49	0.23332
323.63	0.24831
325.33	0.26311
327.48	0.28133
330.34	0.31814
333.65	0.36331
336.31	0.41055
338.76	0.46329
341.59	0.53953
344.03	0.62643
345.70	0.69447
347.51	0.77235
349.18	0.85050
350.73	0.91007
352.15	0.95571
353.17	0.98194
353.69	0.99069
354.33	0.99806
355.88	1.0000
357.17	0.99506
358.07	0.98112
360.10	0.94013
362.32	0.89723
364.40	0.86225
365.92	0.83875
367.80	0.81361
369.53	0.79558
370.81	0.78219
371.71	0.77590
373.00	0.76934
374.55	0.76688
376.22	0.77016
378.26	0.78087
380.19	0.79248
381.91	0.80159
382.98	0.80318
384.37	0.80090
385.02	0.79339
386.31	0.77198
388.24	0.72325
390.51	0.64583
392.80	0.57095
395.18	0.50493
397.54	0.44657
399.60	0.40394
402.64	0.34852
405.57	0.29802
407.89	0.26425
409.90	0.23572
412.22	0.21243
415.31	0.19046
418.40	0.17177
422.88	0.14980
427.51	0.13078
431.22	0.11668
435.08	0.10291
438.94	0.091106
442.81	0.080285
446.51	0.073071
449.76	0.070181
453.00	0.067496
456.71	0.063562
460.26	0.061266
463.82	0.060610
466.60	0.059954
470.77	0.059832
476.02	0.060930
479.88	0.063889
482.82	0.066859
485.76	0.068808
489.15	0.069136
493.48	0.071759
497.65	0.077006
501.05	0.089467
503.83	0.10652
506.92	0.13406
509.24	0.15735
511.40	0.18063
513.72	0.20752
515.88	0.22227
517.89	0.22490
519.59	0.22129
521.44	0.21112
523.38	0.19374
525.46	0.16817
527.78	0.13898
530.56	0.11111
532.72	0.093074
534.42	0.079629
536.58	0.068808
538.59	0.059299
541.53	0.051429
544.15	0.045526
548.32	0.039952
553.27	0.033721
558.83	0.028475
565.32	0.025487
572.27	0.024540
579.22	0.023849
585.71	0.024212
592.20	0.024388
597.92	0.025523
603.32	0.027819
608.73	0.030114
613.98	0.034705
619.08	0.037656
624.80	0.041263
629.59	0.041263
633.14	0.040280
637.16	0.038968
641.02	0.038312
644.42	0.037656
647.97	0.038798
651.37	0.042575
656.32	0.050445
660.80	0.060282
665.20	0.072087
669.76	0.088155
673.93	0.10619
677.17	0.11767
679.33	0.12423
681.65	0.13013
684.12	0.13242
686.75	0.13013
689.69	0.12423
692.31	0.11603
694.78	0.10849
697.41	0.10127
700.35	0.095697
703.28	0.092176
707.61	0.091434
711.93	0.093402
715.33	0.097665
718.11	0.10258
720.28	0.11078
722.59	0.12521
724.91	0.14620
727.38	0.18128
730.78	0.24523
733.72	0.31933
736.65	0.39935
739.28	0.47706
740.67	0.52330
742.37	0.56134
743.91	0.59216
745.61	0.60888
747.00	0.61151
748.39	0.60856
750.09	0.59347
751.95	0.55871
754.88	0.47477
757.51	0.40099
759.98	0.32425
761.73	0.27572
763.84	0.22358
765.70	0.18194
768.01	0.13833
770.18	0.10619
773.52	0.067824
775.89	0.048805
778.06	0.035361
780.99	0.022900
784.85	0.013391
789.80	0.0074881
794.28	0.0048648
798.14	0.0028973
802.16	0.0022415
804.85	0.0022000
