Wavelength (nm)	CHL303_BChl e6 ME, Et2O (Nichiporovich, 2006).abs
300.17	0.19411
306.20	0.20796
311.30	0.22576
317.32	0.24654
321.96	0.26830
324.74	0.28808
327.98	0.31842
331.84	0.36294
336.01	0.42954
340.34	0.51165
342.70	0.56606
345.28	0.64256
347.29	0.71741
349.15	0.80051
350.80	0.87371
352.38	0.93241
353.63	0.97362
354.24	0.98813
354.91	0.99783
356.10	1.0000
357.06	0.99783
358.12	0.98890
360.00	0.94768
361.71	0.90125
363.50	0.84546
365.50	0.78886
367.00	0.75781
368.17	0.73747
369.46	0.72208
370.75	0.70587
372.29	0.69378
373.84	0.68334
376.29	0.67949
378.09	0.68389
379.12	0.69241
380.53	0.70175
381.69	0.70972
383.75	0.71329
384.78	0.70917
385.94	0.69461
387.36	0.66850
388.68	0.63415
390.40	0.57700
392.12	0.50995
393.41	0.45554
395.11	0.39426
397.00	0.32886
398.82	0.27610
400.48	0.24285
401.91	0.22005
404.35	0.19367
407.31	0.16097
409.76	0.13761
411.82	0.11920
414.26	0.10134
417.10	0.085126
420.06	0.070287
422.89	0.057647
426.37	0.045556
428.81	0.037038
431.26	0.030168
435.25	0.024123
440.14	0.020001
445.29	0.016429
450.18	0.015330
455.33	0.013681
461.38	0.014231
467.18	0.014780
471.17	0.017253
475.68	0.022199
478.12	0.029619
480.70	0.039236
482.11	0.045556
484.94	0.053251
488.55	0.057098
492.54	0.063143
495.76	0.070562
498.08	0.084302
500.27	0.10848
502.84	0.14008
506.83	0.19064
509.41	0.22692
511.59	0.24972
513.14	0.26264
514.81	0.27500
516.23	0.28435
517.77	0.28655
519.32	0.28352
520.99	0.27391
523.44	0.25330
525.89	0.22389
528.33	0.19092
530.26	0.16536
533.22	0.13431
536.57	0.10683
539.53	0.086775
543.14	0.066990
546.61	0.049129
550.09	0.034290
555.75	0.018902
562.19	0.0090097
568.76	0.0046131
574.68	0.0024148
582.28	0.0015904
589.36	0.0013156
595.28	0.0013156
601.46	0.0024148
608.41	0.0057122
614.08	0.0095593
618.97	0.013406
623.09	0.015879
627.72	0.016429
633.00	0.016704
638.15	0.015330
642.78	0.014780
647.16	0.015055
652.05	0.016429
655.92	0.020276
661.32	0.029069
665.70	0.039511
669.82	0.051877
673.94	0.063692
677.16	0.074409
681.15	0.084851
683.60	0.088423
686.43	0.090622
690.16	0.089522
694.15	0.085126
698.14	0.082928
702.01	0.083202
705.23	0.086225
709.35	0.092270
712.82	0.099140
716.30	0.10903
718.49	0.11838
720.42	0.12854
723.25	0.14860
726.21	0.17663
729.46	0.22362
731.60	0.27033
734.32	0.33491
736.25	0.39124
739.09	0.46351
741.27	0.50830
743.46	0.54182
745.39	0.56353
746.94	0.57425
749.00	0.57700
750.31	0.57315
751.70	0.56216
753.81	0.53523
755.82	0.50418
758.78	0.45526
761.62	0.39948
764.19	0.33711
766.89	0.27198
769.08	0.22334
771.80	0.16481
773.33	0.13789
775.00	0.11178
776.94	0.088973
779.25	0.066440
781.18	0.050228
783.24	0.039511
785.68	0.031542
789.55	0.024398
793.93	0.020551
797.66	0.016238
800.88	0.014350
803.97	0.013131
806.68	0.011607
810.00	0.011546
