Wavelength (nm)	CHL003_Chl a, 90Ace (Clementson, 2019).abs
320.60	0.43789
321.40	0.37024
322.30	0.38037
323.10	0.37500
324.00	0.37182
324.90	0.36038
325.70	0.35464
326.60	0.33567
327.40	0.33673
328.30	0.33578
329.10	0.33076
330.00	0.32687
330.80	0.32518
331.70	0.32691
332.50	0.32577
333.40	0.31925
334.20	0.32007
335.10	0.31286
335.90	0.31346
336.80	0.30050
337.70	0.30077
338.50	0.29744
339.40	0.29690
340.20	0.28846
341.10	0.28530
341.90	0.28308
342.80	0.29054
343.60	0.28509
344.50	0.27971
345.30	0.28802
346.20	0.28434
347.00	0.28107
347.90	0.28295
348.70	0.29194
349.60	0.28711
350.50	0.29531
351.30	0.30064
352.20	0.30817
353.00	0.31107
353.90	0.32098
354.70	0.32229
355.60	0.33108
356.40	0.33533
357.30	0.34343
358.10	0.34708
359.00	0.35088
359.80	0.36026
360.70	0.36661
361.50	0.37186
362.40	0.38111
363.30	0.38709
364.10	0.39696
365.00	0.40723
365.80	0.41313
366.70	0.42050
367.50	0.43206
368.40	0.44120
369.20	0.45365
370.10	0.45870
370.90	0.46685
371.80	0.47707
372.60	0.48485
373.50	0.49291
374.30	0.49870
375.20	0.50081
376.10	0.50686
376.90	0.51081
377.80	0.51282
378.60	0.51579
379.50	0.51617
380.30	0.51794
381.20	0.51880
382.00	0.52165
382.90	0.51949
383.70	0.51802
384.60	0.51809
385.40	0.51676
386.30	0.51755
387.10	0.51469
388.00	0.51444
388.90	0.51280
389.70	0.51071
390.60	0.50921
391.40	0.51015
392.30	0.51216
393.10	0.51414
394.00	0.51798
394.80	0.52322
395.70	0.53178
396.50	0.53846
397.40	0.55268
398.20	0.56522
399.10	0.58106
399.90	0.59587
400.80	0.61617
401.70	0.63465
402.50	0.65215
403.40	0.66739
404.20	0.68766
405.10	0.70365
405.90	0.71707
406.80	0.73061
407.60	0.74340
408.50	0.75340
409.30	0.75780
410.20	0.76356
411.00	0.76628
411.90	0.76849
412.70	0.76646
413.60	0.76352
414.50	0.75907
415.30	0.75438
416.20	0.74972
417.00	0.74758
417.90	0.74560
418.70	0.74619
419.60	0.75111
420.40	0.75836
421.30	0.76994
422.10	0.78811
423.00	0.80506
423.80	0.82874
424.70	0.85276
425.50	0.87928
426.40	0.90788
427.30	0.93271
428.10	0.95659
429.00	0.97771
429.80	0.99233
430.70	1.00000
431.50	0.99958
432.40	0.99039
433.20	0.97039
434.10	0.94028
434.90	0.90075
435.80	0.85326
436.60	0.79711
437.50	0.73435
438.30	0.66977
439.20	0.60222
440.10	0.53771
440.90	0.47392
441.80	0.41149
442.60	0.35956
443.50	0.30697
444.30	0.26147
445.20	0.22269
446.00	0.18537
446.90	0.15393
447.70	0.12464
448.60	0.10428
449.40	0.094051
450.30	0.078089
451.10	0.067672
452.00	0.056896
452.90	0.048258
453.70	0.041312
454.60	0.036736
455.40	0.030627
456.30	0.025922
457.10	0.024089
458.00	0.021259
458.80	0.020546
459.70	0.018881
460.50	0.017463
461.40	0.015668
462.20	0.016664
463.10	0.013965
463.90	0.011908
464.80	0.012431
465.70	0.012910
466.50	0.012455
467.40	0.011248
468.20	0.010264
469.10	0.011366
469.90	0.011236
470.80	0.011774
471.60	0.013254
472.50	0.010177
473.30	0.012118
474.20	0.011357
475.00	0.012022
475.90	0.010201
476.70	0.011345
477.60	0.011271
478.50	0.012190
479.30	0.012498
480.20	0.013616
481.00	0.012106
481.90	0.012441
482.70	0.012515
483.60	0.012528
484.40	0.013437
485.30	0.015565
486.10	0.014710
487.00	0.015776
487.80	0.015841
488.70	0.018405
489.50	0.015968
490.40	0.018848
491.30	0.017268
492.10	0.017315
493.00	0.018510
493.80	0.019868
494.70	0.018297
495.50	0.019645
496.40	0.018072
497.20	0.019175
498.10	0.019448
498.90	0.020252
