Wavelength (nm)	CHL004_Chl a, C6H6 (Kobayashi, 2016).ems
616.69	0.00023060
622.80	0.00023060
628.35	0.00023060
632.39	0.00058312
637.24	0.0021578
641.40	0.0051628
644.40	0.010339
647.14	0.020122
648.97	0.031861
650.42	0.044578
651.68	0.061535
652.87	0.080448
654.32	0.11273
655.40	0.14860
656.78	0.20273
657.98	0.25947
659.37	0.32991
661.10	0.43523
662.83	0.56077
665.10	0.74241
666.49	0.83045
667.82	0.91132
668.86	0.96154
669.64	0.98567
670.30	0.99741
671.10	1.0000
671.95	0.99741
672.54	0.98599
673.36	0.96447
674.56	0.91197
676.26	0.80893
678.66	0.66414
680.61	0.52882
682.69	0.41860
684.96	0.30936
686.60	0.25686
688.62	0.20240
690.45	0.16947
692.09	0.14990
693.79	0.13295
695.81	0.11827
698.20	0.10654
700.72	0.099035
703.43	0.095122
706.14	0.093818
709.04	0.093128
712.57	0.095122
715.98	0.098709
719.13	0.10425
721.53	0.10914
724.93	0.11436
728.20	0.11797
730.60	0.11915
732.98	0.11640
735.90	0.10982
738.49	0.10113
741.83	0.089803
745.29	0.077350
748.82	0.065122
752.29	0.053057
755.88	0.041970
758.97	0.033818
761.94	0.026597
766.16	0.019470
770.64	0.014239
774.99	0.011340
779.71	0.0096908
784.38	0.0082184
788.67	0.0070784
793.02	0.0061002
796.20	0.0057741
800.00	0.0057741
