Wavelength (nm)	CHL005_Chl a, DCM (Tamiaki, 2011a).abs
350.00	0.25298
352.36	0.26686
354.71	0.28267
358.52	0.31010
361.08	0.32785
363.80	0.34979
366.14	0.36980
368.93	0.39400
370.40	0.40884
372.08	0.42110
373.47	0.43272
375.01	0.44208
376.33	0.44789
377.80	0.45402
379.78	0.45983
382.05	0.46305
384.33	0.46370
387.04	0.46241
389.24	0.46176
391.22	0.46467
392.68	0.46854
394.22	0.47790
395.47	0.49338
397.23	0.51597
398.40	0.54017
399.72	0.56696
401.19	0.60052
402.66	0.63085
403.83	0.65408
405.22	0.67861
406.61	0.69829
407.79	0.71023
409.69	0.72217
411.16	0.72410
412.77	0.72185
414.17	0.71797
415.56	0.71507
416.66	0.71507
417.90	0.71959
419.00	0.73346
419.88	0.74669
420.91	0.76896
422.08	0.79864
423.26	0.83027
424.86	0.88545
425.75	0.91675
426.90	0.95224
428.10	0.98193
428.90	0.99548
430.00	1.0000
431.07	0.99419
431.97	0.97612
433.01	0.92933
434.45	0.84737
435.35	0.78445
436.89	0.68119
438.07	0.58438
439.17	0.49790
440.63	0.38561
441.81	0.30849
442.76	0.25912
444.01	0.20297
445.03	0.16296
445.77	0.13553
446.50	0.11197
447.60	0.090352
448.55	0.071959
449.58	0.057438
450.53	0.046144
452.14	0.035495
453.61	0.027751
455.08	0.022265
456.98	0.018070
459.04	0.013823
462.48	0.010971
466.00	0.010013
469.59	0.0093579
474.21	0.0096805
478.54	0.011294
483.16	0.013092
487.19	0.013553
491.74	0.014198
496.06	0.015166
500.68	0.015861
505.59	0.016255
510.80	0.017425
514.10	0.018393
517.91	0.023233
521.28	0.027428
524.58	0.029687
529.42	0.031623
533.53	0.032914
536.97	0.032320
540.71	0.031623
544.01	0.030332
547.68	0.030010
550.54	0.030655
553.32	0.033237
556.40	0.039690
559.33	0.046144
561.53	0.052275
564.25	0.058406
566.59	0.064537
569.01	0.069377
571.36	0.074863
573.34	0.078735
575.98	0.082930
578.62	0.081639
580.45	0.079744
582.79	0.076154
584.99	0.072604
587.63	0.069377
590.05	0.067118
592.03	0.068409
593.79	0.073895
595.48	0.079703
597.53	0.088416
599.22	0.096805
601.20	0.10713
603.40	0.11649
605.23	0.12617
607.65	0.13424
608.90	0.14069
611.46	0.14553
613.95	0.14843
616.30	0.14585
618.65	0.14134
620.41	0.13488
622.46	0.12617
624.73	0.11778
626.93	0.10907
629.06	0.10326
631.04	0.098742
633.02	0.097128
634.92	0.098742
636.39	0.10423
638.15	0.11068
639.54	0.12036
641.23	0.13650
642.77	0.15973
644.09	0.18199
645.55	0.21652
647.24	0.26847
649.29	0.35269
651.14	0.45208
653.72	0.59729
655.22	0.67732
656.19	0.73314
656.92	0.76605
657.80	0.78896
658.90	0.81122
660.00	0.81510
661.17	0.81155
662.05	0.79155
662.93	0.76283
664.62	0.68925
666.52	0.58277
669.24	0.41949
671.87	0.26331
672.72	0.22878
673.71	0.18716
674.73	0.15231
675.61	0.12682
676.20	0.11036
677.23	0.090352
678.47	0.070023
679.94	0.052598
681.37	0.039690
682.98	0.029042
684.27	0.021620
686.10	0.015166
687.04	0.011939
688.63	0.0083898
692.40	0.0045176
695.78	0.0019361
699.59	0.00096805
703.25	0.00061968
705.89	0.00032268
708.90	0.00032268
711.83	0.00032268
714.84	0.00032268
720.00	0.00032268
