Wavelength (nm)	CHL007_Chl a, Et2O (Kobayashi, 2013).abs
350.00	0.19823
353.23	0.22327
356.58	0.24675
360.61	0.27178
364.65	0.29995
368.00	0.32134
370.90	0.34273
373.26	0.35890
375.47	0.37194
377.52	0.37560
380.49	0.37873
383.24	0.37612
384.68	0.37194
386.89	0.36464
388.57	0.35995
390.40	0.36464
392.22	0.37768
394.21	0.39959
395.73	0.42098
397.18	0.44915
398.39	0.48358
400.22	0.51957
401.82	0.55139
403.50	0.58009
404.72	0.59782
406.47	0.60565
408.91	0.61191
410.81	0.60930
412.94	0.60356
414.62	0.60095
416.22	0.61034
418.05	0.63747
419.04	0.66199
420.64	0.71154
422.92	0.79762
424.90	0.88578
426.69	0.96142
427.82	0.99428
429.00	1.0000
430.08	0.99428
431.15	0.97081
432.52	0.89673
433.99	0.79344
435.42	0.66199
437.09	0.49088
438.99	0.33178
440.52	0.23110
441.56	0.17423
442.65	0.11998
443.87	0.089204
445.01	0.065729
446.30	0.045384
447.90	0.031300
449.73	0.018780
451.64	0.011998
453.54	0.0073032
456.21	0.0046949
459.56	0.0032400
465.50	0.0017546
470.76	0.0015650
475.93	0.0026083
481.57	0.0036516
488.43	0.0046949
496.20	0.0057383
503.20	0.0067260
508.76	0.0083466
512.65	0.011595
515.77	0.016171
519.58	0.020345
522.63	0.023475
526.74	0.027266
529.46	0.029210
532.30	0.029735
535.25	0.029129
537.71	0.027126
541.59	0.023996
545.40	0.022431
548.90	0.021388
551.88	0.021854
554.39	0.025040
557.44	0.030256
560.33	0.035995
563.76	0.043819
566.96	0.051123
570.23	0.057658
572.75	0.063416
574.78	0.067816
576.86	0.068859
578.46	0.067816
580.13	0.064686
581.81	0.060159
583.26	0.056339
585.39	0.050601
587.29	0.045906
589.96	0.042776
592.47	0.045330
594.84	0.052166
597.20	0.060513
599.91	0.072511
602.07	0.082422
604.58	0.095464
607.17	0.10642
610.25	0.11842
612.66	0.12207
615.02	0.12311
617.38	0.12155
620.73	0.11111
623.25	0.10225
625.58	0.092855
627.59	0.086074
629.87	0.077727
631.40	0.072511
633.76	0.069381
636.12	0.071989
638.02	0.079292
639.70	0.087117
640.84	0.096507
642.36	0.11111
643.66	0.12781
645.11	0.14815
646.70	0.17893
648.38	0.22536
649.91	0.28796
651.35	0.34899
653.03	0.44915
654.40	0.53261
656.08	0.63069
657.08	0.69329
658.42	0.74493
659.85	0.77310
660.90	0.77727
662.08	0.77258
663.39	0.73971
665.67	0.62808
667.73	0.49401
670.01	0.34430
671.83	0.22014
673.03	0.16850
674.97	0.11790
676.26	0.090247
677.40	0.070946
678.47	0.057383
679.61	0.043819
680.64	0.034951
681.97	0.024518
683.41	0.018258
684.95	0.014085
687.00	0.0093899
689.36	0.0057383
692.10	0.0032417
694.92	0.0017231
697.54	0.0012424
700.85	0.0010433
702.69	0.0010433
706.19	0.0010433
710.00	0.0010433
