Wavelength (nm)	CHL009_Chl a, Pyr (Niedzwiedzki, 2010).abs
351.82	0.29375
353.80	0.28870
357.01	0.28265
359.23	0.27996
363.18	0.27929
367.13	0.28131
370.71	0.28601
374.04	0.29240
377.87	0.30855
381.20	0.32738
384.54	0.35227
388.00	0.37345
390.59	0.38926
393.67	0.40103
395.90	0.40305
398.37	0.39969
400.22	0.39464
402.44	0.39162
404.41	0.39733
406.76	0.40978
408.49	0.42659
410.20	0.45114
411.82	0.48074
413.80	0.52177
415.53	0.55237
417.01	0.58130
418.61	0.59643
419.72	0.60349
421.70	0.60852
423.55	0.60349
424.91	0.59609
427.01	0.59340
429.11	0.59811
430.59	0.61055
431.95	0.63511
433.55	0.66874
436.05	0.74945
437.87	0.82344
439.60	0.89474
441.62	0.97310
442.34	0.99530
443.00	1.0000
443.73	0.99518
444.64	0.97310
446.58	0.89070
448.48	0.77064
450.42	0.62838
452.10	0.49722
453.92	0.36774
456.27	0.24027
457.62	0.17133
459.20	0.12694
460.96	0.091625
462.07	0.075818
463.18	0.063711
465.28	0.049922
468.00	0.043196
472.44	0.038151
478.98	0.035797
487.13	0.034788
497.25	0.032845
507.13	0.031761
515.77	0.031761
522.44	0.033443
530.34	0.035124
538.12	0.039497
545.90	0.042187
553.55	0.042523
561.70	0.044690
567.87	0.047904
574.29	0.052949
580.71	0.061357
586.76	0.070437
592.44	0.078172
597.38	0.087253
602.32	0.099360
607.13	0.11248
610.71	0.12257
613.80	0.12963
617.13	0.13535
621.20	0.13703
624.54	0.13669
627.50	0.13501
630.22	0.14073
632.81	0.14913
634.91	0.15721
637.50	0.16830
640.22	0.17017
642.81	0.16629
645.65	0.16023
648.49	0.15620
650.59	0.16057
651.82	0.16999
653.55	0.18512
655.16	0.21034
656.64	0.23927
658.37	0.28803
660.83	0.39128
662.80	0.47502
665.42	0.59038
667.48	0.68051
668.95	0.73062
670.00	0.74373
671.00	0.74777
671.95	0.74441
672.81	0.72995
674.29	0.67311
676.45	0.55876
679.11	0.41650
681.08	0.30081
682.93	0.22245
684.66	0.16191
686.40	0.11988
687.85	0.090280
689.85	0.058330
691.58	0.039497
694.17	0.026380
697.25	0.017683
701.82	0.013600
707.25	0.011919
712.19	0.010910
717.38	0.0093890
722.19	0.0078832
725.03	0.0055290
727.25	0.0032502
732.32	0.0018493
738.12	0.0011569
743.80	0.0011569
747.87	0.0011569
