Wavelength (nm)	CHL011_Chl b, Ace (Kobayashi, 2013).abs
351.26	0.19910
355.78	0.19709
359.72	0.19208
363.88	0.18556
367.67	0.17452
371.75	0.16499
375.98	0.15797
379.34	0.15246
382.48	0.14694
384.37	0.13641
386.12	0.12538
387.87	0.11635
389.48	0.10532
391.52	0.097291
392.98	0.089267
395.02	0.083751
397.43	0.081243
399.69	0.082246
402.10	0.089769
404.80	0.093781
407.79	0.10431
411.00	0.11535
413.47	0.12939
415.52	0.14895
418.14	0.17502
420.26	0.20511
421.57	0.23019
423.54	0.26078
425.36	0.29238
427.41	0.32196
429.23	0.34503
431.27	0.36560
433.39	0.38014
435.65	0.39268
437.98	0.40271
439.59	0.41524
440.68	0.43029
442.36	0.45837
444.18	0.50652
446.15	0.56469
447.76	0.63741
449.36	0.71063
450.97	0.78736
452.54	0.86309
454.83	0.94333
456.36	0.98094
457.63	0.99599
458.70	1.00000
459.79	0.99649
461.18	0.97291
463.66	0.89217
466.28	0.76880
469.20	0.61785
471.46	0.49699
473.94	0.38616
475.26	0.33250
476.40	0.28586
477.80	0.23821
478.78	0.20712
479.92	0.17853
481.30	0.15246
482.77	0.12588
484.37	0.10381
485.54	0.085757
486.92	0.070210
488.46	0.057171
490.88	0.041123
492.18	0.035607
494.80	0.028586
497.65	0.024072
501.51	0.021063
505.09	0.020562
509.39	0.021063
514.35	0.022066
518.80	0.023069
523.32	0.025038
528.21	0.028586
532.44	0.032096
537.18	0.035607
541.85	0.039345
547.17	0.042226
554.10	0.044132
559.94	0.046138
564.31	0.047643
569.64	0.049649
574.52	0.051655
577.95	0.054275
580.43	0.057171
582.69	0.061685
585.90	0.068204
588.46	0.076228
591.30	0.082748
593.71	0.085757
595.97	0.087763
598.01	0.086258
600.71	0.081243
603.41	0.076730
606.69	0.071213
609.46	0.067201
612.01	0.063691
615.44	0.062186
618.29	0.062270
620.90	0.063106
622.59	0.066198
624.55	0.071046
627.04	0.080240
628.92	0.093196
630.44	0.10448
632.02	0.12161
633.54	0.14209
635.00	0.16215
636.28	0.18639
637.19	0.20562
638.83	0.24281
640.90	0.28669
642.55	0.32556
643.84	0.34687
645.03	0.35774
646.00	0.35941
646.79	0.35732
648.01	0.34520
649.89	0.31302
651.84	0.27332
653.78	0.22442
655.55	0.17762
656.76	0.14878
658.10	0.12245
659.44	0.099047
660.77	0.078569
662.23	0.059344
663.51	0.047225
664.91	0.036359
666.55	0.027583
668.01	0.020060
669.53	0.013373
671.17	0.0094740
673.30	0.0065381
675.61	0.0045971
677.92	0.0034608
680.47	0.0023404
682.90	0.0016717
685.51	0.0012538
687.88	0.0012538
