Wavelength (nm)	CHL012_Chl b, 90Ace (Clementson, 2019).abs
322.30	0.21372
323.10	0.20183
324.00	0.20498
324.90	0.20097
325.70	0.20317
326.60	0.20657
327.40	0.20667
328.30	0.21185
329.10	0.21622
330.00	0.21415
330.80	0.20936
331.70	0.22534
332.50	0.22380
333.40	0.22690
334.20	0.23125
335.10	0.23163
335.90	0.23361
336.80	0.23295
337.70	0.23085
338.50	0.23661
339.40	0.23582
340.20	0.22877
341.10	0.23346
341.90	0.23271
342.80	0.23683
343.60	0.22861
344.50	0.22574
345.30	0.23078
346.20	0.22413
347.00	0.22014
347.90	0.21339
348.70	0.21101
349.60	0.21062
350.50	0.20566
351.30	0.20199
352.20	0.20206
353.00	0.20131
353.90	0.20180
354.70	0.20127
355.60	0.19998
356.40	0.19712
357.30	0.19709
358.10	0.19680
359.00	0.19221
359.80	0.19251
360.70	0.19257
361.50	0.19244
362.40	0.18881
363.30	0.18962
364.10	0.18617
365.00	0.18523
365.80	0.18084
366.70	0.17887
367.50	0.17805
368.40	0.17557
369.20	0.17273
370.10	0.17019
370.90	0.16796
371.80	0.16804
372.60	0.16597
373.50	0.16751
374.30	0.16347
375.20	0.16164
376.10	0.16074
376.90	0.16070
377.80	0.16025
378.60	0.15830
379.50	0.15600
380.30	0.15596
381.20	0.15273
382.00	0.15152
382.90	0.14776
383.70	0.14094
384.60	0.13781
385.40	0.13503
386.30	0.12906
387.10	0.12438
388.00	0.12073
388.90	0.11556
389.70	0.11036
390.60	0.10641
391.40	0.10189
392.30	0.10069
393.10	0.098063
394.00	0.096341
394.80	0.094239
395.70	0.095109
396.50	0.095032
397.40	0.095708
398.20	0.096270
399.10	0.097486
399.90	0.097598
400.80	0.10019
401.70	0.10268
402.50	0.10417
403.40	0.10453
404.20	0.10749
405.10	0.10947
405.90	0.11262
406.80	0.11485
407.60	0.11828
408.50	0.12186
409.30	0.12333
410.20	0.12717
411.00	0.13173
411.90	0.13738
412.70	0.14145
413.60	0.14676
414.50	0.15489
415.30	0.16513
416.20	0.17575
417.00	0.18440
417.90	0.19177
418.70	0.20328
419.60	0.21587
420.40	0.22873
421.30	0.24269
422.10	0.25837
423.00	0.27207
423.80	0.28626
424.70	0.30035
425.50	0.31278
426.40	0.32806
427.30	0.33823
428.10	0.34957
429.00	0.35872
429.80	0.36859
430.70	0.37434
431.50	0.38145
432.40	0.38535
433.20	0.39127
434.10	0.39366
434.90	0.39589
435.80	0.39907
436.60	0.40129
437.50	0.40345
438.30	0.41044
439.20	0.41555
440.10	0.42392
440.90	0.43564
441.80	0.45002
442.60	0.46704
443.50	0.48810
444.30	0.51387
445.20	0.54030
446.00	0.57273
446.90	0.61295
447.70	0.65716
448.60	0.69767
449.40	0.72528
450.30	0.76469
451.10	0.80569
452.00	0.84654
452.90	0.88307
453.70	0.91770
454.60	0.94558
455.40	0.97039
456.30	0.98550
457.10	0.99776
458.00	1.0000
458.80	0.99647
459.70	0.98570
460.50	0.96891
461.40	0.94466
462.20	0.91601
463.10	0.88176
463.90	0.84503
464.80	0.80537
465.70	0.76545
466.50	0.72235
467.40	0.67729
468.20	0.63426
469.10	0.59111
469.90	0.54773
470.80	0.50713
471.60	0.46711
472.50	0.42627
473.30	0.39048
474.20	0.35540
475.00	0.32321
475.90	0.29192
476.70	0.26457
477.60	0.23803
478.50	0.21313
479.30	0.18625
480.20	0.16759
481.00	0.15323
481.90	0.13945
482.70	0.12570
483.60	0.11262
484.40	0.10111
485.30	0.092483
486.10	0.082933
487.00	0.075637
487.80	0.068823
488.70	0.063124
489.50	0.055417
490.40	0.053182
491.30	0.047276
492.10	0.044383
493.00	0.041113
493.80	0.038730
494.70	0.036298
495.50	0.034141
496.40	0.031979
497.20	0.030771
498.10	0.028877
498.90	0.028025
499.80	0.027382
500.60	0.026592
501.50	0.025044
502.30	0.025359
503.20	0.024632
504.10	0.022936
504.90	0.023741
505.80	0.023471
506.60	0.022706
507.50	0.021394
508.30	0.022779
509.20	0.021192
510.00	0.022258
510.90	0.022001
511.70	0.021111
512.60	0.020988
513.40	0.021151
514.30	0.021366
515.10	0.020460
516.00	0.021805
516.90	0.021401
517.70	0.020805
518.60	0.021226
519.40	0.022765
520.30	0.021219
521.10	0.022355
522.00	0.023148
522.80	0.024002
523.70	0.024879
524.50	0.025245
525.40	0.025099
526.20	0.025555
527.10	0.026626
527.90	0.027963
528.80	0.028884
529.70	0.029830
530.50	0.030978
531.40	0.030693
532.20	0.032552
