Wavelength (nm)	CHL013_Chl b, C6H6 (Kobayashi, 2016).ems
602.44	0.00069473
607.93	0.0017948
613.09	0.0034213
618.33	0.0060168
621.98	0.0089050
624.95	0.011986
627.34	0.016724
629.42	0.024934
631.06	0.035881
632.32	0.047219
633.58	0.061294
634.70	0.076151
635.60	0.096090
636.70	0.12541
638.06	0.17663
639.00	0.22003
640.20	0.29744
641.40	0.37954
642.72	0.47259
644.24	0.62115
645.94	0.75486
647.45	0.86746
648.65	0.93901
650.16	0.99179
650.54	0.99843
651.10	1.00000
651.99	0.99843
652.81	0.98827
653.95	0.94644
655.02	0.88114
657.16	0.76073
659.12	0.62194
661.80	0.45382
663.70	0.35882
665.10	0.30174
666.24	0.26929
667.25	0.24036
668.32	0.21533
669.71	0.19070
671.03	0.17233
672.29	0.15825
673.93	0.14379
675.82	0.13440
677.78	0.12502
680.17	0.11666
683.32	0.11129
685.91	0.10928
688.37	0.10821
691.77	0.10724
694.54	0.10860
696.94	0.11407
699.27	0.12033
701.16	0.12776
703.18	0.13597
704.86	0.14261
707.28	0.15434
709.23	0.15708
711.38	0.15452
713.32	0.15004
715.40	0.14301
717.48	0.13558
720.00	0.12268
722.00	0.11134
725.06	0.095699
727.01	0.085143
729.62	0.069895
731.70	0.060121
734.64	0.048783
737.48	0.039400
740.06	0.032363
742.90	0.028062
745.61	0.025138
748.70	0.022198
751.98	0.019461
755.50	0.017829
760.36	0.015016
763.89	0.013113
767.30	0.010515
771.01	0.0089769
774.23	0.0072013
778.52	0.0062470
781.98	0.0057773
786.14	0.0057500
789.99	0.0055710
793.90	0.0053863
798.12	0.0053863
800.00	0.0053863
