Wavelength (nm)	Ch b Et2O 2020
550.00	0.00059736
551.00	0.00065006
552.00	0.00046006
553.00	0.00063441
554.00	0.00063207
555.00	0.00055933
556.00	0.00056794
557.00	0.00059891
558.00	0.00057035
559.00	0.00053046
560.00	0.00050537
561.00	0.00059337
562.00	0.00055758
563.00	0.00056691
564.00	0.00052321
565.00	0.00040315
566.00	0.00053414
567.00	0.00060472
568.00	0.00046839
569.00	0.00059309
570.00	0.00063743
571.00	0.00061258
572.00	0.00053306
573.00	0.00069506
574.00	0.00062699
575.00	0.00065674
576.00	0.00058012
577.00	0.00071681
578.00	0.00069945
579.00	0.00062612
580.00	0.00090044
581.00	0.00071535
582.00	0.00080715
583.00	0.00083891
584.00	0.00085869
585.00	0.00081322
586.00	0.00085762
587.00	0.00082408
588.00	0.00091021
589.00	0.00087654
590.00	0.00092183
591.00	0.0010728
592.00	0.00098090
593.00	0.0011292
594.00	0.0013936
595.00	0.0013743
596.00	0.0013891
597.00	0.0014169
598.00	0.0016136
599.00	0.0015513
600.00	0.0015582
601.00	0.0017690
602.00	0.0019688
603.00	0.0018689
604.00	0.0022587
605.00	0.0025855
606.00	0.0026178
607.00	0.0028001
608.00	0.0029249
609.00	0.0032712
610.00	0.0039025
611.00	0.0041712
612.00	0.0047943
613.00	0.0049873
614.00	0.0053439
615.00	0.0060964
616.00	0.0067144
617.00	0.0076160
618.00	0.0088215
619.00	0.0093163
620.00	0.010474
621.00	0.012700
622.00	0.015233
623.00	0.018134
624.00	0.022367
625.00	0.027804
626.00	0.034780
627.00	0.042772
628.00	0.054903
629.00	0.070060
630.00	0.090753
631.00	0.11416
632.00	0.14418
633.00	0.18597
634.00	0.23195
635.00	0.29492
636.00	0.36719
637.00	0.44501
638.00	0.52762
639.00	0.62190
640.00	0.70927
641.00	0.79254
642.00	0.87487
643.00	0.93843
644.00	0.97354
645.00	0.99718
646.00	1.0000
647.00	0.97237
648.00	0.94046
649.00	0.87786
650.00	0.80973
651.00	0.73294
652.00	0.66652
653.00	0.58472
654.00	0.52283
655.00	0.45389
656.00	0.40087
657.00	0.34777
658.00	0.30921
659.00	0.27369
660.00	0.24491
661.00	0.21928
662.00	0.19655
663.00	0.18033
664.00	0.16348
665.00	0.15137
666.00	0.14151
667.00	0.13006
668.00	0.12168
669.00	0.12017
670.00	0.11241
671.00	0.11268
672.00	0.11102
673.00	0.11030
674.00	0.10846
675.00	0.10863
676.00	0.10721
677.00	0.10725
678.00	0.10598
679.00	0.10611
680.00	0.10321
681.00	0.10545
682.00	0.10346
683.00	0.10256
684.00	0.10289
685.00	0.10219
686.00	0.10292
687.00	0.10285
688.00	0.10157
689.00	0.10168
690.00	0.10487
691.00	0.10941
692.00	0.11000
693.00	0.11552
694.00	0.11919
695.00	0.12180
696.00	0.12732
697.00	0.13187
698.00	0.13544
699.00	0.13997
700.00	0.13942
701.00	0.14370
702.00	0.14409
703.00	0.14326
704.00	0.14581
705.00	0.14154
706.00	0.14599
707.00	0.14115
708.00	0.13496
709.00	0.13475
710.00	0.13269
711.00	0.12631
712.00	0.12407
713.00	0.11906
714.00	0.11513
715.00	0.10589
716.00	0.10427
717.00	0.098471
718.00	0.091345
719.00	0.088400
720.00	0.083357
721.00	0.077336
722.00	0.072835
723.00	0.066884
724.00	0.060700
725.00	0.058305
726.00	0.053625
727.00	0.048282
728.00	0.043143
729.00	0.041803
730.00	0.038477
731.00	0.036179
732.00	0.032759
733.00	0.032805
734.00	0.029072
735.00	0.027201
736.00	0.025815
737.00	0.025360
738.00	0.023648
739.00	0.024356
740.00	0.021491
741.00	0.022161
742.00	0.021110
743.00	0.020656
744.00	0.019819
745.00	0.020536
746.00	0.019884
747.00	0.019372
748.00	0.018077
749.00	0.018746
750.00	0.017818
751.00	0.017720
752.00	0.016792
753.00	0.015303
754.00	0.016842
755.00	0.017516
756.00	0.015705
757.00	0.018451
758.00	0.018633
759.00	0.016303
760.00	0.015580
761.00	0.016001
762.00	0.015083
763.00	0.017359
764.00	0.016597
765.00	0.018175
766.00	0.014380
767.00	0.016183
768.00	0.014890
769.00	0.015818
770.00	0.015920
771.00	0.016215
772.00	0.014715
773.00	0.013866
774.00	0.015707
775.00	0.016133
776.00	0.014585
777.00	0.014756
778.00	0.014208
779.00	0.015825
780.00	0.014003
781.00	0.015522
782.00	0.014546
783.00	0.013037
784.00	0.011911
785.00	0.013131
786.00	0.013457
787.00	0.012780
788.00	0.013284
789.00	0.012354
790.00	0.014067
791.00	0.012471
792.00	0.011210
793.00	0.012006
794.00	0.010019
795.00	0.0095774
796.00	0.012199
797.00	0.011120
798.00	0.011323
799.00	0.010243
800.00	0.0097395
