Wavelength (nm)	CHL015_Chl b, Et2O (Kobayashi, 2013).abs
350.08	0.14688
354.71	0.14688
358.94	0.14484
362.29	0.14280
365.93	0.13465
368.88	0.12377
372.42	0.12037
376.75	0.11765
379.61	0.11289
382.16	0.10270
384.13	0.092499
386.40	0.080263
388.17	0.070066
390.82	0.063269
393.38	0.060549
396.24	0.064628
399.38	0.069387
402.44	0.078224
405.58	0.086381
409.23	0.098700
412.08	0.11561
414.64	0.13940
416.51	0.16524
418.57	0.19718
420.94	0.24409
422.96	0.28148
424.50	0.30459
426.15	0.32770
427.82	0.33926
430.19	0.34402
432.25	0.33926
433.73	0.33450
435.28	0.33104
437.07	0.33654
438.35	0.35239
439.73	0.37032
440.71	0.39228
441.94	0.43171
443.26	0.48745
444.85	0.56359
446.96	0.70838
448.29	0.79607
449.96	0.89668
451.63	0.96669
452.82	0.99321
454.00	1.0000
455.25	0.99457
456.51	0.96058
459.12	0.83754
461.43	0.69342
463.74	0.55815
466.50	0.40044
468.76	0.28488
471.50	0.17611
473.09	0.13397
474.47	0.10134
476.14	0.074825
477.71	0.056471
479.88	0.039476
482.34	0.027920
485.19	0.020442
488.54	0.015684
491.20	0.014324
493.95	0.013645
501.23	0.012285
507.24	0.012285
515.70	0.013249
519.93	0.015163
526.23	0.018798
534.30	0.026560
541.77	0.032730
549.84	0.036077
558.90	0.039812
567.66	0.042195
572.18	0.043555
576.81	0.044910
582.42	0.047470
585.27	0.050353
588.31	0.057830
590.91	0.064628
592.68	0.068750
594.70	0.070066
596.37	0.069520
598.00	0.068027
601.41	0.059190
604.95	0.053072
608.98	0.047563
612.82	0.044914
617.15	0.043423
619.98	0.042875
621.88	0.043890
623.75	0.046954
626.11	0.058510
628.10	0.072106
630.24	0.089780
632.49	0.11425
634.93	0.15572
637.03	0.20806
639.44	0.27128
641.57	0.32498
642.54	0.34283
643.30	0.35261
644.00	0.35625
644.72	0.35315
645.54	0.34635
646.58	0.32906
648.05	0.28896
649.92	0.22506
652.18	0.15640
653.69	0.11085
655.33	0.078224
657.10	0.052392
658.97	0.034718
661.14	0.020442
663.20	0.012285
665.07	0.0068469
667.73	0.0034480
671.27	0.0020884
674.42	0.0020884
680.10	0.0020884
685.10	0.0020884
690.11	0.0020884
699.64	0.0020884
