Wavelength (nm)	CHL017_Chl b, Pyr (Niedzwiedzki, 2010).abs
351.19	0.22732
356.58	0.20881
361.55	0.19523
365.86	0.19091
371.04	0.18658
375.57	0.17980
379.24	0.16745
383.12	0.16004
387.44	0.15449
391.97	0.14770
395.64	0.13227
399.31	0.10943
401.90	0.095233
404.59	0.088031
407.65	0.086488
410.89	0.090089
416.28	0.10038
421.50	0.11478
425.63	0.13021
429.23	0.14718
431.35	0.16930
434.26	0.21251
437.00	0.25623
439.66	0.30098
441.63	0.32876
443.79	0.35036
446.13	0.36425
449.37	0.37042
452.78	0.37402
455.12	0.38740
456.74	0.40848
458.36	0.44140
460.52	0.52267
464.11	0.67287
466.40	0.78963
467.92	0.86988
468.94	0.92268
470.58	0.97969
471.85	0.99538
473.00	1.0000
474.18	0.99435
474.95	0.97926
476.73	0.90982
480.62	0.72894
484.37	0.56177
486.92	0.42031
489.62	0.30201
492.01	0.22185
493.81	0.16570
495.31	0.13055
497.11	0.10183
499.36	0.076544
502.05	0.052968
505.50	0.039252
508.95	0.033251
513.44	0.029393
518.24	0.028296
523.33	0.029393
528.87	0.032394
535.02	0.036680
540.71	0.042681
546.86	0.049111
552.55	0.054254
557.49	0.057168
562.14	0.055969
566.93	0.053397
570.83	0.052111
574.88	0.052540
579.52	0.055540
584.17	0.060684
588.21	0.067114
592.11	0.076115
595.85	0.085545
599.60	0.093261
602.75	0.095762
606.04	0.094118
609.49	0.087260
612.64	0.079544
615.03	0.073115
617.88	0.066256
621.33	0.064542
624.62	0.066256
627.77	0.073400
630.39	0.081259
633.39	0.095547
636.01	0.11162
638.89	0.13127
641.54	0.15627
644.45	0.18771
646.75	0.21914
648.75	0.25379
650.25	0.28165
652.50	0.31701
653.70	0.32880
655.00	0.33237
656.24	0.32916
657.49	0.31844
660.05	0.27415
662.99	0.21057
664.55	0.17199
666.11	0.13770
667.86	0.10448
669.98	0.074472
671.98	0.053397
673.85	0.038395
676.22	0.028036
678.72	0.020534
682.62	0.013490
687.71	0.010176
693.08	0.0080747
699.70	0.0060961
706.57	0.0048175
714.18	0.0041031
722.92	0.0030315
732.79	0.0018740
741.65	0.0012455
749.02	0.0012455
