Wavelength (nm)	CHL017_Chl b, Pyr (Niedzwiedzki, 2010).ems
571.83	0.0018254
582.44	0.0018254
595.56	0.0029238
601.17	0.0021915
607.54	0.0040222
613.91	0.0069513
619.78	0.010613
624.28	0.017203
627.65	0.024892
630.52	0.035510
633.02	0.049790
635.39	0.065534
637.39	0.082010
639.88	0.10764
642.63	0.14206
644.25	0.17172
645.95	0.21785
648.15	0.33084
650.10	0.44068
653.69	0.65685
656.54	0.83524
657.95	0.90641
659.75	0.97979
660.74	0.99569
662.00	1.0000
662.84	0.99651
663.58	0.97935
665.50	0.90729
667.78	0.79525
670.93	0.61555
675.20	0.43497
677.85	0.34842
680.37	0.27768
683.06	0.22803
684.90	0.20210
688.61	0.18102
691.46	0.16696
695.50	0.15949
699.40	0.15685
703.89	0.15861
708.39	0.16168
713.18	0.17003
716.03	0.17574
719.03	0.17838
722.77	0.17486
726.82	0.16388
729.22	0.15026
734.16	0.12390
737.91	0.099732
741.50	0.080399
745.70	0.064582
749.90	0.050083
754.54	0.039977
760.10	0.030311
763.98	0.026357
768.33	0.022842
774.77	0.019327
784.21	0.016251
793.20	0.013396
805.64	0.0098888
817.62	0.0079033
830.51	0.0061458
842.20	0.0052671
