Wavelength (nm)	CHL018_Chl d, Ace (Li, 2012).abs
348.14	0.30025
352.49	0.31867
355.54	0.33573
358.75	0.36031
362.11	0.38918
366.61	0.42365
370.50	0.45184
374.02	0.47811
376.38	0.49563
378.60	0.51224
380.12	0.52706
383.33	0.55581
386.23	0.58455
388.29	0.60387
389.51	0.61601
390.73	0.61914
392.23	0.61644
393.94	0.60746
395.16	0.59398
397.07	0.56659
398.75	0.54009
400.05	0.52031
401.65	0.49787
403.25	0.48125
404.93	0.46868
407.30	0.46194
409.44	0.46553
411.04	0.47452
413.94	0.48979
417.98	0.52078
420.20	0.53919
423.40	0.56299
426.46	0.58321
428.67	0.59848
430.81	0.61464
432.79	0.63171
434.78	0.65686
436.31	0.67573
437.60	0.69908
439.21	0.73187
441.34	0.77813
443.33	0.81855
444.78	0.84819
445.62	0.85583
447.00	0.85897
448.37	0.85628
449.21	0.84460
450.50	0.81765
452.39	0.76645
454.24	0.70312
455.39	0.65013
457.54	0.56299
460.23	0.45341
462.56	0.35370
465.12	0.26028
466.84	0.20998
468.44	0.16596
469.66	0.13452
471.11	0.10803
472.95	0.084222
474.93	0.064461
477.30	0.046046
479.97	0.031225
481.75	0.024937
484.63	0.018200
487.22	0.015505
492.11	0.014158
496.99	0.014158
503.48	0.015056
511.11	0.016853
520.04	0.018649
528.67	0.020194
532.64	0.023141
536.76	0.030327
540.43	0.036165
545.77	0.038411
550.66	0.038411
555.01	0.032857
559.66	0.032123
565.92	0.033471
570.66	0.035944
573.56	0.042453
577.53	0.054131
580.96	0.065808
583.94	0.074791
587.45	0.087366
591.19	0.098594
593.56	0.10353
596.30	0.10533
599.43	0.10264
602.64	0.097696
605.62	0.091857
608.29	0.086468
611.19	0.083773
614.40	0.085120
617.68	0.095450
620.12	0.10353
623.02	0.11656
626.46	0.13093
629.74	0.14261
632.94	0.15159
636.46	0.15878
639.89	0.16013
642.72	0.16013
646.11	0.15470
650.12	0.14485
653.33	0.13497
656.84	0.13138
659.51	0.13408
661.49	0.14351
663.10	0.15698
664.78	0.17629
666.30	0.20055
668.42	0.23833
670.04	0.27825
672.10	0.34651
674.24	0.43634
676.46	0.55401
678.52	0.65507
680.68	0.77858
682.72	0.88143
684.47	0.95598
685.46	0.98338
686.61	0.99596
688.00	1.00000
689.13	0.99416
690.23	0.97889
692.14	0.92499
694.47	0.82888
697.75	0.65686
699.13	0.58141
700.73	0.48979
703.33	0.36583
705.62	0.27196
707.68	0.19920
709.97	0.14306
712.49	0.095001
714.32	0.070748
716.07	0.052783
718.52	0.035716
721.07	0.022242
723.48	0.015955
727.30	0.0096667
731.19	0.0065228
735.62	0.0052880
740.73	0.0042772
745.92	0.0038280
751.65	0.0035276
756.83	0.0035276
