Wavelength (nm)	CHL024_Chl d, MeOH (Li, 2012).abs
349.14	0.35343
354.21	0.37637
360.43	0.40838
365.03	0.43986
370.27	0.47560
377.57	0.53001
380.83	0.55295
386.22	0.59563
388.76	0.61910
391.55	0.64738
393.99	0.67618
395.67	0.69325
397.86	0.70446
400.00	0.70819
402.11	0.70232
403.46	0.68845
405.46	0.65484
407.46	0.61750
410.22	0.57109
412.83	0.52841
414.45	0.51081
416.52	0.49214
418.29	0.48360
420.06	0.48040
422.05	0.48253
423.59	0.48947
425.05	0.49587
427.05	0.50974
430.89	0.53748
434.66	0.56522
439.42	0.60310
444.57	0.64257
449.25	0.67458
452.10	0.68952
453.25	0.69272
454.71	0.69485
456.09	0.69165
457.25	0.68632
459.76	0.66658
462.70	0.62337
465.62	0.57109
469.15	0.48947
472.77	0.39451
476.30	0.30222
479.07	0.23767
481.60	0.18273
483.75	0.14485
485.83	0.11551
488.75	0.084567
490.98	0.064295
493.36	0.047224
495.74	0.034955
498.11	0.024819
501.66	0.016817
503.89	0.014259
506.19	0.013482
512.49	0.013082
519.48	0.013474
527.09	0.014149
534.31	0.015750
543.22	0.018479
552.14	0.021487
560.72	0.024837
568.98	0.029620
576.76	0.036271
581.80	0.041890
586.57	0.051492
591.25	0.061094
595.63	0.071230
599.39	0.077098
602.93	0.084034
607.00	0.087234
612.07	0.086701
615.99	0.090435
619.91	0.10644
623.21	0.12191
626.90	0.14165
630.28	0.15539
633.43	0.16832
636.66	0.18059
639.73	0.18826
643.11	0.19233
646.57	0.19553
649.57	0.19926
652.87	0.20513
656.63	0.21207
659.78	0.21953
663.32	0.22327
666.16	0.22540
668.77	0.23028
670.62	0.24461
672.34	0.26286
674.68	0.30009
676.61	0.33530
678.30	0.37264
679.82	0.41798
681.91	0.49800
684.57	0.61377
686.98	0.73646
689.29	0.83889
691.98	0.93438
693.98	0.98133
695.28	0.99626
697.00	1.00000
698.53	0.99626
700.28	0.97599
702.46	0.92851
705.45	0.82609
709.34	0.65004
712.42	0.51347
715.11	0.39718
718.10	0.28302
720.25	0.21367
722.25	0.16459
724.86	0.11924
727.25	0.088835
729.38	0.065362
731.78	0.044023
734.24	0.030687
736.93	0.017350
739.92	0.0095452
742.92	0.0053884
745.61	0.0040134
750.14	0.0034799
752.68	0.0029464
756.98	0.0029464
