Wavelength (nm)	CHL025_Chl d, MeOH (Kobayashi, 2013).abs
365.38	0.46543
368.01	0.48052
370.98	0.49896
373.55	0.51572
376.28	0.53181
379.00	0.54857
381.87	0.56802
384.65	0.58679
387.03	0.60422
389.27	0.62333
391.12	0.64210
392.84	0.66557
394.47	0.68535
396.08	0.70479
397.54	0.71988
398.90	0.73262
400.07	0.73798
400.80	0.73865
401.67	0.73698
402.89	0.72994
404.35	0.71586
405.62	0.69675
407.37	0.67026
409.12	0.63842
410.68	0.60724
412.38	0.57405
413.93	0.55058
415.20	0.53181
416.37	0.51974
417.49	0.51069
418.80	0.50264
420.41	0.49728
421.82	0.49560
423.42	0.49862
424.78	0.50432
426.49	0.51438
428.34	0.52477
430.33	0.53751
432.18	0.55025
434.27	0.56600
437.72	0.59048
440.40	0.60959
443.37	0.63104
445.90	0.65116
448.04	0.66859
450.18	0.68233
452.08	0.69675
453.49	0.70412
454.90	0.70781
456.07	0.70848
457.14	0.70714
458.69	0.70077
460.20	0.68971
461.51	0.67496
463.22	0.65451
464.73	0.62869
466.67	0.59182
468.42	0.55159
470.17	0.51170
472.75	0.44633
475.19	0.38330
477.30	0.33167
479.17	0.29212
480.93	0.24954
482.58	0.21434
484.28	0.18853
485.65	0.16540
486.91	0.14662
488.03	0.12986
489.49	0.11444
490.61	0.10002
491.87	0.088291
493.09	0.077564
494.50	0.065160
496.01	0.056444
497.56	0.048398
499.51	0.042364
501.70	0.036330
503.79	0.031971
506.32	0.027613
509.24	0.025267
511.62	0.024261
513.81	0.023591
516.44	0.022920
518.29	0.022250
520.24	0.021579
523.74	0.021579
528.02	0.023255
531.67	0.024931
536.05	0.026261
539.26	0.027284
543.05	0.028728
547.53	0.030631
551.27	0.032307
554.97	0.033983
559.25	0.035994
563.92	0.038676
568.64	0.040688
572.29	0.043034
576.18	0.046437
580.22	0.049281
583.33	0.052421
586.64	0.056444
589.85	0.061137
593.21	0.067842
596.28	0.073876
599.39	0.079910
603.18	0.087286
606.59	0.094996
610.34	0.10405
614.08	0.11176
618.12	0.12047
623.13	0.13321
627.70	0.14629
631.16	0.15702
634.76	0.16875
639.09	0.17914
643.27	0.18886
648.38	0.19825
652.56	0.20797
656.21	0.21602
659.81	0.22272
662.98	0.22607
665.46	0.22943
667.79	0.23378
669.35	0.24015
670.95	0.24921
672.41	0.25792
673.53	0.26965
674.80	0.28373
676.11	0.30519
678.13	0.34066
680.06	0.38893
681.95	0.44686
684.66	0.55829
686.89	0.66088
689.52	0.78076
691.80	0.87208
693.78	0.93604
695.51	0.97989
696.93	0.99678
698.10	1.0000
699.33	0.99638
700.73	0.98431
702.65	0.94006
704.87	0.86081
707.57	0.75582
711.28	0.60134
713.16	0.50600
714.86	0.43801
715.96	0.38893
717.31	0.34146
718.77	0.29721
719.93	0.25739
721.22	0.22118
722.33	0.18940
723.73	0.16285
725.07	0.13791
726.36	0.11699
727.76	0.095667
729.51	0.075955
731.38	0.059059
732.72	0.049404
733.89	0.041760
735.17	0.033715
736.51	0.026876
737.97	0.019635
739.61	0.013600
741.19	0.0091753
743.17	0.0055548
746.09	0.0027388
749.24	0.0019342
752.91	0.0019342
755.71	0.0019342
