Wavelength (nm)	CHL028_Ch f, Ace (Kobayashi, 2013).abs
351.83	0.29713
355.21	0.32088
358.76	0.34918
361.56	0.37646
365.10	0.40476
368.86	0.43710
371.81	0.47146
374.90	0.50361
377.54	0.53412
380.95	0.57302
384.21	0.61193
387.22	0.65134
389.94	0.68873
392.38	0.72259
394.15	0.74634
395.62	0.76301
396.88	0.77261
398.20	0.77565
399.68	0.77261
401.23	0.75948
402.77	0.74129
404.40	0.71349
406.41	0.67408
408.52	0.63265
410.10	0.60385
412.10	0.57353
413.83	0.55382
415.60	0.53462
417.59	0.52199
419.51	0.51946
421.50	0.52502
424.52	0.53260
427.03	0.53866
429.76	0.54675
432.34	0.55433
435.07	0.56241
437.50	0.56898
439.56	0.57151
442.00	0.57454
444.28	0.56999
446.20	0.56241
448.12	0.54776
449.74	0.53058
451.65	0.50885
453.13	0.48156
454.68	0.45175
458.88	0.36282
462.35	0.28703
464.85	0.23246
466.25	0.20416
468.02	0.17687
469.42	0.15666
470.82	0.13695
472.45	0.11674
474.66	0.099058
476.43	0.083899
478.34	0.072782
480.19	0.061161
482.18	0.051560
484.54	0.044700
486.97	0.039433
490.51	0.034885
493.09	0.031854
495.82	0.029833
499.06	0.027811
502.82	0.027343
508.35	0.026801
513.73	0.024780
517.86	0.022253
523.76	0.019727
531.35	0.017705
538.65	0.017705
545.29	0.018211
553.18	0.020232
560.03	0.023264
567.04	0.026841
574.04	0.030843
578.91	0.035269
582.60	0.039933
586.28	0.046507
589.53	0.054087
592.25	0.062677
595.42	0.071772
598.30	0.079351
600.88	0.085360
603.83	0.091984
607.07	0.094987
610.76	0.095385
615.48	0.095521
621.67	0.097036
627.27	0.098552
631.55	0.10158
635.68	0.10916
639.96	0.11725
644.27	0.12887
647.77	0.13746
651.16	0.14706
653.45	0.15464
656.10	0.16020
659.27	0.16222
663.11	0.16171
666.20	0.16020
669.37	0.16020
672.32	0.16459
674.24	0.17384
675.86	0.18647
677.63	0.20416
679.33	0.22942
681.02	0.26833
683.09	0.32796
686.33	0.44973
688.69	0.55231
691.64	0.69682
693.78	0.80243
696.14	0.90803
698.20	0.97119
699.90	0.99595
701.00	1.00000
702.03	0.99494
703.43	0.97372
706.11	0.90197
709.19	0.77059
712.21	0.62103
714.35	0.51289
715.65	0.44569
717.07	0.38505
718.77	0.32492
719.80	0.27995
721.28	0.24054
722.60	0.20012
724.30	0.16677
725.41	0.14100
726.81	0.11523
728.43	0.092994
730.05	0.075814
731.75	0.060655
733.44	0.045497
735.51	0.034380
738.68	0.021748
741.11	0.014674
743.32	0.010126
746.12	0.0070943
749.00	0.0050731
751.95	0.0045270
755.12	0.0040625
758.51	0.0040625
761.68	0.0040625
