Wavelength (nm)	CHL030_Ch f, Et2O (Li, 2012).abs
350.79	0.31782
352.73	0.32244
354.92	0.32995
356.25	0.33687
357.83	0.34851
359.78	0.36401
362.08	0.38191
364.15	0.39577
366.05	0.41155
368.07	0.42983
370.12	0.44715
372.23	0.46640
374.23	0.48517
376.90	0.51500
379.61	0.54579
382.53	0.57755
384.57	0.60305
385.99	0.62085
387.71	0.64394
389.33	0.66415
390.65	0.67570
391.76	0.68388
392.77	0.68965
394.09	0.69639
395.50	0.69831
397.12	0.69591
398.44	0.69014
399.35	0.68147
400.57	0.66704
401.88	0.65020
403.40	0.62662
404.56	0.61123
405.73	0.59535
406.64	0.58524
407.65	0.57562
408.66	0.56648
409.78	0.56311
410.89	0.56022
412.51	0.55878
414.13	0.56311
415.34	0.56889
416.96	0.57562
418.99	0.58524
420.71	0.59391
423.14	0.60353
425.36	0.61075
427.29	0.61556
429.21	0.62037
430.83	0.62662
432.14	0.63192
433.36	0.63913
434.57	0.64731
436.19	0.65597
438.22	0.66415
439.94	0.66896
441.36	0.66463
442.47	0.65549
443.48	0.64298
444.29	0.62518
445.51	0.59968
446.31	0.57851
447.63	0.54387
449.15	0.49960
451.17	0.42887
452.39	0.37931
453.18	0.34419
454.26	0.31099
455.46	0.28068
457.25	0.24218
458.97	0.20754
460.69	0.17771
462.31	0.14788
464.03	0.12382
465.14	0.10891
466.56	0.092447
467.87	0.078180
468.78	0.066083
470.00	0.057904
471.32	0.048281
472.73	0.042507
473.95	0.039620
476.38	0.032884
478.50	0.029516
480.42	0.025186
483.16	0.023261
485.59	0.024223
488.72	0.024223
494.70	0.024223
499.86	0.022299
504.11	0.022780
508.97	0.023261
513.42	0.023261
518.28	0.022299
523.34	0.021337
527.59	0.021818
531.54	0.020855
536.50	0.022299
540.45	0.023261
544.29	0.024705
548.34	0.025186
552.39	0.026629
556.84	0.026629
560.08	0.026629
564.64	0.027110
567.57	0.027110
570.91	0.027591
573.34	0.029516
576.07	0.033846
579.51	0.041064
581.74	0.046837
583.97	0.051168
585.89	0.056460
588.02	0.062234
589.94	0.065121
592.37	0.069933
594.80	0.075706
596.92	0.080999
599.15	0.082443
602.39	0.083886
605.63	0.086292
608.77	0.088698
612.21	0.089179
614.94	0.089179
617.67	0.087735
620.41	0.085811
622.73	0.084848
625.57	0.084848
628.30	0.088698
630.32	0.094471
632.25	0.099764
634.68	0.10698
637.31	0.11179
639.84	0.11757
642.47	0.12430
644.39	0.13056
646.72	0.13826
647.94	0.14403
649.56	0.15028
651.48	0.15269
654.52	0.15317
658.46	0.15317
661.70	0.15077
663.73	0.14932
666.16	0.14836
668.18	0.14692
670.41	0.14836
671.92	0.15654
673.44	0.16953
674.56	0.18012
675.37	0.19648
676.18	0.21668
677.37	0.24988
678.30	0.28116
679.27	0.31773
680.12	0.35381
680.76	0.39278
681.96	0.44908
683.26	0.52366
685.08	0.62566
686.64	0.71419
687.94	0.79070
689.23	0.85950
690.24	0.90810
690.81	0.93408
691.65	0.96439
692.57	0.98797
693.32	0.99518
694.50	1.00000
695.71	0.99422
696.51	0.98123
697.33	0.95814
698.54	0.91291
699.40	0.87490
700.47	0.82630
701.50	0.77145
702.25	0.72574
703.40	0.66079
704.39	0.59583
705.63	0.50826
707.25	0.41588
708.48	0.35285
709.78	0.29800
711.70	0.23449
713.01	0.19022
714.23	0.15702
715.65	0.12478
716.76	0.10265
718.08	0.085329
719.29	0.071857
720.51	0.057423
721.82	0.046837
723.24	0.036252
725.16	0.027591
727.09	0.021818
729.21	0.017006
731.64	0.012676
734.27	0.0097889
737.31	0.0078643
740.75	0.0064209
746.01	0.0050533
750.57	0.0044114
755.12	0.0040015
758.97	0.0038765
762.82	0.0037988
767.37	0.0037988
771.12	0.0037988
774.56	0.0037988
