Wavelength (nm)	CHL030_Ch f, Et2O (Niedzwiedzki, 2014).ems
673.09	0.0050207
675.14	0.0083916
677.41	0.013448
679.38	0.025808
681.29	0.039292
682.67	0.057270
684.06	0.078057
685.23	0.097721
686.26	0.11795
687.21	0.14098
689.33	0.20053
690.94	0.26065
692.84	0.35560
694.82	0.45448
697.30	0.58426
699.20	0.68819
701.10	0.79045
702.20	0.83932
703.59	0.89831
704.80	0.93989
706.10	0.97191
707.60	0.99439
709.00	1.0000
710.30	0.99439
711.64	0.97922
713.10	0.94888
715.73	0.86910
718.36	0.77640
721.36	0.65224
724.29	0.54324
726.99	0.45167
729.45	0.36178
731.16	0.31234
732.92	0.26851
735.11	0.22863
737.16	0.19772
738.77	0.17132
741.62	0.13986
743.45	0.11963
745.64	0.10840
748.13	0.094912
750.25	0.085923
752.74	0.076934
755.59	0.071315
758.00	0.069630
760.64	0.062888
762.83	0.059517
765.17	0.057832
767.00	0.053337
769.19	0.054461
771.97	0.052214
776.29	0.050528
780.09	0.048843
783.82	0.045472
787.26	0.044348
790.91	0.042101
793.25	0.036483
795.67	0.030303
797.64	0.029179
799.18	0.022999
800.86	0.017381
802.76	0.020752
805.10	0.010639
808.17	0.0061443
811.54	0.0044588
814.90	0.0022116
818.34	0.0027734
821.63	0.0016497
