Wavelength (nm)	CHL035_Phe a, Ace (Jeffrey, 1997).abs
352.38	0.32155
357.07	0.37026
360.62	0.41419
363.94	0.46159
366.57	0.49813
368.17	0.52465
370.12	0.54510
372.41	0.56336
375.20	0.58511
378.02	0.60381
380.35	0.62555
382.37	0.65078
384.20	0.67774
386.49	0.71775
388.78	0.76081
391.30	0.81039
392.60	0.83431
394.27	0.85475
396.11	0.87214
398.05	0.88519
400.11	0.89693
401.49	0.90954
402.97	0.92911
404.23	0.95042
405.84	0.97652
408.00	0.99696
409.50	1.0000
410.76	0.99522
412.02	0.97782
414.31	0.91172
416.20	0.83605
418.00	0.75863
419.92	0.65730
420.90	0.60381
423.47	0.45724
424.61	0.40027
426.10	0.32373
427.82	0.25241
429.30	0.20370
431.25	0.15499
432.97	0.12585
434.23	0.10323
435.60	0.085403
436.86	0.071921
439.03	0.057569
441.90	0.044087
444.87	0.037128
447.73	0.032344
450.60	0.030605
454.83	0.030170
457.92	0.030170
461.47	0.034519
464.91	0.038433
467.77	0.041042
471.77	0.040608
475.89	0.039738
479.56	0.037998
483.22	0.035389
486.31	0.037998
489.06	0.043652
491.50	0.054452
493.98	0.066412
496.08	0.077284
498.27	0.088882
500.95	0.098667
503.81	0.10555
506.38	0.10809
508.77	0.10447
510.87	0.096855
512.87	0.085982
514.59	0.074385
516.50	0.063150
518.88	0.053727
520.98	0.047204
523.27	0.045029
525.84	0.047928
528.23	0.056627
529.76	0.065687
531.19	0.075472
532.52	0.083808
533.95	0.092144
535.86	0.094681
537.39	0.091419
538.82	0.083808
540.53	0.072573
542.54	0.057351
544.26	0.045392
545.97	0.034519
548.17	0.029807
551.22	0.027995
553.70	0.028358
556.56	0.028720
559.61	0.029445
562.29	0.029083
564.67	0.027271
567.25	0.026183
570.11	0.022559
572.68	0.020022
575.45	0.018210
578.50	0.017123
581.75	0.017485
584.80	0.018210
587.47	0.020747
589.85	0.024009
592.05	0.027995
594.24	0.033794
596.15	0.039955
597.68	0.045754
599.49	0.053727
601.21	0.061700
603.21	0.068949
605.98	0.075110
608.65	0.077284
611.32	0.075472
613.70	0.070036
615.80	0.064237
619.05	0.055177
622.48	0.047566
625.15	0.043579
627.54	0.041042
629.92	0.039593
632.40	0.041405
635.26	0.042492
637.65	0.045392
639.75	0.049378
641.65	0.054814
643.37	0.060976
644.90	0.068949
646.50	0.082117
648.25	0.096613
649.92	0.11655
651.91	0.14826
653.74	0.18148
655.65	0.22255
657.55	0.26755
659.05	0.31014
660.25	0.34789
661.45	0.38141
663.40	0.42641
664.39	0.43850
665.50	0.44212
666.70	0.43880
667.73	0.42823
669.88	0.38383
671.94	0.32584
674.49	0.24823
676.47	0.18933
678.50	0.13557
679.57	0.10900
680.85	0.085741
681.88	0.071848
682.99	0.057351
683.95	0.046177
685.22	0.035304
686.81	0.025338
688.64	0.017183
689.99	0.011747
691.66	0.0081227
693.41	0.0054046
695.31	0.0029885
697.54	0.0020824
700.08	0.0017804
702.47	0.0011764
