Wavelength (nm)	CHL036_Phe a, Ace (Kobayashi, 2013).abs
350.78	0.30884
352.90	0.32263
354.88	0.34404
357.20	0.37020
358.97	0.39303
361.43	0.42443
363.75	0.46058
365.80	0.48960
368.19	0.51623
370.30	0.54002
372.28	0.55429
374.26	0.57046
376.52	0.58806
378.70	0.60471
380.54	0.62374
381.98	0.64086
383.55	0.66132
385.12	0.68510
387.19	0.72030
388.80	0.75027
390.19	0.77548
391.60	0.79974
392.69	0.81924
394.20	0.83970
396.04	0.85872
397.68	0.87395
399.31	0.88774
400.89	0.90344
402.39	0.92104
403.82	0.94149
405.12	0.96337
406.48	0.98288
407.90	0.99762
409.00	1.0000
409.90	0.99762
411.47	0.97384
412.76	0.93055
415.00	0.84208
417.00	0.75693
419.40	0.62754
421.50	0.49958
422.80	0.42966
423.96	0.36925
425.25	0.32025
426.76	0.26745
427.91	0.22654
429.49	0.18849
430.85	0.15567
432.22	0.12855
433.51	0.11000
434.81	0.091925
436.52	0.076228
438.36	0.061482
439.73	0.052920
441.23	0.046260
442.80	0.039865
444.78	0.034153
446.89	0.031038
449.35	0.028184
451.81	0.026281
455.63	0.025330
457.88	0.027184
459.59	0.028611
461.91	0.032532
465.60	0.036746
469.49	0.037222
473.45	0.037222
478.70	0.035319
483.07	0.036271
485.60	0.037222
487.72	0.042455
489.42	0.050065
490.92	0.055298
492.56	0.063860
494.61	0.073850
496.79	0.085266
498.91	0.094304
500.55	0.10382
502.80	0.11048
504.44	0.11143
506.08	0.11048
507.92	0.10239
509.29	0.092401
511.06	0.080985
512.63	0.070520
514.34	0.058628
515.64	0.050065
517.00	0.045784
519.25	0.042455
521.71	0.040552
523.76	0.041503
525.33	0.047211
526.69	0.052444
527.99	0.058628
529.22	0.066714
530.45	0.076704
531.61	0.085742
532.84	0.094780
534.41	0.096682
535.64	0.094304
537.48	0.082888
538.98	0.069093
540.55	0.058152
541.71	0.047211
543.01	0.040552
544.44	0.032465
546.01	0.026281
549.56	0.024379
553.18	0.025330
557.41	0.026872
561.71	0.026958
565.54	0.024854
568.47	0.020573
571.20	0.017719
575.23	0.015816
578.85	0.015341
582.26	0.015528
585.67	0.015816
588.81	0.019146
591.82	0.024854
594.00	0.032941
596.32	0.042930
598.92	0.053871
601.92	0.064812
604.04	0.072423
606.22	0.076704
608.20	0.078131
610.25	0.075752
612.80	0.070520
615.30	0.064336
618.17	0.055774
621.11	0.047687
623.41	0.043406
626.63	0.037698
629.63	0.034844
632.71	0.036746
635.64	0.039600
638.58	0.043406
640.69	0.046736
642.74	0.055774
644.24	0.064812
645.68	0.074325
646.84	0.082412
648.13	0.094780
649.36	0.10857
650.66	0.12855
651.89	0.14758
653.39	0.17469
654.62	0.20847
656.26	0.24842
658.03	0.29980
659.81	0.35260
661.38	0.39303
662.81	0.42205
664.31	0.43822
665.40	0.44155
666.63	0.43822
667.86	0.42205
669.93	0.37448
671.75	0.31930
673.60	0.26222
675.38	0.20704
676.94	0.16185
678.25	0.12808
679.60	0.10049
680.97	0.079082
682.33	0.059103
683.70	0.043882
685.20	0.031990
686.63	0.023427
688.00	0.016292
689.36	0.012011
691.28	0.0077298
693.53	0.0044001
695.92	0.0029730
698.72	0.0029730
701.86	0.0024973
704.93	0.0024973
