Wavelength (nm)	CHL042_Phe a, MeOH (Kobayashi, 2013).abs
352.15	0.35358
354.76	0.37575
357.17	0.40431
359.52	0.44026
361.65	0.47252
363.45	0.50376
365.31	0.53602
367.27	0.56726
369.74	0.59548
372.10	0.61967
374.56	0.63883
377.63	0.66201
380.04	0.68150
381.85	0.69695
383.56	0.71442
385.52	0.73660
387.08	0.76011
388.64	0.78599
390.20	0.81387
391.85	0.84109
392.96	0.86158
394.57	0.88308
396.33	0.90425
398.09	0.92105
399.95	0.93482
401.56	0.94759
402.96	0.95801
404.37	0.96607
405.27	0.97481
406.38	0.98858
407.08	0.99530
408.04	0.99900
409.20	1.0000
410.20	0.99933
411.26	0.99362
412.54	0.97313
413.87	0.93919
415.53	0.88812
416.89	0.83369
418.44	0.76515
419.50	0.71140
421.11	0.61799
422.97	0.52795
424.68	0.44900
426.39	0.37643
428.55	0.29512
430.26	0.23330
431.26	0.20071
432.47	0.17148
434.03	0.14258
435.48	0.12108
436.59	0.10630
437.75	0.095546
438.60	0.086138
439.71	0.077067
441.01	0.068331
442.37	0.059596
444.13	0.051868
445.89	0.044813
447.25	0.041453
448.85	0.040109
451.42	0.038429
454.43	0.037085
457.40	0.037421
460.21	0.038429
462.88	0.039554
465.44	0.040445
469.31	0.041789
473.13	0.043133
477.56	0.044477
482.28	0.045485
486.15	0.046157
488.51	0.047501
490.67	0.049517
492.69	0.057244
494.04	0.065980
495.45	0.073035
497.10	0.080091
498.82	0.088154
501.03	0.098234
503.39	0.10663
504.75	0.11100
506.36	0.11201
507.97	0.11066
509.52	0.10395
511.53	0.096218
513.29	0.087482
515.00	0.077067
516.56	0.068331
518.22	0.061948
519.73	0.057916
520.98	0.055228
522.04	0.053548
523.40	0.053212
524.80	0.053884
526.56	0.056908
528.22	0.063628
529.83	0.070011
531.09	0.077739
532.19	0.083787
533.35	0.090506
534.66	0.097898
535.91	0.10227
537.17	0.10294
538.53	0.10159
539.88	0.096890
541.24	0.088490
542.40	0.081771
544.26	0.071355
545.97	0.061276
547.78	0.053548
549.79	0.047837
551.39	0.043469
553.30	0.041480
556.27	0.040445
559.40	0.040711
561.20	0.040314
563.06	0.039437
565.12	0.038093
567.88	0.036413
570.14	0.034541
572.05	0.032046
574.92	0.029022
578.39	0.027678
582.16	0.027006
585.78	0.027678
589.29	0.030030
591.25	0.032382
593.37	0.037757
595.23	0.044813
596.98	0.052540
598.54	0.060940
600.00	0.070011
602.26	0.079419
604.07	0.088490
606.23	0.094202
607.84	0.096890
609.20	0.098157
610.66	0.095882
612.42	0.090842
614.68	0.084459
616.78	0.078411
619.05	0.071019
621.01	0.063964
622.52	0.060268
624.33	0.056236
626.50	0.052204
628.75	0.048173
630.86	0.046493
632.72	0.047165
634.87	0.050861
636.62	0.052876
638.45	0.055228
640.61	0.060268
642.62	0.067324
644.33	0.076395
645.94	0.089162
647.70	0.10428
649.51	0.12343
650.97	0.14527
652.48	0.17349
654.09	0.21347
655.89	0.25480
657.90	0.31125
659.74	0.36433
661.07	0.40230
662.63	0.43623
663.69	0.45706
664.59	0.46445
665.70	0.46714
666.80	0.46412
668.16	0.45471
669.47	0.42985
671.23	0.37676
673.94	0.28638
675.70	0.22322
677.41	0.17316
678.87	0.13721
679.97	0.11167
681.48	0.089162
682.69	0.072363
683.84	0.058924
685.10	0.046829
686.41	0.037757
687.86	0.029022
689.22	0.022638
690.70	0.015919
691.93	0.011887
693.49	0.0088630
695.40	0.0068471
697.46	0.0054011
699.42	0.0041604
701.08	0.0034685
702.89	0.0028154
705.20	0.0028154
708.27	0.0028154
710.68	0.0028154
713.05	0.0028154
715.56	0.0028154
