Wavelength (nm)	CHL043_Phe a, Pyr (Hindman, 1977).abs.txt

450.50	0.063528
452.89	0.058990
455.01	0.056927
457.67	0.056927
460.54	0.058165
463.33	0.062290
465.97	0.067653
468.77	0.073428
470.98	0.078791
473.90	0.081678
476.79	0.082503
479.65	0.082091
482.16	0.078791
484.43	0.074253
485.67	0.071778
486.99	0.070540
488.78	0.073428
490.44	0.079616
492.39	0.090754
494.42	0.10973
496.75	0.13036
499.30	0.15799
501.88	0.18563
504.13	0.20626
505.83	0.22317
507.26	0.23060
508.26	0.23183
509.34	0.23060
510.50	0.22111
512.90	0.19801
515.55	0.16872
518.30	0.13489
520.32	0.11344
521.83	0.10272
524.04	0.093229
526.26	0.091579
528.04	0.093641
529.60	0.10024
531.55	0.11468
533.45	0.13448
535.27	0.15428
537.35	0.17903
538.64	0.19058
539.69	0.19223
540.91	0.18976
541.81	0.17862
543.86	0.15222
546.67	0.10849
547.92	0.087454
549.26	0.075903
551.28	0.065178
554.42	0.059815
558.73	0.056102
563.11	0.053215
567.91	0.047852
572.43	0.041252
577.02	0.033826
579.72	0.030526
583.20	0.027639
585.96	0.028876
588.64	0.033826
591.35	0.041252
593.70	0.052390
596.95	0.067653
599.94	0.089104
603.06	0.11427
605.90	0.13902
607.75	0.15263
609.19	0.16212
610.74	0.16954
612.51	0.17243
614.50	0.16954
616.50	0.16171
619.15	0.14479
621.83	0.12706
625.40	0.10643
628.13	0.093229
630.89	0.085804
633.44	0.083741
637.15	0.086216
640.89	0.096941
644.34	0.11179
647.47	0.12871
649.34	0.14562
651.70	0.17119
653.83	0.21781
655.74	0.27350
658.00	0.35848
662.38	0.58907
665.69	0.76976
667.50	0.85556
669.16	0.92445
670.00	0.95786
671.10	0.98757
672.00	0.99540
673.00	1.0000
673.80	0.99499
674.50	0.98674
675.70	0.94631
677.48	0.83617
678.80	0.72603
680.56	0.54246
682.80	0.35806
684.71	0.24504
686.80	0.16336
688.38	0.12087
689.83	0.090341
692.49	0.056515
695.17	0.036301
697.32	0.023513
699.77	0.014851
702.36	0.010725
704.98	0.0070128
707.76	0.0037127
710.69	0.0037487
