Wavelength (nm)	CHL044_Phe b, Ace (Jeffrey, 1997).abs
346.89	0.12790
350.61	0.12836
353.83	0.13203
356.43	0.13616
359.52	0.14257
361.75	0.14853
363.30	0.15190
365.22	0.15358
367.08	0.15220
368.87	0.14807
370.83	0.14273
372.38	0.13814
374.03	0.13356
376.10	0.13127
378.57	0.13279
381.15	0.13700
383.63	0.14196
386.41	0.14922
388.99	0.15686
391.16	0.16336
393.02	0.17329
394.77	0.18551
396.53	0.20614
398.49	0.23480
400.66	0.27529
403.03	0.31961
404.68	0.35475
406.43	0.38073
408.09	0.40207
409.32	0.41168
411.18	0.41397
413.35	0.41320
415.62	0.41397
417.06	0.41893
418.51	0.42887
419.64	0.44606
421.29	0.47815
423.05	0.53163
424.80	0.59772
427.59	0.72647
429.50	0.83878
430.68	0.89800
432.44	0.96867
433.47	0.99771
434.50	1.0000
435.22	0.99694
436.26	0.97173
437.70	0.89074
439.46	0.76887
440.65	0.68330
442.53	0.57327
445.03	0.44415
447.50	0.33680
450.08	0.23441
452.56	0.16183
454.52	0.12095
456.28	0.088478
457.93	0.066702
459.58	0.051421
461.54	0.039196
463.19	0.031174
465.77	0.024679
468.55	0.022005
472.17	0.021241
475.88	0.020859
479.70	0.021241
484.03	0.022387
488.68	0.023915
494.04	0.025825
497.96	0.026971
501.68	0.030028
505.29	0.036904
508.70	0.043399
511.79	0.050657
514.99	0.058298
518.19	0.064028
521.49	0.067466
524.38	0.068703
527.27	0.067466
530.06	0.065556
533.05	0.061354
535.22	0.056770
537.59	0.051421
540.38	0.046073
542.85	0.043668
545.95	0.042635
549.77	0.042252
553.27	0.041870
556.58	0.041106
559.78	0.038050
562.87	0.033466
565.97	0.028499
569.68	0.023151
572.57	0.018949
575.67	0.017039
578.66	0.016274
581.50	0.019140
583.91	0.022323
586.05	0.026144
588.20	0.031237
589.49	0.036013
591.30	0.041106
592.68	0.044927
594.57	0.046518
597.06	0.047792
599.30	0.046837
601.53	0.045245
603.51	0.040788
605.58	0.036331
607.55	0.029964
609.62	0.025825
612.11	0.021687
615.21	0.018821
618.30	0.017548
621.57	0.016593
624.32	0.017230
627.42	0.018185
630.17	0.021050
632.66	0.025825
634.81	0.031237
636.88	0.039090
638.94	0.050233
640.71	0.063498
642.32	0.077558
644.26	0.096395
646.05	0.11894
647.91	0.14256
649.63	0.16537
651.40	0.18235
652.43	0.18739
653.50	0.18872
654.72	0.18735
656.22	0.17811
657.71	0.15927
659.38	0.13699
661.17	0.11152
663.39	0.080477
665.25	0.056069
666.69	0.042539
668.37	0.030601
669.91	0.022642
671.49	0.016009
673.42	0.010438
675.64	0.0059280
677.36	0.0038495
679.44	0.0018652
681.16	0.0010944
682.81	0.00085740
685.46	0.00085740
687.98	0.00085740
