[Wavelength (nm)	CHL047_Phe b, Et2O (French, 1956).ems
613.92	0.0019097
617.04	0.0019097
619.74	0.0019097
622.87	0.0043650
625.99	0.011117
629.35	0.017869
631.99	0.025849
634.58	0.036284
636.98	0.054086
639.08	0.074342
640.52	0.097054
641.96	0.12713
643.76	0.17256
645.38	0.22657
647.01	0.29594
648.75	0.36775
650.13	0.44510
651.70	0.54331
653.49	0.66915
654.99	0.76061
656.19	0.83488
657.50	0.90425
658.72	0.95581
660.04	0.99141
661.00	1.0000
661.90	0.99448
662.92	0.97545
664.54	0.91345
666.82	0.79744
668.38	0.69309
670.91	0.55313
672.59	0.46044
673.79	0.40888
674.51	0.37205
675.53	0.34259
677.03	0.30207
678.41	0.27568
680.33	0.24499
681.89	0.23087
683.70	0.22166
685.86	0.21675
688.62	0.21614
691.32	0.22166
694.93	0.23087
698.50	0.24192
702.37	0.25665
704.71	0.26770
707.00	0.27629
709.16	0.27936
711.62	0.27507
714.26	0.26402
717.50	0.24376
721.41	0.21614
726.15	0.18422
731.38	0.15291
736.50	0.12099
740.62	0.091529
743.75	0.072501
747.29	0.058982
751.91	0.047918
756.66	0.038740
760.74	0.035057
764.52	0.033215
768.31	0.031374
770.47	0.030760
