Wavelength (nm)	CHL047_Phe b, Et2O (Zass, 1980).abs
301.46	0.12856
302.42	0.12857
303.38	0.12857
304.21	0.12890
305.03	0.12955
305.99	0.13020
306.81	0.13053
307.64	0.13053
308.04	0.13182
308.60	0.13311
309.42	0.13312
310.38	0.13345
311.20	0.13571
312.03	0.13636
312.84	0.13798
313.81	0.13927
314.35	0.14121
315.04	0.14283
315.86	0.14509
316.68	0.14767
317.64	0.14929
318.18	0.15091
319.01	0.15220
319.55	0.15446
320.11	0.15576
320.79	0.15673
321.19	0.15867
321.75	0.15931
322.29	0.16093
322.97	0.16190
323.53	0.16255
324.21	0.16320
325.04	0.16353
325.72	0.16321
326.41	0.16289
327.23	0.16192
328.20	0.16096
329.02	0.15838
329.99	0.15581
330.81	0.15292
331.50	0.15098
332.19	0.14841
333.16	0.14519
334.25	0.14294
335.22	0.14068
336.18	0.13907
337.41	0.13844
338.52	0.13651
340.57	0.13620
342.36	0.13621
344.15	0.13622
345.51	0.13622
346.62	0.13655
347.44	0.13753
348.53	0.13882
349.77	0.13915
350.74	0.13948
352.11	0.13949
353.34	0.13982
354.44	0.14112
356.08	0.14144
357.73	0.14242
359.24	0.14372
360.89	0.14470
361.85	0.14664
362.94	0.14729
364.04	0.14858
364.86	0.15020
365.55	0.15182
366.36	0.15408
367.19	0.15570
367.87	0.15699
368.70	0.15796
369.65	0.15926
370.34	0.15991
371.16	0.16024
371.99	0.15992
372.95	0.15863
373.78	0.15638
374.75	0.15413
375.57	0.15220
376.53	0.15027
377.76	0.14963
378.45	0.14866
379.56	0.14674
380.38	0.14416
381.35	0.14223
382.71	0.14159
384.08	0.14160
385.18	0.14322
386.42	0.14516
387.37	0.14678
388.61	0.14872
389.57	0.15099
390.52	0.15357
391.62	0.15616
392.59	0.15842
393.67	0.16133
394.64	0.16360
395.04	0.16618
395.59	0.16843
396.00	0.17134
396.82	0.17425
397.37	0.17812
398.05	0.18393
399.01	0.19071
400.09	0.20200
400.63	0.21104
401.44	0.22136
402.39	0.23459
403.19	0.25137
404.00	0.26847
404.94	0.28943
405.61	0.30686
406.41	0.32815
407.22	0.34621
407.89	0.36041
408.42	0.37073
409.11	0.38106
409.92	0.38848
410.60	0.39235
411.42	0.39494
412.25	0.39591
413.34	0.39430
414.45	0.39173
415.82	0.39013
417.60	0.39143
418.70	0.39466
419.24	0.40047
420.61	0.41047
421.27	0.42822
421.80	0.45563
422.30	0.49918
423.37	0.52692
424.40	0.59270
425.18	0.64271
426.08	0.69174
427.26	0.74627
428.32	0.79401
429.59	0.89143
430.63	0.94655
431.16	0.97236
432.50	1.0000
434.03	0.97145
434.81	0.88464
435.98	0.81632
437.04	0.71987
437.80	0.64664
438.40	0.59410
439.43	0.52798
440.57	0.48315
441.14	0.46735
441.96	0.46671
442.24	0.46349
443.07	0.45994
443.51	0.43318
444.77	0.40706
445.89	0.38352
446.74	0.35708
448.01	0.32515
449.41	0.29678
450.12	0.26969
451.38	0.24583
451.68	0.21875
453.09	0.18972
454.22	0.15490
455.20	0.13103
456.19	0.10943
457.58	0.090411
458.98	0.067516
460.37	0.052046
461.47	0.041407
462.45	0.031737
463.69	0.025616
464.79	0.020462
466.44	0.016278
468.65	0.012743
475.37	0.012135
481.69	0.012170
486.63	0.015101
493.89	0.017399
499.94	0.018401
502.41	0.019705
504.47	0.021007
506.66	0.022309
508.30	0.025543
509.81	0.028455
511.32	0.031043
512.82	0.033954
514.06	0.036864
514.87	0.040094
516.11	0.043004
517.07	0.046555
518.30	0.050111
519.67	0.053668
520.90	0.055608
523.51	0.055947
527.22	0.055645
530.78	0.055020
532.99	0.053743
535.05	0.050203
537.66	0.046674
539.59	0.042168
541.24	0.038307
542.89	0.032833
544.00	0.030581
545.36	0.028009
546.88	0.026083
550.17	0.025133
553.88	0.025476
556.49	0.026137
558.69	0.026149
560.20	0.026480
561.56	0.026165
562.94	0.023915
564.59	0.020699
565.97	0.016836
568.03	0.012655
569.54	0.0097608
571.19	0.0068673
573.40	0.0036542
575.18	0.0017289
577.51	0.0010969
580.26	0.00046753
583.01	0.00080538
585.34	0.0017861
586.71	0.0046963
588.35	0.0092209
589.86	0.013745
590.82	0.017298
592.32	0.020209
593.97	0.024734
595.20	0.028289
596.70	0.031522
597.94	0.033787
599.45	0.036053
600.68	0.037027
602.19	0.037036
603.71	0.035432
605.36	0.031893
607.01	0.028355
608.38	0.025460
610.72	0.021280
612.64	0.018388
614.56	0.015819
617.32	0.013254
619.93	0.010688
622.80	0.010382
625.69	0.010398
627.89	0.010733
629.25	0.013644
631.18	0.016234
632.96	0.017535
634.61	0.018834
636.25	0.022713
637.76	0.027237
639.13	0.032405
640.35	0.038540
641.72	0.045321
642.94	0.054681
643.75	0.064682
645.12	0.072753
645.94	0.084371
647.02	0.096634
648.10	0.11115
648.77	0.12309
649.32	0.13148
649.86	0.13987
650.54	0.14794
651.08	0.15697
651.61	0.16729
652.43	0.17955
653.51	0.19278
654.73	0.20214
656.50	0.20699
658.30	0.20539
659.82	0.19637
660.38	0.18605
661.08	0.17541
662.20	0.15735
663.17	0.13833
664.29	0.11769
665.28	0.099636
666.25	0.083837
667.50	0.069655
668.48	0.059342
669.03	0.052892
670.00	0.047417
670.96	0.041615
672.07	0.034525
673.17	0.030984
674.40	0.026475
675.92	0.024226
677.70	0.021656
679.91	0.019088
682.66	0.016846
685.81	0.014605
690.76	0.012053
693.23	0.010777
695.57	0.010145
698.58	0.0095167
704.08	0.0082575
709.71	0.0073215
724.39	0.0061140
743.34	0.0058979
