Wavelength (nm)	CHL048_Phe b, Et2O (Kobayashi, 2013).abs
350.62	0.15481
353.72	0.15707
356.91	0.16159
359.94	0.16442
362.31	0.16894
364.44	0.17516
367.14	0.18364
369.51	0.18534
372.13	0.17799
374.17	0.17177
376.55	0.16499
378.51	0.16046
381.54	0.15990
384.48	0.16329
387.18	0.16872
390.70	0.17686
393.72	0.18477
396.26	0.19778
397.98	0.21248
399.61	0.22718
400.92	0.24866
402.15	0.26901
403.62	0.29672
404.87	0.32103
405.91	0.34256
407.06	0.36795
408.47	0.38944
409.84	0.40527
410.98	0.41545
412.21	0.41884
413.37	0.41262
414.83	0.40357
416.79	0.40018
418.76	0.40697
420.23	0.41997
421.21	0.43467
422.35	0.45446
423.17	0.48329
424.27	0.51948
425.79	0.58562
427.26	0.67099
428.41	0.75071
429.39	0.84513
430.29	0.91863
430.78	0.94633
431.43	0.97347
432.33	0.99608
433.40	1.0000
434.27	0.99495
435.03	0.97573
435.93	0.93107
436.92	0.83213
438.07	0.73997
439.27	0.65234
440.47	0.58167
442.47	0.49799
444.07	0.45502
445.67	0.41205
447.27	0.37417
448.92	0.31764
450.66	0.26562
452.27	0.20909
453.44	0.17290
454.42	0.14068
455.56	0.11863
456.87	0.10053
458.18	0.081876
459.74	0.066611
460.88	0.055869
462.52	0.048519
464.32	0.041735
465.87	0.037777
468.33	0.033820
470.92	0.031269
473.89	0.029862
477.65	0.028166
481.99	0.028166
486.16	0.030043
490.17	0.031558
494.50	0.033820
498.84	0.036808
503.91	0.041169
508.16	0.046258
511.11	0.051912
513.81	0.058696
516.37	0.064915
519.12	0.069438
522.15	0.073130
524.85	0.073396
528.22	0.068873
532.27	0.065480
535.82	0.062088
538.92	0.052477
541.54	0.045127
544.73	0.041169
548.98	0.040039
552.99	0.039473
557.73	0.038343
561.17	0.036647
563.95	0.033254
566.73	0.025904
569.92	0.020251
573.52	0.016293
577.45	0.013273
581.13	0.014856
584.40	0.018191
587.47	0.022512
588.97	0.025750
591.27	0.031558
593.56	0.037777
595.57	0.042456
597.47	0.046456
599.61	0.047389
602.39	0.042866
605.58	0.036647
608.61	0.029862
611.47	0.024208
614.91	0.018555
618.26	0.015728
621.62	0.014860
624.73	0.015863
628.08	0.017424
631.32	0.020251
634.13	0.024308
636.59	0.031558
639.02	0.043431
640.68	0.052477
642.72	0.066611
644.67	0.082442
646.15	0.10166
647.55	0.12371
649.07	0.14576
650.33	0.16499
651.64	0.18138
653.03	0.19608
654.40	0.20004
656.07	0.19608
657.28	0.18138
658.51	0.15933
659.74	0.13785
661.13	0.11636
662.68	0.093184
664.07	0.071700
665.71	0.053042
667.34	0.038908
669.39	0.028166
671.60	0.019685
674.27	0.012901
676.83	0.0089434
679.53	0.0057551
682.80	0.0041420
686.98	0.0032895
690.57	0.0028329
693.68	0.0025272
696.27	0.0024200
698.24	0.0024200
700.00	0.0024200
