Wavelength (nm)	CHL049_Phe b, MeOH (Kobayashi, 2013).abs
350.85	0.22728
354.62	0.22728
358.03	0.22825
360.71	0.23457
363.25	0.24089
365.07	0.25208
366.52	0.25694
368.16	0.26059
369.92	0.25978
370.94	0.25775
372.18	0.25451
373.77	0.24867
375.66	0.24430
377.62	0.23944
379.00	0.23409
380.80	0.22979
382.92	0.22777
384.79	0.22898
386.66	0.23263
388.66	0.23628
391.14	0.24276
393.62	0.25086
395.91	0.25978
397.73	0.27031
399.48	0.28246
400.99	0.29948
402.32	0.31893
403.53	0.34324
404.86	0.36957
406.25	0.39955
407.46	0.42711
409.64	0.45992
410.91	0.47856
412.18	0.49072
413.15	0.50044
414.48	0.50611
415.87	0.51057
417.80	0.51178
419.37	0.51219
420.82	0.51543
421.97	0.52394
423.36	0.54582
425.12	0.59322
426.99	0.66129
428.26	0.72085
429.59	0.79864
430.92	0.87035
432.01	0.91654
432.74	0.95098
433.88	0.97974
434.85	0.99635
436.00	1.0000
436.97	0.99676
438.00	0.97893
439.57	0.92788
441.80	0.83470
443.93	0.72530
445.98	0.63050
448.15	0.54744
449.72	0.48626
451.36	0.42467
452.99	0.37160
454.44	0.32744
455.89	0.28976
457.16	0.25734
458.61	0.23101
459.94	0.20832
461.45	0.18847
462.72	0.17388
464.11	0.15970
465.63	0.14633
467.50	0.13499
469.56	0.12567
472.16	0.11716
474.76	0.10865
477.72	0.099332
481.35	0.085557
484.52	0.074617
487.38	0.067730
490.72	0.060032
493.86	0.053549
497.31	0.050308
501.06	0.047877
505.23	0.049903
508.86	0.053193
512.27	0.058006
514.78	0.062057
517.44	0.069350
519.92	0.075833
522.52	0.080695
525.30	0.083531
527.54	0.084341
529.96	0.083527
533.28	0.081100
536.55	0.075833
539.45	0.070566
541.81	0.065299
544.35	0.060437
547.25	0.058006
550.57	0.058006
553.54	0.058816
557.41	0.058411
560.61	0.055980
562.67	0.052739
565.35	0.047472
567.56	0.044230
569.74	0.039774
571.92	0.034507
574.94	0.029645
577.36	0.027619
579.29	0.027214
581.05	0.027214
583.04	0.028834
585.64	0.031670
587.65	0.036532
589.57	0.041394
591.45	0.048687
592.78	0.055980
594.47	0.062057
595.92	0.064083
597.07	0.065299
598.58	0.066109
600.33	0.065704
602.48	0.062463
604.39	0.058816
606.83	0.050713
608.86	0.045446
611.11	0.039368
613.62	0.033696
616.11	0.028429
617.99	0.026403
620.41	0.023972
622.70	0.022515
625.42	0.023972
627.60	0.026809
630.32	0.032076
632.56	0.037834
634.80	0.046171
636.91	0.054765
638.54	0.065704
641.08	0.084341
643.26	0.10581
645.14	0.12810
646.95	0.15484
648.34	0.17915
649.97	0.20589
651.57	0.22817
652.81	0.24033
653.90	0.24235
654.88	0.23992
656.39	0.22696
657.83	0.20710
659.22	0.18361
660.89	0.15686
662.61	0.13012
664.42	0.10500
666.18	0.084341
667.81	0.067324
669.44	0.054359
671.38	0.041799
673.37	0.030050
675.38	0.021541
677.14	0.015464
679.60	0.010197
681.96	0.0077661
684.92	0.0061455
687.70	0.0049300
690.54	0.0041197
693.26	0.0035483
695.86	0.0033014
697.71	0.0031210
700.37	0.0031210
