Wavelength (nm)	CHL050_Phe d, Ace (Kobayashi, 2013).abs
351.03	0.35692
353.47	0.37571
355.81	0.40370
358.43	0.43849
361.61	0.48927
364.17	0.52526
366.67	0.56364
368.77	0.59972
370.48	0.63321
372.07	0.67120
373.55	0.70758
375.25	0.75077
376.96	0.79115
378.32	0.82354
379.63	0.85273
381.11	0.87832
382.42	0.88711
383.38	0.88951
384.41	0.88711
385.89	0.87152
387.31	0.84393
388.70	0.81594
389.76	0.79315
390.79	0.77276
391.93	0.75676
393.12	0.73917
393.98	0.73197
394.58	0.72878
395.40	0.72798
396.33	0.72944
396.99	0.73437
398.47	0.75037
400.18	0.76836
402.11	0.79315
404.41	0.81874
406.05	0.84106
407.94	0.86172
409.98	0.88638
412.21	0.91304
415.05	0.94502
416.96	0.96568
418.99	0.98767
420.41	0.99867
421.50	1.0000
422.83	0.99800
424.35	0.98501
425.68	0.96668
427.34	0.93469
428.67	0.90137
430.74	0.84106
432.90	0.77642
435.51	0.69212
437.98	0.60249
441.22	0.48954
445.05	0.35659
446.91	0.29428
448.33	0.25230
449.90	0.21331
451.61	0.17399
453.03	0.14634
454.46	0.12601
455.88	0.10835
457.35	0.093359
458.92	0.081364
460.34	0.071701
461.57	0.063038
463.14	0.057374
464.80	0.054708
466.88	0.052376
469.35	0.051043
473.33	0.050376
477.65	0.049698
482.25	0.048447
485.19	0.047378
488.23	0.045712
490.36	0.045378
492.78	0.046378
495.01	0.047378
497.19	0.049377
498.99	0.056707
500.22	0.062038
501.55	0.069369
502.93	0.078032
504.68	0.091027
506.81	0.10535
508.90	0.11968
510.79	0.13334
512.18	0.14301
513.74	0.15167
515.11	0.15600
516.16	0.15700
517.29	0.15533
518.48	0.14834
519.86	0.13768
521.33	0.12501
523.27	0.10735
524.98	0.093026
526.61	0.078699
527.92	0.070035
529.34	0.061039
530.96	0.054041
532.57	0.052376
534.18	0.053375
535.98	0.059373
537.55	0.068036
538.88	0.078032
539.78	0.086362
540.96	0.097691
542.19	0.11102
543.33	0.12501
544.47	0.14001
545.65	0.15067
546.65	0.15533
547.60	0.15633
548.45	0.15500
549.54	0.14700
550.82	0.13301
552.20	0.11935
553.72	0.10102
555.24	0.083030
556.53	0.068702
557.80	0.057040
559.13	0.046711
560.46	0.039381
561.64	0.033050
562.92	0.027719
564.44	0.024720
567.00	0.023054
571.27	0.023054
575.97	0.022721
581.14	0.022054
586.21	0.020388
589.62	0.019389
593.32	0.015723
596.45	0.014057
598.97	0.014391
601.58	0.015057
603.57	0.015723
605.65	0.018056
607.93	0.021181
610.49	0.025386
612.67	0.031051
614.91	0.039714
617.08	0.048710
619.17	0.056707
620.97	0.065370
622.53	0.071368
624.91	0.081031
626.76	0.085696
628.46	0.088695
630.22	0.089694
632.07	0.088695
633.54	0.086695
635.20	0.083030
637.52	0.079032
639.61	0.075033
641.36	0.071368
643.78	0.068702
646.91	0.067370
650.04	0.067036
652.98	0.066370
656.16	0.066553
659.10	0.067617
661.95	0.068702
663.84	0.072034
665.65	0.077699
667.07	0.085363
668.44	0.096358
670.01	0.11135
671.24	0.12535
672.33	0.14367
673.42	0.16366
674.60	0.19032
675.65	0.21831
677.16	0.26229
678.68	0.30894
680.19	0.37358
681.91	0.45248
683.38	0.51926
685.20	0.60522
687.47	0.69119
689.35	0.75037
690.31	0.76556
691.00	0.76756
692.08	0.76516
692.82	0.75197
694.01	0.71118
695.91	0.62881
698.50	0.51246
701.32	0.36252
703.48	0.26176
704.57	0.21218
705.54	0.17739
706.39	0.15140
707.59	0.12261
708.61	0.10062
709.75	0.081031
711.03	0.063438
712.26	0.049843
713.45	0.036648
714.76	0.027052
715.84	0.019455
717.64	0.012258
719.09	0.0086595
720.74	0.0058606
722.39	0.0046611
724.01	0.0039093
725.69	0.0033896
727.34	0.0029729
728.77	0.0028911
730.67	0.0028911
