Wavelength (nm)	CHL051_Phe d, C6H6 (Kobayashi, 2013).abs
350.93	0.30302
353.75	0.31933
355.92	0.34135
358.32	0.36786
360.90	0.39641
363.72	0.43108
366.83	0.46697
369.93	0.50897
372.63	0.54884
374.63	0.58075
376.56	0.61705
378.26	0.64763
379.55	0.67292
381.67	0.71207
382.96	0.73940
384.37	0.76509
385.42	0.78548
386.65	0.79812
387.80	0.79935
389.00	0.79731
390.46	0.78507
391.75	0.76591
393.27	0.73695
394.68	0.70962
395.85	0.69209
396.78	0.67700
397.78	0.66680
399.24	0.66354
400.94	0.66925
402.64	0.68271
403.93	0.69657
405.46	0.71248
407.34	0.73369
409.39	0.75979
411.56	0.78518
413.49	0.80587
415.55	0.82504
417.46	0.84584
418.72	0.86093
419.88	0.87724
421.00	0.89886
422.41	0.92414
423.93	0.95024
425.34	0.97414
426.34	0.98910
427.51	0.99878
428.80	1.0000
429.97	0.99755
431.21	0.98817
432.40	0.96656
433.60	0.93801
435.18	0.89029
436.99	0.83197
438.27	0.78507
440.09	0.72186
441.85	0.65905
444.01	0.57993
446.18	0.49918
448.40	0.40946
449.68	0.36338
451.08	0.31321
452.56	0.26346
453.84	0.22798
455.24	0.19209
457.00	0.15905
458.28	0.13785
459.57	0.11623
460.80	0.10033
462.50	0.085644
464.26	0.074504
465.66	0.065661
467.25	0.059543
469.24	0.055846
471.76	0.054241
474.92	0.053984
478.09	0.053742
481.13	0.053018
484.12	0.052061
487.35	0.051057
491.21	0.050493
494.20	0.050163
497.25	0.050451
499.95	0.051794
502.17	0.055873
503.76	0.061582
505.57	0.069331
507.45	0.079280
509.68	0.092851
511.55	0.10563
513.75	0.11909
515.83	0.13214
517.59	0.14233
518.88	0.14927
520.40	0.15049
521.63	0.14804
523.45	0.13703
525.19	0.12316
526.50	0.11175
528.08	0.097471
529.42	0.084421
530.81	0.073002
532.18	0.064437
533.58	0.056688
535.17	0.049347
537.28	0.047308
539.15	0.050163
540.85	0.057912
542.38	0.069733
543.84	0.084013
544.97	0.094073
545.86	0.10291
547.14	0.11684
548.21	0.13044
549.33	0.14233
550.29	0.15253
551.29	0.16069
552.46	0.16272
553.69	0.16028
554.90	0.15117
556.07	0.13622
557.68	0.11548
559.15	0.099850
560.66	0.080479
562.46	0.060087
563.93	0.047512
565.44	0.037656
566.91	0.029187
569.10	0.025744
572.04	0.024402
574.67	0.023722
577.60	0.023382
580.83	0.022502
583.46	0.021683
585.56	0.019984
587.85	0.017945
590.84	0.016925
594.35	0.016761
597.62	0.016585
601.48	0.015905
605.83	0.015226
609.88	0.015566
612.96	0.016524
615.64	0.018776
617.70	0.023382
619.36	0.027800
621.00	0.034258
622.97	0.041735
624.69	0.048192
626.54	0.055669
628.18	0.062466
630.20	0.070812
631.91	0.076060
632.98	0.078779
634.25	0.080831
635.33	0.081498
636.79	0.080479
638.45	0.076740
640.94	0.071642
643.19	0.067564
645.88	0.064505
648.81	0.062466
651.98	0.061786
656.03	0.062466
658.92	0.062806
661.36	0.063146
663.70	0.061786
665.80	0.061107
668.05	0.062126
670.39	0.063486
672.15	0.069263
673.66	0.078100
674.98	0.088295
676.25	0.099511
677.57	0.11446
679.19	0.14063
680.36	0.16170
682.07	0.20996
683.54	0.25245
685.45	0.32926
687.85	0.46282
690.50	0.63343
691.92	0.71567
693.10	0.77923
694.47	0.83972
695.45	0.87419
696.47	0.89374
697.30	0.89614
698.03	0.89376
698.97	0.88017
700.08	0.84652
702.17	0.73301
703.83	0.61338
705.43	0.49952
707.04	0.38227
708.55	0.29833
710.29	0.21200
711.57	0.16612
712.64	0.13248
713.66	0.10495
714.82	0.081838
715.71	0.067904
716.93	0.052950
718.15	0.039356
719.57	0.028480
720.71	0.020663
722.16	0.012847
723.91	0.0077488
725.18	0.0046900
726.16	0.0033306
727.33	0.0019712
728.56	0.0013657
729.87	0.0010513
731.69	0.00076280
732.85	0.00061175
736.76	0.00061175
740.10	0.00061175
745.00	0.00061175
750.00	0.00061175
