Wavelength (nm)	CHL052_Phe d, Et2O (French, 1956).ems
650.92	0.0030165
652.34	0.0064528
654.25	0.011178
656.17	0.013326
658.30	0.014614
660.18	0.014614
662.26	0.015903
664.06	0.014185
665.85	0.015044
667.14	0.016762
668.64	0.020628
670.02	0.026642
671.40	0.035233
672.52	0.044683
674.23	0.060576
675.65	0.079905
676.74	0.10439
678.61	0.14906
680.11	0.19116
681.74	0.24270
683.45	0.30069
684.95	0.35567
686.58	0.42483
688.04	0.49012
689.46	0.55498
690.79	0.62672
692.33	0.70447
694.29	0.81314
695.35	0.86297
696.40	0.90678
697.55	0.94931
698.78	0.98024
700.01	0.99613
701.00	1.00000
701.93	0.99484
703.18	0.97680
704.18	0.94888
705.65	0.88831
706.85	0.82904
708.40	0.74957
709.85	0.66581
710.98	0.60052
712.35	0.51289
713.69	0.43901
715.15	0.37415
716.32	0.32861
717.19	0.29812
718.44	0.26676
720.15	0.23798
721.70	0.21865
723.53	0.20104
726.03	0.18171
728.79	0.16238
732.50	0.14520
735.04	0.13704
737.34	0.13059
742.88	0.10954
747.35	0.091074
751.52	0.072603
755.77	0.061005
759.23	0.051985
762.24	0.047260
766.12	0.038669
769.66	0.034803
