Wavelength (nm)	CHL053_Phe d, Et2O (Kobayashi, 2013).abs
350.49	0.36856
353.44	0.39210
355.73	0.42179
358.02	0.45541
360.96	0.49520
364.64	0.55067
367.90	0.60053
369.96	0.64088
371.76	0.68178
373.72	0.72268
375.20	0.75798
376.26	0.78712
377.55	0.81289
378.55	0.83363
379.28	0.84595
380.68	0.85940
382.31	0.86500
383.70	0.86052
384.77	0.84539
386.24	0.81626
387.46	0.78712
388.61	0.76079
390.00	0.73389
391.23	0.71764
392.37	0.70475
394.05	0.69859
395.81	0.70363
397.44	0.72156
399.33	0.74173
401.29	0.76863
403.25	0.79496
404.97	0.81906
407.18	0.85044
409.30	0.87845
412.50	0.92160
415.10	0.95353
417.73	0.98435
419.20	0.99668
421.00	1.0000
422.55	0.99612
424.36	0.97146
426.07	0.93504
427.63	0.88742
429.59	0.81794
431.70	0.74734
434.10	0.66441
436.95	0.57588
439.20	0.50416
441.45	0.42628
444.32	0.32094
446.11	0.26435
447.59	0.22176
449.14	0.18310
450.70	0.15284
452.58	0.12763
453.97	0.10914
455.77	0.093449
457.49	0.081122
459.28	0.071036
461.20	0.063752
463.37	0.060016
465.99	0.057589
469.67	0.055908
473.60	0.055703
478.10	0.055908
483.58	0.055908
487.67	0.055347
491.35	0.054227
494.38	0.055248
496.59	0.058616
498.96	0.065994
500.84	0.077760
502.56	0.089527
504.40	0.10129
506.20	0.11418
507.63	0.12427
509.26	0.13435
510.65	0.14444
511.85	0.15116
513.30	0.15845
515.15	0.16069
517.36	0.15564
518.92	0.14612
520.47	0.13043
521.94	0.11642
523.50	0.10241
525.21	0.083924
526.69	0.071036
528.00	0.064251
529.88	0.058149
532.00	0.056468
533.97	0.059270
536.09	0.066554
537.80	0.081122
539.28	0.096811
541.00	0.11698
542.39	0.13491
543.29	0.14948
544.93	0.16573
546.56	0.17124
548.20	0.16517
549.75	0.14444
551.10	0.12483
552.62	0.10129
554.09	0.079441
555.64	0.058149
557.12	0.042460
559.08	0.032374
562.27	0.026211
565.79	0.025090
571.02	0.024530
576.91	0.025651
581.25	0.024530
585.91	0.022849
590.41	0.021100
595.81	0.020048
601.62	0.019487
606.28	0.021200
610.12	0.025090
613.72	0.031254
616.83	0.040219
619.45	0.050865
621.90	0.060951
624.03	0.071597
626.65	0.081122
630.08	0.083592
632.60	0.082140
634.45	0.079441
638.18	0.073838
642.60	0.067114
646.85	0.063192
652.49	0.059830
656.75	0.058709
661.00	0.058709
664.52	0.060598
666.89	0.066554
668.77	0.076079
670.25	0.089527
671.64	0.10634
673.19	0.12427
674.83	0.15172
676.38	0.18366
677.75	0.22232
678.92	0.26883
681.00	0.36240
682.68	0.45821
684.20	0.55907
686.11	0.69243
687.50	0.78712
688.55	0.84315
689.67	0.88854
690.50	0.90535
691.90	0.91207
692.99	0.90535
694.05	0.87341
695.03	0.81345
696.83	0.67618
698.50	0.53722
700.50	0.38705
702.15	0.29292
703.20	0.23801
704.03	0.18926
705.01	0.15004
706.48	0.11250
707.87	0.081682
709.35	0.059830
710.90	0.042460
712.62	0.031254
715.00	0.020608
717.12	0.013324
719.41	0.0088412
722.11	0.0066000
724.81	0.0054794
727.75	0.0051479
731.02	0.0050044
732.99	0.0050044
735.52	0.0050044
738.30	0.0050044
741.90	0.0050044
750.00	0.0050044
