Wavelength (nm)	CHL054_Phe d, MeOH (Kobayashi, 2013).abs
350.43	0.42222
353.32	0.44788
355.75	0.48300
357.17	0.51205
360.76	0.57588
364.31	0.63835
367.65	0.69813
369.57	0.73426
371.67	0.78256
373.64	0.82882
375.60	0.87948
377.52	0.92203
378.99	0.95175
380.46	0.97607
381.68	0.99194
382.79	0.99869
384.00	1.0000
385.17	0.99768
386.33	0.98890
387.60	0.97640
388.81	0.95884
390.28	0.93554
391.65	0.91697
393.12	0.89974
394.44	0.88725
395.75	0.88184
396.87	0.88083
398.23	0.88218
399.40	0.89164
400.46	0.90143
401.22	0.90920
402.38	0.91967
403.75	0.93149
405.17	0.94331
406.64	0.95412
408.11	0.96323
409.17	0.96931
410.33	0.97168
411.68	0.97095
413.53	0.96695
415.03	0.96281
416.83	0.95651
418.30	0.94939
419.62	0.93971
421.12	0.92507
423.09	0.90548
424.71	0.88320
426.39	0.85517
427.70	0.82578
429.42	0.79201
430.84	0.75520
432.87	0.70455
434.69	0.65862
437.78	0.56743
442.84	0.42830
446.94	0.30672
449.50	0.24627
451.68	0.19966
453.46	0.16076
455.28	0.13644
457.10	0.11496
458.68	0.098349
460.08	0.086596
462.08	0.074033
463.54	0.066333
465.00	0.060254
466.64	0.055797
469.07	0.052555
472.53	0.048907
475.94	0.047286
479.58	0.046288
483.23	0.046070
487.91	0.047691
491.61	0.050123
494.89	0.053174
497.45	0.057418
499.82	0.066333
502.55	0.077680
505.35	0.089433
508.38	0.10362
510.81	0.11618
513.00	0.12834
514.64	0.13401
516.28	0.13563
517.92	0.13482
519.32	0.12996
521.14	0.12064
522.78	0.10970
524.30	0.10037
525.64	0.091864
527.04	0.085786
529.29	0.077680
530.81	0.073223
532.93	0.069981
534.51	0.069575
536.21	0.072817
537.79	0.075654
539.80	0.082138
541.50	0.091864
542.90	0.10240
544.05	0.11253
545.02	0.12226
546.12	0.13280
547.76	0.14171
549.40	0.14495
550.92	0.14212
552.38	0.13239
553.89	0.12145
555.35	0.10726
556.99	0.092675
558.69	0.081328
560.40	0.068360
562.22	0.058633
564.10	0.046476
565.93	0.038371
568.30	0.030265
570.85	0.026213
573.34	0.025402
576.68	0.024592
580.08	0.023842
584.28	0.022971
588.10	0.023376
591.63	0.023584
594.06	0.024187
596.55	0.024959
599.59	0.026618
603.23	0.029860
606.76	0.033913
610.77	0.038371
614.11	0.043234
616.66	0.049312
618.67	0.055391
620.37	0.061875
621.95	0.068360
623.76	0.075654
625.11	0.080112
626.87	0.084975
628.57	0.088217
630.58	0.087407
633.25	0.084975
636.65	0.084165
639.93	0.083354
642.85	0.083354
645.22	0.085786
647.65	0.091459
648.93	0.096728
650.08	0.10321
651.60	0.11334
653.00	0.12347
654.52	0.13563
655.91	0.14455
657.25	0.15549
658.71	0.16643
660.29	0.17575
661.32	0.17737
662.60	0.17373
664.00	0.16441
664.79	0.15792
665.82	0.15063
667.22	0.14252
668.49	0.13685
669.95	0.13604
671.23	0.13766
672.38	0.14617
673.66	0.15306
674.99	0.16684
676.27	0.18629
678.09	0.21871
679.61	0.25640
681.13	0.30138
682.22	0.33907
683.26	0.37352
684.84	0.42417
686.09	0.46632
686.90	0.49591
688.19	0.53522
689.70	0.57290
691.03	0.59925
692.13	0.60816
693.10	0.61100
694.01	0.60816
695.11	0.59762
696.44	0.56966
698.39	0.51212
700.57	0.44322
702.64	0.36825
704.04	0.31476
705.56	0.26856
707.20	0.22276
708.78	0.18102
709.87	0.15144
711.27	0.12347
712.42	0.10402
713.94	0.084570
715.52	0.065523
716.86	0.052960
718.38	0.042018
719.99	0.031886
721.74	0.022566
723.09	0.016487
725.24	0.010003
727.25	0.0063553
729.62	0.0035185
731.81	0.0023027
734.30	0.0010869
737.21	0.00037641
740.06	0.00020128
743.33	0.00020128
