Wavelength (nm)	CHL055_Phe f, Ace (Kobayashi, 2013).abs
350.66	0.47318
354.28	0.49549
358.37	0.53047
362.12	0.56394
364.97	0.59892
368.40	0.64000
371.93	0.67752
375.34	0.71656
378.19	0.75205
380.75	0.78400
383.59	0.82253
386.34	0.85447
388.27	0.87374
389.91	0.88794
391.61	0.90163
392.96	0.91093
394.61	0.91431
396.19	0.91304
397.59	0.91050
398.93	0.90974
400.90	0.91329
401.85	0.92191
402.87	0.93509
403.97	0.94980
405.14	0.96653
407.03	0.98833
408.28	0.99797
409.30	1.00000
410.61	0.99695
411.83	0.98487
413.23	0.96712
414.45	0.94219
415.66	0.90924
417.12	0.86698
418.71	0.82135
420.24	0.76895
421.63	0.72332
422.85	0.69163
424.24	0.65571
426.25	0.61769
428.50	0.57797
431.48	0.53402
433.86	0.49599
435.44	0.46430
437.20	0.42459
438.97	0.38656
440.73	0.35149
442.62	0.31092
444.63	0.27543
446.64	0.24247
448.34	0.21374
450.17	0.18797
452.17	0.16557
454.00	0.14444
455.89	0.12839
458.08	0.11402
460.21	0.10346
462.28	0.094163
464.77	0.087402
466.96	0.081064
470.07	0.076416
472.99	0.073881
475.91	0.071768
479.19	0.070923
482.97	0.070501
486.50	0.069583
489.36	0.068811
492.46	0.067966
494.95	0.066698
497.63	0.067121
500.01	0.068811
502.80	0.071346
505.85	0.074304
508.28	0.077261
510.96	0.081008
513.27	0.085712
516.07	0.092473
518.26	0.097966
520.51	0.099656
522.89	0.097543
524.89	0.093318
527.08	0.089515
529.15	0.085712
531.47	0.079797
533.29	0.074726
535.30	0.071346
537.67	0.070923
540.05	0.073036
542.12	0.075571
543.94	0.082332
546.19	0.092473
547.90	0.10219
549.24	0.11191
550.63	0.12163
552.22	0.13092
553.80	0.14106
555.02	0.14782
556.29	0.14994
557.63	0.14740
559.15	0.13937
560.98	0.12754
563.41	0.11318
566.09	0.097543
568.36	0.084022
570.37	0.073881
572.97	0.062473
575.83	0.054022
578.57	0.050642
581.61	0.046839
584.53	0.044304
587.57	0.041618
591.16	0.038811
595.00	0.035580
598.16	0.032050
600.96	0.030782
604.31	0.030360
608.51	0.031205
612.58	0.033318
616.05	0.036698
618.97	0.040923
622.14	0.045355
625.06	0.050642
628.16	0.057402
630.90	0.061628
633.94	0.063740
637.29	0.067121
641.49	0.072168
645.50	0.076416
649.70	0.083006
653.35	0.091628
657.31	0.099233
661.75	0.10388
666.01	0.10726
669.66	0.10895
672.46	0.11318
674.53	0.11656
675.99	0.12543
677.70	0.13557
679.23	0.15332
680.56	0.17275
682.50	0.20740
684.51	0.25092
685.91	0.29571
687.25	0.33839
688.72	0.38909
689.99	0.43430
691.57	0.48966
693.09	0.54247
694.85	0.59064
695.90	0.61431
696.99	0.62402
697.90	0.62656
698.81	0.62445
700.21	0.60543
702.28	0.54247
704.78	0.45754
706.66	0.38698
708.67	0.31219
710.50	0.24797
711.65	0.20825
712.81	0.17487
714.03	0.14571
715.24	0.11909
716.59	0.097966
718.10	0.077261
719.87	0.059515
721.27	0.046416
722.67	0.035430
724.25	0.027402
725.66	0.021909
727.05	0.016839
729.04	0.010923
730.82	0.0079654
732.83	0.0054302
735.08	0.0036403
737.15	0.0031976
739.46	0.0028473
741.77	0.0028473
