Wavelength (nm)	CHL056_Phe f, C6H6 (Kobayashi, 2013).abs
350.35	0.30664
352.99	0.31871
355.15	0.33355
357.26	0.35482
359.78	0.38431
362.48	0.41489
366.23	0.45634
369.38	0.49296
372.97	0.54004
375.87	0.58189
378.77	0.62736
381.18	0.66720
383.64	0.70825
385.66	0.74728
387.68	0.78189
389.44	0.81247
391.38	0.84105
393.20	0.86962
394.97	0.89497
396.44	0.90986
397.77	0.91952
399.64	0.92435
401.57	0.92555
403.27	0.92555
405.26	0.92435
406.55	0.92918
407.72	0.93803
408.60	0.94567
409.66	0.95493
410.54	0.96499
411.47	0.97586
412.42	0.98954
413.47	0.99784
415.00	1.0000
416.43	0.99678
417.57	0.98511
418.79	0.96499
420.30	0.93441
422.42	0.87767
424.09	0.83139
426.16	0.76781
427.98	0.71308
429.89	0.65151
432.01	0.59115
434.37	0.52193
436.56	0.46237
438.26	0.42455
440.49	0.37183
443.18	0.31066
445.81	0.25594
447.92	0.21046
449.61	0.17586
450.96	0.14889
452.36	0.12716
453.88	0.10865
455.52	0.090141
457.45	0.072837
459.39	0.059557
461.03	0.051107
462.72	0.043863
464.48	0.039437
466.71	0.036217
470.45	0.033803
474.20	0.034038
477.77	0.035815
481.23	0.037827
484.92	0.041285
488.78	0.043846
492.18	0.045070
497.22	0.044266
502.08	0.044266
506.71	0.045875
510.16	0.048529
513.03	0.054728
515.76	0.062374
517.72	0.068008
520.55	0.076056
523.58	0.084507
525.68	0.086922
528.49	0.084507
530.49	0.078471
532.65	0.072032
534.82	0.064789
536.67	0.059557
538.45	0.054728
540.97	0.052314
543.13	0.054312
544.95	0.059557
546.65	0.066801
548.29	0.074447
549.46	0.082093
550.63	0.090946
551.98	0.10221
553.33	0.11509
554.91	0.12918
556.61	0.14487
558.35	0.15936
559.43	0.16579
561.07	0.16781
562.63	0.16499
564.21	0.15573
565.76	0.14487
567.39	0.13159
569.14	0.11791
570.90	0.10221
572.72	0.086519
574.35	0.074447
575.46	0.067606
577.22	0.059557
578.68	0.053119
580.26	0.049050
582.43	0.043507
584.60	0.039034
587.29	0.035010
590.40	0.030986
593.38	0.027696
596.90	0.024195
600.29	0.022029
601.99	0.021133
604.28	0.019891
606.46	0.019029
608.84	0.018425
611.68	0.019125
614.00	0.019885
617.28	0.021328
619.50	0.022938
622.08	0.026559
625.24	0.033400
627.70	0.038632
629.99	0.045473
632.04	0.052716
634.26	0.058350
636.37	0.062777
638.66	0.066398
641.29	0.068881
643.05	0.069618
644.57	0.069618
646.91	0.068410
648.91	0.065996
651.54	0.063984
655.93	0.063179
659.62	0.063984
662.26	0.065996
665.19	0.068813
668.06	0.072032
670.16	0.074849
672.39	0.077666
674.38	0.082897
676.14	0.088934
677.66	0.096579
679.07	0.10624
680.24	0.11952
681.71	0.13360
682.70	0.15050
683.82	0.16740
684.81	0.19155
686.51	0.22978
687.92	0.27686
689.33	0.33078
690.74	0.39195
692.39	0.48531
694.50	0.61891
696.09	0.71630
697.80	0.80483
699.08	0.85674
700.08	0.88853
700.96	0.90302
701.90	0.90503
702.83	0.90181
703.81	0.88732
704.88	0.85111
706.93	0.75976
709.06	0.63863
711.54	0.50342
714.57	0.33078
715.82	0.27606
717.15	0.22254
718.60	0.17807
719.54	0.15091
720.71	0.12555
722.17	0.098994
723.40	0.080483
724.75	0.063179
726.15	0.050302
727.44	0.039437
729.08	0.029779
730.72	0.021730
732.71	0.015694
734.70	0.011268
737.10	0.0080483
739.56	0.0056338
742.26	0.0034427
745.71	0.0020121
748.08	0.0014875
751.39	0.0012072
755.08	0.0012072
759.86	0.0012072
