Wavelength (nm)	CHL057_Phe f, Et2O (Kobayashi, 2013).abs
350.13	0.44685
353.27	0.46443
355.82	0.48810
359.16	0.52157
362.59	0.56215
365.78	0.59596
368.97	0.63202
371.75	0.66132
374.70	0.69795
377.40	0.73120
380.18	0.77008
382.96	0.80164
385.25	0.82756
387.62	0.85630
389.59	0.87772
391.14	0.89011
391.84	0.89469
393.29	0.90021
394.49	0.89744
395.64	0.89077
396.74	0.88673
398.26	0.88842
399.89	0.89687
401.77	0.91378
403.08	0.93181
404.24	0.94759
405.49	0.96788
406.64	0.98366
408.24	0.99774
409.30	1.00000
410.13	0.99869
410.77	0.99549
412.00	0.97858
413.31	0.95717
414.62	0.92787
416.91	0.86081
418.54	0.80897
420.26	0.75656
422.24	0.69514
423.86	0.65231
425.69	0.61174
428.03	0.57342
430.08	0.53735
431.94	0.50749
434.24	0.46973
435.97	0.42859
438.18	0.37337
439.97	0.33054
442.10	0.28940
443.90	0.25390
445.86	0.22178
447.75	0.19079
449.63	0.15698
451.84	0.12993
453.80	0.10908
455.93	0.092174
457.73	0.080904
459.93	0.071324
461.65	0.063917
464.92	0.057236
468.52	0.053027
471.55	0.052461
474.74	0.052888
478.42	0.054138
482.43	0.055234
486.68	0.056178
490.61	0.057663
493.31	0.057800
497.32	0.059490
501.08	0.061305
504.11	0.065321
508.11	0.073578
512.12	0.082835
514.98	0.089061
517.44	0.094232
518.84	0.097227
520.38	0.098936
522.84	0.096092
525.21	0.090772
527.83	0.082595
530.36	0.073404
532.33	0.068795
535.11	0.063998
538.13	0.061671
540.83	0.065689
543.04	0.074142
545.50	0.088229
547.46	0.10232
548.99	0.11584
550.40	0.12711
551.55	0.13895
553.16	0.14684
554.82	0.15022
556.78	0.14740
558.64	0.13782
560.47	0.12204
562.26	0.10344
564.06	0.088793
566.19	0.074142
568.07	0.062871
570.20	0.054982
572.57	0.048220
575.34	0.042550
578.87	0.039767
582.80	0.038077
587.13	0.036386
591.14	0.034698
594.74	0.033005
599.81	0.030751
603.82	0.031878
609.14	0.031314
613.47	0.030751
617.56	0.032441
621.08	0.035791
623.61	0.040894
626.31	0.048220
629.75	0.055546
632.61	0.059296
636.54	0.061744
640.14	0.063748
643.00	0.066816
645.95	0.070760
648.81	0.076396
652.24	0.081467
657.07	0.089356
661.32	0.093301
665.74	0.095555
669.50	0.098936
672.28	0.10401
674.58	0.11359
676.70	0.12768
678.26	0.14345
679.97	0.16543
681.86	0.19473
683.04	0.22178
684.54	0.26405
686.03	0.32660
687.58	0.38971
689.14	0.46917
690.74	0.55144
692.41	0.61962
693.74	0.66978
695.44	0.71937
696.90	0.72669
698.34	0.71993
700.01	0.67541
701.84	0.59765
703.04	0.52383
704.51	0.43986
705.90	0.35759
707.46	0.28997
708.64	0.24038
710.08	0.19361
711.39	0.15585
712.45	0.12598
713.80	0.10232
715.39	0.081467
716.54	0.065125
718.09	0.050474
719.65	0.035822
721.53	0.027370
723.65	0.018353
726.44	0.012155
729.04	0.0092962
732.00	0.0076467
735.60	0.0059561
739.11	0.0048291
742.47	0.0042656
745.25	0.0037480
748.03	0.0037021
750.00	0.0037021
