Wavelength (nm)	CHL058_Phe f, MeOH (Kobayashi, 2013).abs
351.94	0.48947
354.50	0.50218
356.86	0.51690
358.72	0.53463
360.53	0.55671
362.69	0.58013
365.05	0.61158
367.81	0.64370
370.90	0.68083
374.39	0.71730
376.75	0.74574
379.46	0.77919
382.43	0.81499
385.29	0.84811
387.60	0.87354
389.70	0.89696
391.70	0.91737
393.20	0.92941
394.78	0.93744
396.24	0.94045
397.55	0.94279
398.90	0.94380
400.46	0.94647
401.76	0.95116
402.87	0.95584
403.97	0.96287
405.38	0.97324
406.74	0.98294
407.89	0.99264
409.05	0.99867
410.00	1.0000
411.21	0.99800
412.26	0.98629
413.52	0.96421
415.00	0.93476
416.78	0.88592
418.49	0.83172
420.75	0.74741
422.32	0.69656
424.32	0.64035
426.65	0.58448
428.80	0.53998
432.86	0.47073
436.60	0.41212
441.42	0.33062
443.71	0.28806
447.21	0.23105
449.44	0.19733
452.09	0.16240
454.14	0.13831
455.41	0.12105
456.97	0.10620
458.90	0.094955
460.59	0.085319
462.40	0.077269
464.00	0.073275
466.80	0.068457
468.85	0.065685
471.26	0.063452
474.69	0.060516
477.83	0.059061
480.66	0.058019
482.95	0.057180
485.96	0.056815
489.76	0.058019
494.40	0.058822
497.84	0.060428
500.97	0.062435
504.04	0.063640
507.36	0.066049
510.67	0.069260
513.15	0.074078
515.68	0.077691
518.75	0.079699
522.49	0.080903
526.10	0.080100
528.21	0.079297
530.44	0.077691
532.97	0.074480
535.57	0.073275
538.16	0.072472
541.83	0.074078
544.78	0.078494
546.96	0.082509
549.07	0.091341
550.94	0.099772
552.26	0.10780
553.29	0.11503
555.22	0.12506
557.26	0.13149
559.13	0.13269
561.00	0.12908
563.35	0.12025
566.00	0.10941
568.72	0.097765
571.43	0.084516
573.95	0.074480
576.55	0.066852
579.38	0.060428
581.60	0.055209
584.65	0.049187
587.82	0.045172
590.41	0.041960
593.01	0.039953
596.08	0.037946
600.06	0.036741
603.97	0.037946
607.71	0.038740
612.65	0.041559
616.69	0.043566
620.91	0.045975
624.11	0.049588
626.46	0.054360
630.19	0.062324
633.99	0.068056
638.27	0.073677
642.55	0.080100
646.53	0.086122
650.32	0.095356
654.12	0.10539
658.76	0.11866
662.80	0.13109
667.32	0.14153
670.88	0.14835
673.89	0.15277
676.48	0.15758
678.95	0.16601
680.94	0.17685
682.20	0.19010
683.00	0.20014
684.20	0.21740
685.52	0.23788
687.12	0.27361
689.20	0.32219
691.01	0.37799
692.63	0.43620
694.10	0.48398
695.89	0.52533
697.52	0.55263
698.84	0.56588
699.80	0.56749
700.89	0.56588
702.22	0.55143
704.15	0.51570
705.59	0.46752
707.88	0.40007
710.17	0.32981
712.28	0.26919
713.43	0.23346
714.33	0.20897
715.48	0.18288
716.82	0.15277
718.01	0.13109
719.39	0.10941
720.54	0.092947
721.62	0.079699
723.07	0.064844
724.40	0.051997
725.92	0.040756
727.41	0.032325
728.80	0.026704
730.10	0.020682
732.95	0.012653
734.76	0.0086383
736.39	0.0066310
738.86	0.0050251
741.27	0.0038422
743.56	0.0032500
746.27	0.0030177
748.93	0.0030177
751.40	0.0030177
