Wavelength (nm)	CHL060_Chl a2, Ace (Jeffrey, 1997).abs
400.76	0.38476
402.98	0.41242
404.79	0.45221
406.40	0.49393
408.01	0.52887
409.52	0.55361
410.73	0.56914
412.94	0.58198
415.36	0.59485
418.38	0.60893
420.80	0.62348
422.70	0.63416
423.51	0.65017
424.92	0.69917
426.63	0.76856
428.35	0.82872
429.77	0.88792
431.06	0.92770
432.78	0.96846
434.69	0.99709
436.00	1.00000
437.10	0.99612
438.24	0.98301
440.44	0.91412
443.65	0.76128
448.41	0.51528
451.66	0.33236
455.07	0.17710
456.13	0.13731
456.94	0.11111
457.54	0.091703
458.65	0.071324
459.66	0.057739
461.37	0.041727
463.68	0.028142
465.90	0.018923
468.21	0.012615
470.43	0.0067928
473.45	0.0032251
477.68	0.0020806
482.21	0.0021315
487.14	0.0024783
492.07	0.0029112
496.40	0.0036081
501.33	0.0058224
505.16	0.0082246
509.69	0.012468
514.62	0.016497
520.26	0.021834
524.69	0.026021
528.52	0.030082
532.14	0.032994
537.28	0.034941
541.81	0.035905
546.24	0.035404
550.36	0.032508
554.39	0.031053
557.71	0.031538
561.54	0.032994
566.37	0.037360
570.90	0.041242
575.93	0.048035
580.06	0.050946
583.79	0.052402
587.81	0.051916
591.34	0.051431
594.46	0.053372
597.38	0.057739
600.40	0.066472
602.71	0.076176
605.23	0.084910
607.85	0.093644
610.06	0.10335
611.77	0.10966
614.59	0.11548
617.11	0.11887
619.83	0.11548
622.04	0.10820
624.26	0.10044
626.67	0.091218
629.49	0.083940
632.21	0.080058
635.13	0.075691
638.05	0.075206
640.47	0.082969
641.98	0.093158
643.69	0.10868
645.70	0.13828
647.41	0.17079
649.43	0.23193
650.87	0.31198
651.64	0.36439
652.35	0.39350
653.35	0.43086
654.93	0.48860
656.47	0.59534
657.48	0.66909
657.98	0.70694
658.89	0.74236
660.10	0.77195
661.00	0.77729
661.91	0.77195
663.22	0.74478
664.43	0.69578
665.84	0.61184
668.05	0.48229
669.86	0.36827
671.48	0.26637
672.58	0.21737
674.19	0.16351
675.10	0.13537
676.11	0.11596
677.01	0.097040
678.22	0.081028
679.93	0.058709
681.04	0.044638
682.54	0.030082
684.06	0.020864
686.58	0.012615
689.09	0.0072780
691.41	0.0038816
693.42	0.0024260
695.94	0.00097040
698.56	0.00048520
700.97	0.00048520
