Wavelength (nm) 	CHL064_Chl a2, Et2O (Steglich, 2003).abs
325.12	0.27486
326.72	0.27148
328.38	0.26489
329.98	0.25695
332.15	0.24631
333.81	0.23837
335.26	0.23262
337.22	0.22637
339.08	0.22046
341.31	0.21623
343.22	0.21454
345.03	0.21387
346.85	0.21471
348.66	0.21708
350.31	0.22096
352.43	0.22857
355.02	0.23820
357.04	0.24901
359.26	0.26016
361.12	0.26962
363.56	0.28229
365.73	0.29192
367.44	0.30054
369.14	0.30764
371.37	0.31575
373.49	0.32419
375.35	0.33095
376.85	0.33585
378.66	0.33872
380.68	0.33872
382.65	0.33754
384.72	0.33467
386.79	0.33180
388.60	0.32875
390.35	0.32673
391.91	0.32622
393.30	0.32808
394.44	0.33213
395.48	0.33686
396.51	0.34396
397.75	0.35494
398.74	0.36728
399.98	0.38654
401.12	0.40580
402.72	0.43705
404.27	0.47371
406.70	0.52237
407.63	0.53792
409.03	0.56123
410.43	0.57711
411.62	0.58962
413.22	0.60178
414.41	0.60786
415.91	0.61293
417.52	0.61648
419.17	0.62357
420.52	0.63270
422.12	0.65078
423.31	0.67122
425.02	0.71227
426.67	0.75823
428.59	0.82682
430.24	0.88494
431.65	0.92887
432.21	0.94610
432.93	0.96131
433.66	0.97651
434.59	0.99138
435.30	0.99763
436.00	1.00000
437.00	0.99763
437.59	0.99172
438.47	0.97668
438.99	0.96300
439.45	0.94813
440.07	0.92667
441.11	0.87937
441.88	0.83848
442.45	0.80621
443.64	0.74421
444.73	0.67494
445.76	0.60279
447.52	0.48537
448.92	0.40073
449.59	0.35342
450.32	0.32031
450.99	0.28804
452.23	0.24242
453.42	0.20204
454.71	0.16115
455.59	0.13683
456.47	0.11706
457.35	0.10236
458.34	0.088336
459.89	0.071441
461.28	0.059614
462.73	0.051336
464.65	0.043902
466.67	0.037651
468.94	0.033765
471.63	0.030724
474.48	0.027176
477.89	0.023966
481.51	0.022276
485.55	0.020924
489.12	0.020755
493.15	0.019742
497.50	0.019573
500.66	0.018728
503.35	0.018052
506.14	0.018221
508.93	0.017038
511.47	0.016701
514.16	0.018052
517.47	0.019742
520.63	0.022107
523.26	0.025317
525.59	0.027682
527.66	0.030555
529.73	0.031737
531.70	0.032920
534.13	0.034272
536.20	0.034609
538.06	0.034778
539.77	0.033765
541.94	0.032413
544.37	0.030893
546.49	0.029372
548.72	0.028189
550.89	0.027176
553.01	0.026162
555.13	0.027682
557.31	0.027682
560.05	0.029541
562.38	0.031399
564.91	0.033089
567.60	0.036130
570.14	0.039002
573.55	0.042212
576.60	0.044578
578.93	0.046943
581.21	0.046774
583.28	0.046774
585.66	0.045422
587.88	0.044747
589.74	0.044578
591.76	0.045591
593.62	0.048632
595.80	0.054884
598.28	0.063331
600.35	0.071103
602.47	0.079382
604.08	0.085464
605.99	0.092560
607.90	0.097628
609.87	0.10202
611.78	0.10506
613.85	0.10743
615.82	0.10777
617.58	0.10760
619.08	0.10506
620.73	0.10168
622.49	0.096446
624.36	0.090701
625.91	0.086140
627.36	0.081916
628.96	0.078706
630.46	0.076341
631.81	0.074482
633.36	0.073299
635.12	0.074313
636.67	0.077185
638.38	0.083605
639.72	0.091208
641.07	0.10253
642.36	0.11858
643.76	0.13936
645.41	0.17078
646.34	0.19072
647.22	0.21758
648.83	0.26844
650.12	0.31929
651.21	0.36339
653.00	0.43486
654.93	0.52761
655.73	0.57010
656.60	0.60629
657.70	0.64388
658.41	0.66471
658.92	0.67630
659.50	0.68410
660.00	0.68640
660.70	0.68330
661.29	0.67725
661.90	0.66584
662.59	0.64374
663.41	0.61896
664.31	0.58362
665.18	0.53589
666.90	0.43776
668.54	0.34061
669.75	0.28091
671.21	0.22460
672.55	0.17490
673.67	0.13646
674.62	0.11252
676.13	0.083662
677.42	0.063106
678.37	0.050716
679.75	0.038890
681.04	0.029738
682.59	0.022558
683.84	0.017911
684.83	0.013969
686.13	0.010872
687.55	0.0084783
689.15	0.0065072
690.78	0.0045361
692.55	0.0031281
694.19	0.0025650
695.61	0.0015794
696.95	0.00073465
698.37	0.00059386
699.17	0.00033981
699.67	0.00027185
703.07	0.00027185
704.67	0.00027185
709.67	0.00027185
