Wavelength (nm)	CHL064_Chl a2, Et2O (Steglich, 2003).ems
625.71	0.00053685
630.66	0.0014859
635.49	0.0040743
638.62	0.0096825
641.03	0.015722
642.91	0.025213
644.52	0.037723
645.80	0.050629
646.86	0.062013
647.48	0.075794
648.22	0.091971
649.14	0.11149
649.92	0.13621
650.49	0.15918
651.16	0.18314
651.83	0.20886
652.20	0.23257
652.97	0.26628
653.70	0.30697
653.70	0.30697
654.32	0.35116
655.04	0.39909
655.77	0.45951
656.55	0.51493
657.65	0.61679
658.61	0.69393
659.70	0.78231
660.27	0.82924
661.17	0.88291
661.75	0.91212
662.30	0.93909
662.91	0.96580
663.55	0.98477
664.20	0.99351
665.00	1.0000
665.75	0.99725
666.45	0.98626
667.25	0.96131
667.95	0.93634
669.05	0.88067
669.68	0.84397
670.20	0.80877
671.13	0.75110
671.85	0.70242
672.63	0.65249
673.27	0.61154
674.15	0.55662
675.01	0.51069
676.05	0.45077
676.93	0.40309
677.96	0.35865
678.58	0.32594
679.31	0.29349
680.13	0.26753
681.07	0.24031
682.46	0.21086
683.70	0.18564
686.08	0.15219
687.74	0.12947
689.39	0.11374
691.36	0.10276
693.64	0.094018
696.33	0.088776
698.91	0.085031
702.23	0.083783
704.24	0.083283
706.57	0.083783
709.11	0.086279
711.74	0.088776
713.97	0.093769
716.19	0.098512
718.73	0.10251
721.16	0.10500
723.80	0.10351
726.44	0.10026
728.71	0.095516
731.20	0.090523
733.68	0.084532
736.32	0.077542
740.04	0.067306
743.46	0.057320
746.15	0.046834
748.58	0.038596
750.91	0.032854
753.29	0.026113
756.34	0.021620
758.82	0.018125
761.67	0.015129
764.36	0.012882
767.88	0.010885
770.26	0.0099942
772.69	0.0094720
774.76	0.0091372
775.35	0.0091372
