Wavelength (nm)	CHL065_Chl a2, Et2O (Komatsu, 2014).abs
350.31	0.18153
353.94	0.19785
357.65	0.21665
361.21	0.23395
365.07	0.24978
368.86	0.26561
372.72	0.28193
376.66	0.29825
380.06	0.30418
383.23	0.30022
386.01	0.29132
388.25	0.28094
389.49	0.27649
391.04	0.27500
393.51	0.28044
395.60	0.29182
397.37	0.30665
399.00	0.32693
400.70	0.35660
402.95	0.40408
405.02	0.45007
407.11	0.49260
408.81	0.52227
410.59	0.54354
412.83	0.55936
415.46	0.56975
418.32	0.57272
420.09	0.57964
421.33	0.59003
422.87	0.60931
423.88	0.63157
425.31	0.67311
426.97	0.73147
429.44	0.81999
431.22	0.89170
433.31	0.96736
434.68	0.99370
436.10	1.0000
437.26	0.99370
438.40	0.97181
439.34	0.94709
440.98	0.86648
442.43	0.77301
444.05	0.67163
445.92	0.53810
447.37	0.42287
449.15	0.29528
450.23	0.23445
451.70	0.16966
453.01	0.12021
454.25	0.089053
455.64	0.064820
457.11	0.045039
458.96	0.030697
461.21	0.021301
463.83	0.012893
467.23	0.0084424
470.63	0.0064643
475.12	0.0064643
479.91	0.0069588
485.24	0.0074534
490.03	0.0089370
494.90	0.010915
499.38	0.012399
503.86	0.013388
508.04	0.014377
511.44	0.015366
514.99	0.017168
518.62	0.019820
522.02	0.023526
524.96	0.027235
527.98	0.032022
530.53	0.034251
533.46	0.036137
537.48	0.036631
540.96	0.035416
544.44	0.032181
547.45	0.029213
551.16	0.027730
555.10	0.027235
559.04	0.028719
562.91	0.031686
566.92	0.035148
571.10	0.039281
575.12	0.042071
578.90	0.045039
582.23	0.046170
585.16	0.044544
587.94	0.042566
590.57	0.041577
593.28	0.044050
595.98	0.052457
598.22	0.059162
600.85	0.071526
603.40	0.081140
606.34	0.092515
609.66	0.10142
612.13	0.10686
614.76	0.10982
617.23	0.10735
619.78	0.10241
622.10	0.093999
624.42	0.084602
627.05	0.074217
629.44	0.066799
631.84	0.061359
634.39	0.059589
636.79	0.064820
638.87	0.073722
640.88	0.087075
642.66	0.10290
644.36	0.12713
645.83	0.15285
647.51	0.19587
649.38	0.26462
651.24	0.33682
652.71	0.41100
653.81	0.48172
655.18	0.56431
656.57	0.63948
657.96	0.69536
658.81	0.71538
659.90	0.72355
661.12	0.71548
661.98	0.69289
663.68	0.60734
665.15	0.51090
667.08	0.38776
669.00	0.28489
670.45	0.21368
671.57	0.16422
672.95	0.12120
674.50	0.088559
675.73	0.066799
677.43	0.048501
679.06	0.034159
680.83	0.022290
682.92	0.014872
685.55	0.0089370
688.25	0.0047633
691.50	0.0030024
694.82	0.0020134
698.38	0.0020134
700.00	0.0020134
