Wavelength (nm)	CHL066_Chl a2, DCM (Tamiaki, 2011a).abs
351.17	0.21684
353.90	0.22588
356.49	0.23653
359.22	0.24944
361.88	0.26170
366.09	0.28299
369.64	0.29945
372.52	0.31397
374.96	0.32720
376.96	0.33398
379.25	0.34011
381.10	0.34398
383.68	0.34463
386.27	0.34237
389.30	0.33882
391.52	0.33688
393.51	0.33721
395.36	0.34043
397.13	0.34721
398.32	0.35786
400.02	0.37464
401.49	0.39658
403.12	0.42627
404.52	0.45821
406.30	0.49468
407.70	0.52469
409.40	0.56050
411.40	0.58922
412.80	0.61149
414.21	0.62698
415.76	0.63795
417.53	0.64505
419.23	0.65021
421.60	0.65440
422.93	0.66344
424.11	0.67635
425.36	0.69797
426.84	0.72798
428.69	0.77767
430.91	0.85221
432.46	0.90416
433.79	0.93901
434.68	0.96031
435.76	0.98032
436.99	0.99710
438.00	1.0000
439.04	0.99677
440.15	0.98419
441.55	0.95160
442.88	0.88738
444.36	0.81349
445.98	0.72023
447.61	0.60568
449.47	0.48177
450.79	0.38916
452.34	0.31204
453.74	0.24234
455.22	0.18554
456.33	0.14811
457.44	0.11584
458.47	0.092611
459.80	0.073249
461.13	0.057115
462.61	0.043240
463.72	0.035173
465.27	0.026137
466.90	0.020006
468.60	0.016780
471.41	0.014198
474.07	0.013875
477.02	0.014198
480.35	0.014521
484.12	0.014198
488.26	0.015166
491.36	0.016457
495.57	0.017102
499.49	0.017425
503.55	0.017748
506.66	0.017425
510.35	0.017748
514.34	0.020329
517.67	0.022588
521.22	0.025492
524.84	0.028074
527.94	0.030655
531.12	0.032591
534.30	0.033237
537.77	0.033882
541.32	0.033559
544.42	0.032591
548.12	0.031300
551.81	0.030655
554.99	0.031823
558.46	0.032591
561.79	0.035818
565.41	0.039045
569.33	0.043885
573.32	0.048725
576.87	0.052920
580.93	0.056558
584.03	0.058729
587.29	0.058729
590.69	0.056793
593.35	0.058729
595.93	0.062924
598.52	0.070991
600.51	0.079380
602.66	0.088093
604.73	0.096805
606.72	0.10326
608.72	0.11004
610.94	0.11681
612.64	0.12068
614.78	0.12294
616.70	0.12391
618.47	0.12327
620.39	0.12165
622.02	0.11810
623.57	0.11262
625.05	0.10778
626.53	0.10326
628.23	0.097773
630.08	0.092933
631.63	0.088738
633.03	0.088093
634.73	0.087448
636.65	0.088093
638.13	0.091642
639.68	0.098096
641.01	0.10552
642.34	0.11294
643.82	0.12778
645.45	0.14521
646.70	0.16941
648.33	0.20426
650.18	0.25492
652.10	0.32817
653.95	0.42078
655.40	0.49209
656.81	0.56244
657.94	0.61697
658.81	0.65795
659.36	0.68377
660.38	0.71733
661.12	0.72798
662.00	0.73088
662.82	0.72783
663.48	0.71571
664.59	0.68538
665.85	0.63182
667.40	0.56276
668.84	0.48854
669.98	0.42756
671.74	0.33624
672.44	0.30268
673.46	0.24879
674.34	0.21491
675.30	0.18232
676.71	0.13746
678.26	0.10229
679.44	0.078735
680.77	0.060665
682.03	0.045176
683.29	0.033559
685.17	0.021943
687.18	0.015166
689.86	0.010465
692.89	0.0067764
695.70	0.0051630
699.40	0.0046852
702.72	0.0043345
706.20	0.0041120
710.23	0.0041120
715.00	0.0041120
720.00	0.0041120
