Wavelength (nm)	CHL068_Chl b2, 80Ace (Schedbalkar, 1992).abs
369.40	0.14764
371.31	0.14085
373.30	0.13714
375.99	0.14640
378.29	0.16308
380.66	0.18655
383.15	0.20693
385.84	0.22732
388.65	0.23288
392.17	0.23349
396.08	0.23040
399.72	0.22732
403.76	0.22423
407.21	0.22485
411.37	0.23349
415.27	0.24523
418.66	0.26252
421.67	0.28414
424.49	0.30699
427.24	0.34035
429.99	0.37802
433.38	0.42497
435.94	0.45647
438.82	0.48982
441.64	0.51638
444.19	0.53244
446.18	0.55035
448.10	0.57258
449.89	0.59544
451.36	0.62447
452.96	0.66091
454.62	0.70291
456.48	0.75170
458.34	0.80791
460.38	0.86720
462.05	0.91353
463.26	0.94812
465.31	0.98456
466.91	0.99568
468.00	1.00000
469.28	0.99444
470.56	0.97776
472.28	0.94997
473.63	0.91168
475.93	0.84250
477.79	0.77085
480.09	0.66709
482.39	0.57197
484.83	0.48364
487.39	0.38667
490.33	0.29155
492.38	0.23596
494.62	0.18840
497.37	0.13899
500.57	0.093286
503.57	0.063639
507.54	0.035844
511.51	0.016697
515.54	0.0074324
520.08	0.0043442
525.26	0.0037265
529.94	0.0061971
534.61	0.0074324
540.17	0.011138
545.36	0.016080
551.31	0.019785
557.45	0.025344
564.30	0.033374
571.27	0.041403
577.35	0.051903
581.89	0.059933
586.76	0.072286
590.15	0.082168
593.60	0.091433
596.29	0.098845
598.91	0.10255
602.50	0.10564
606.33	0.10379
609.47	0.10008
612.93	0.095757
616.19	0.092051
619.13	0.088345
622.27	0.087110
625.08	0.093286
627.64	0.10255
630.20	0.11429
632.12	0.12911
634.81	0.15196
636.92	0.17976
638.84	0.20385
640.38	0.23040
641.85	0.25449
643.25	0.27302
644.41	0.29526
645.88	0.31441
648.18	0.33417
649.72	0.34282
651.00	0.34591
652.47	0.34158
653.81	0.33417
655.41	0.32182
657.14	0.30082
659.44	0.27179
661.94	0.23843
664.11	0.21126
665.97	0.18346
668.21	0.15690
670.38	0.13961
672.18	0.12355
674.03	0.11243
676.40	0.10008
678.77	0.091433
681.01	0.082168
683.57	0.078462
686.45	0.075992
689.64	0.074757
692.72	0.075374
695.40	0.074757
697.77	0.074757
