Wavelength (nm)	CHL069_Chl b2, Et2O (Jeffrey, 1997).abs
356.78	0.19585
359.86	0.18904
363.67	0.17543
366.87	0.16352
371.43	0.15274
375.00	0.14197
378.20	0.12779
380.78	0.11474
382.87	0.10283
385.21	0.092058
387.30	0.082984
390.13	0.076745
392.72	0.076178
396.53	0.081282
399.49	0.089222
403.06	0.099431
406.75	0.10907
409.95	0.12155
412.64	0.13667
415.39	0.16030
418.21	0.19851
420.77	0.23750
423.08	0.27964
425.99	0.32454
427.35	0.33990
429.58	0.35684
431.88	0.37574
434.19	0.38874
436.24	0.39977
438.04	0.40922
439.23	0.42182
441.11	0.45097
443.93	0.51280
446.84	0.60260
449.92	0.73179
452.14	0.82001
453.68	0.88027
455.56	0.93698
457.78	0.97991
459.15	0.99646
460.00	1.0000
460.86	0.99646
461.97	0.98464
463.93	0.93541
465.99	0.84600
468.21	0.73297
471.37	0.54037
473.08	0.43837
474.10	0.37850
475.56	0.31470
477.18	0.25325
478.63	0.20599
480.09	0.17291
481.63	0.14219
483.25	0.11304
485.04	0.090199
486.84	0.070506
488.55	0.057509
490.43	0.046481
492.39	0.039392
494.87	0.032302
497.69	0.027970
501.20	0.024425
504.96	0.022383
508.72	0.021275
514.45	0.021275
520.26	0.022062
525.81	0.024425
530.51	0.029545
534.96	0.034666
539.32	0.038210
543.76	0.041383
549.91	0.043330
554.70	0.044906
559.57	0.047269
565.13	0.050814
570.60	0.053571
575.90	0.057903
579.57	0.063023
582.39	0.069587
585.10	0.076808
587.52	0.081731
590.16	0.085998
592.36	0.088624
594.64	0.089936
596.92	0.088952
599.20	0.085998
601.62	0.080418
603.69	0.073526
605.82	0.068274
607.68	0.062367
609.96	0.057772
612.38	0.053833
614.80	0.051207
616.86	0.050551
618.72	0.050223
620.57	0.050551
622.78	0.053505
624.70	0.057772
626.27	0.064008
627.62	0.072213
629.26	0.087967
631.11	0.11127
633.17	0.14639
635.10	0.18938
636.95	0.23829
638.94	0.28489
640.79	0.32625
642.08	0.34693
643.00	0.35480
644.00	0.35644
645.00	0.35382
646.21	0.33872
647.85	0.30295
650.34	0.24420
651.83	0.19693
653.54	0.14869
655.61	0.10471
656.89	0.080418
658.03	0.064336
659.22	0.050551
660.77	0.037423
662.30	0.027904
663.94	0.019699
666.28	0.012807
668.50	0.0095246
670.92	0.0075553
673.63	0.0059143
676.33	0.0046014
679.40	0.0036168
683.17	0.0026322
686.15	0.0020852
688.82	0.0020852
