Wavelength (nm)	CHL071_Phe a2, 80Ace (Schedbalkar, 1992).abs
371.88	0.44623
374.11	0.46791
376.33	0.48227
378.93	0.49663
380.96	0.50740
383.01	0.51454
384.86	0.52613
386.90	0.54698
388.76	0.56863
390.56	0.59399
392.84	0.63384
394.88	0.67009
396.55	0.70268
398.04	0.73534
399.51	0.76084
401.38	0.78964
403.04	0.80772
404.71	0.82214
405.82	0.83184
407.49	0.84739
408.98	0.86400
410.46	0.87992
412.50	0.90888
413.61	0.93062
414.73	0.95599
415.84	0.97410
417.32	0.99218
419.00	1.0000
420.29	0.99560
422.34	0.97362
424.18	0.92619
426.04	0.84605
427.53	0.76228
429.38	0.66394
431.05	0.56922
432.55	0.48182
434.02	0.41622
435.87	0.33608
437.72	0.27046
439.77	0.21939
441.99	0.17557
445.33	0.12440
448.67	0.095061
451.78	0.073017
455.22	0.061820
458.87	0.050663
463.88	0.042013
472.41	0.038762
480.94	0.038141
487.25	0.038966
492.81	0.039968
495.97	0.043059
497.63	0.047835
500.14	0.055909
502.09	0.062061
503.20	0.065984
505.62	0.073608
507.47	0.079856
509.32	0.083356
511.36	0.082613
513.77	0.076650
515.44	0.071997
517.30	0.064657
519.90	0.052066
521.93	0.042423
524.53	0.034958
527.87	0.031078
531.21	0.030834
536.40	0.035620
541.59	0.037349
547.90	0.033252
554.20	0.029154
560.14	0.025990
564.78	0.024747
569.60	0.020756
574.79	0.013102
579.06	0.0099234
582.22	0.0092931
586.48	0.010537
590.19	0.013762
592.60	0.019079
595.57	0.026135
598.16	0.033180
601.31	0.048641
604.10	0.058252
607.62	0.061630
611.15	0.061374
614.67	0.055168
617.39	0.047704
619.87	0.043214
622.46	0.038964
625.43	0.036307
628.40	0.034652
631.55	0.034271
634.89	0.033674
638.04	0.035137
641.20	0.040992
644.16	0.051689
646.76	0.066049
649.91	0.098558
652.75	0.15290
654.55	0.19843
657.51	0.26897
659.56	0.31247
661.15	0.34512
662.14	0.36320
663.82	0.38491
665.00	0.38842
666.30	0.38386
667.13	0.37438
669.21	0.32995
673.10	0.23509
675.13	0.18402
677.37	0.13492
678.85	0.10372
680.71	0.067209
683.30	0.033299
685.53	0.019569
687.56	0.012145
689.80	0.0067461
692.76	0.0044909
694.99	0.0043285
697.58	0.0036527
700.00	0.0033315
