Wavelength (nm)	CHL073_Phe a2, C6H6 (Komatsu, 2014).abs
350.02	0.21834
352.87	0.23271
356.00	0.25234
359.07	0.27512
361.79	0.29756
365.81	0.33015
369.00	0.35679
372.78	0.38203
376.32	0.40412
379.33	0.41989
381.76	0.43181
384.24	0.44373
386.72	0.45635
388.55	0.46896
390.26	0.48474
391.80	0.50016
392.92	0.52014
394.46	0.54748
395.88	0.56781
397.77	0.59901
399.24	0.62846
400.84	0.65720
402.49	0.68104
404.03	0.70242
405.44	0.71889
407.45	0.73642
409.23	0.75360
410.94	0.77673
412.36	0.80302
413.77	0.83071
415.55	0.87663
417.61	0.92886
420.04	0.97969
421.16	0.99581
422.30	1.0000
423.58	0.99546
424.53	0.98144
425.88	0.95024
427.18	0.90993
428.96	0.84193
430.55	0.76586
432.38	0.68349
433.92	0.61373
435.81	0.53101
437.40	0.46896
439.67	0.39640
442.25	0.32595
445.38	0.25900
448.61	0.19520
451.58	0.14297
452.94	0.12089
454.59	0.10091
456.54	0.082329
458.37	0.067256
460.68	0.054988
463.75	0.048956
467.35	0.046224
471.31	0.044795
475.15	0.044121
479.23	0.043519
483.18	0.043215
487.08	0.043069
490.39	0.043771
493.34	0.045796
495.83	0.050781
498.13	0.057792
499.96	0.065854
502.03	0.074968
503.80	0.083030
505.91	0.090391
507.46	0.094598
509.41	0.098453
511.30	0.099341
513.90	0.097402
516.38	0.092494
518.51	0.086185
520.28	0.078123
521.98	0.070761
523.88	0.063751
525.60	0.057792
527.51	0.051482
529.26	0.047276
531.62	0.045232
533.99	0.044472
535.82	0.045173
537.71	0.047276
539.66	0.049707
541.73	0.050781
544.09	0.048678
546.04	0.044822
547.87	0.040616
549.82	0.035708
551.59	0.031398
553.48	0.029048
555.90	0.028347
558.97	0.029399
562.05	0.030100
565.59	0.029749
568.90	0.029048
571.97	0.026594
576.16	0.023489
579.41	0.022255
582.37	0.021900
586.15	0.022289
590.12	0.023361
593.72	0.025543
595.78	0.027997
597.25	0.031502
599.62	0.037811
601.92	0.044822
604.17	0.052884
606.29	0.060596
608.24	0.066906
609.90	0.072514
611.02	0.076720
612.26	0.079875
614.09	0.082111
616.27	0.081277
618.46	0.077422
620.95	0.071462
623.25	0.066555
625.31	0.062321
627.44	0.058142
629.51	0.053585
631.75	0.049379
633.41	0.046925
635.77	0.044121
637.90	0.042368
639.37	0.042368
640.97	0.044472
642.92	0.047977
644.93	0.052884
646.76	0.057792
648.71	0.064802
650.12	0.072865
651.78	0.085133
653.49	0.10511
655.03	0.12895
656.68	0.15945
658.48	0.19695
659.99	0.23586
661.23	0.27021
662.82	0.31648
664.54	0.36976
666.50	0.42690
668.26	0.47002
669.65	0.49210
670.80	0.49490
671.93	0.49140
672.91	0.47878
674.17	0.45354
675.52	0.41849
677.65	0.34593
679.36	0.28318
681.25	0.21904
683.62	0.14998
684.88	0.11878
685.81	0.10021
686.93	0.080927
687.99	0.064802
689.17	0.050781
690.35	0.039214
691.59	0.029952
693.48	0.021337
695.14	0.015378
696.85	0.010109
698.74	0.0056689
701.22	0.0031191
703.70	0.0020137
706.83	0.0020137
710.02	0.0020137
713.15	0.0020137
720.00	0.0020137
725.00	0.0020137
