Wavelength (nm)	CHL075_Phe a2, MeOH (Komatsu, 2014).abs
350.00	0.34027
352.24	0.35038
354.66	0.36685
356.40	0.38295
358.32	0.40317
360.49	0.42788
362.66	0.45334
365.21	0.48554
367.31	0.51063
369.49	0.53197
371.35	0.54882
372.96	0.56305
375.38	0.57854
377.67	0.59375
379.90	0.60536
381.95	0.61547
383.44	0.62745
385.61	0.64617
387.59	0.66901
389.58	0.69747
391.50	0.72405
392.99	0.74614
394.48	0.76898
396.22	0.79594
397.89	0.81878
399.25	0.83750
401.05	0.85660
402.98	0.87232
404.46	0.88355
406.32	0.89928
407.69	0.91051
408.87	0.92249
409.98	0.93897
411.29	0.95582
412.53	0.97341
413.83	0.98652
415.19	0.99588
416.50	1.00000
417.67	0.99663
418.60	0.98777
419.89	0.96780
421.64	0.93373
422.82	0.89816
424.50	0.83975
426.17	0.76561
428.90	0.66265
431.73	0.54358
433.30	0.48629
434.36	0.45222
435.47	0.42451
436.71	0.39943
437.95	0.37921
439.26	0.36011
441.12	0.34326
442.79	0.32754
444.47	0.31219
446.20	0.29646
448.25	0.27512
450.23	0.25228
451.85	0.22869
454.08	0.19649
456.06	0.16879
457.74	0.14033
459.66	0.11974
461.27	0.10064
463.01	0.086787
465.18	0.073682
467.78	0.063199
470.33	0.055710
472.99	0.050843
476.47	0.047473
479.88	0.045601
483.10	0.044478
487.13	0.044103
490.79	0.047098
494.08	0.052715
496.13	0.059454
498.24	0.066568
500.47	0.074806
502.89	0.083043
505.24	0.090531
507.23	0.094275
509.21	0.096522
511.57	0.092778
513.80	0.088285
515.91	0.080422
518.02	0.072559
520.19	0.063947
522.11	0.057957
524.04	0.052715
526.21	0.048596
528.50	0.046724
530.73	0.049345
533.15	0.053089
535.51	0.057582
538.11	0.061701
540.59	0.064322
543.20	0.061326
545.18	0.057208
547.42	0.051966
549.77	0.046724
552.38	0.042980
555.35	0.040359
558.64	0.039984
561.31	0.039610
564.47	0.037738
567.51	0.036615
570.61	0.034743
573.90	0.032871
577.18	0.031373
580.35	0.033619
583.32	0.034368
585.99	0.036240
588.84	0.039984
591.70	0.046724
594.12	0.053464
595.79	0.058706
597.40	0.065819
599.51	0.074431
601.87	0.084915
603.91	0.094275
606.33	0.10401
608.69	0.10925
610.86	0.11337
613.28	0.11038
615.95	0.10476
618.43	0.097271
620.78	0.090157
623.20	0.084166
625.87	0.080422
627.92	0.078550
630.33	0.078550
634.06	0.080422
637.03	0.081920
639.58	0.086413
641.68	0.093152
643.48	0.10176
645.34	0.11187
647.08	0.12797
648.51	0.14070
650.18	0.16242
651.54	0.18601
652.72	0.21259
654.58	0.25677
656.07	0.30170
658.59	0.38258
660.97	0.45896
663.51	0.52711
664.60	0.55144
666.10	0.55631
667.72	0.55144
668.87	0.53048
670.65	0.48405
672.51	0.42152
674.55	0.34963
676.83	0.25977
678.71	0.19649
679.97	0.15980
681.19	0.13284
682.24	0.10850
683.48	0.089782
684.79	0.071436
686.34	0.054212
688.26	0.039610
690.37	0.028377
692.72	0.019017
694.77	0.013887
697.50	0.0096564
701.04	0.0062867
703.95	0.0038043
706.43	0.0026364
709.47	0.0021680
713.00	0.0021680
715.98	0.0021680
719.74	0.0021680
