Wavelength (nm)	CHL077_Chllide a, Ace (Jeffrey, 1997).abs
403.32	0.66549
404.43	0.68209
405.59	0.70371
406.90	0.72710
407.98	0.74621
408.99	0.76080
410.02	0.77060
411.18	0.77488
412.62	0.77714
414.08	0.77595
415.32	0.77106
416.45	0.76495
417.67	0.75828
419.24	0.75577
420.87	0.76054
421.67	0.76932
422.80	0.79132
423.90	0.82171
425.40	0.86781
426.69	0.91199
427.49	0.93731
428.58	0.97276
429.27	0.99127
430.15	0.99825
431.00	1.00000
431.76	0.99860
432.75	0.98446
434.25	0.94447
435.60	0.89557
437.23	0.82013
438.72	0.73981
440.71	0.61369
443.30	0.44898
445.13	0.34609
446.55	0.27547
448.44	0.19349
449.67	0.15276
451.17	0.11303
452.47	0.083354
453.56	0.064746
454.86	0.047143
455.95	0.036833
457.24	0.028284
458.61	0.021997
460.25	0.017722
462.09	0.013950
464.48	0.011687
467.41	0.010178
470.75	0.0089211
474.99	0.0091725
479.42	0.010430
484.20	0.012190
488.70	0.013950
493.27	0.015208
497.71	0.016716
501.67	0.018225
506.10	0.018728
510.67	0.018728
514.70	0.018728
518.18	0.019734
521.18	0.024260
524.12	0.028284
527.39	0.031301
530.80	0.034067
533.67	0.035828
537.76	0.036331
542.40	0.036331
546.84	0.036582
550.39	0.036582
553.25	0.037336
556.19	0.039348
558.92	0.043874
561.58	0.050161
563.76	0.056196
566.29	0.063237
569.43	0.070781
572.36	0.078325
575.36	0.084863
578.09	0.088886
581.23	0.091401
583.54	0.091485
585.94	0.091149
588.12	0.089138
590.03	0.086372
592.08	0.083857
594.26	0.083354
596.38	0.085114
598.10	0.088551
600.03	0.094209
601.91	0.10008
603.67	0.10867
605.09	0.11747
606.51	0.12522
608.28	0.13528
610.10	0.14366
611.69	0.15142
613.05	0.15728
614.93	0.16252
616.58	0.16504
618.57	0.16671
620.50	0.16567
622.04	0.16378
624.08	0.15980
625.62	0.15309
627.32	0.14555
628.86	0.13780
630.68	0.13025
632.10	0.12313
634.03	0.11663
636.03	0.11181
637.73	0.11055
639.38	0.11244
641.03	0.11684
642.45	0.12103
643.76	0.12606
645.01	0.13172
646.20	0.14408
647.80	0.17321
649.22	0.20632
650.87	0.25535
652.46	0.31445
654.86	0.45124
656.77	0.57848
658.54	0.69290
659.70	0.75426
661.00	0.81436
662.23	0.85509
663.05	0.87109
664.00	0.87542
664.89	0.87119
665.93	0.85560
667.43	0.79675
669.46	0.69617
672.60	0.55535
675.26	0.41353
678.33	0.29106
680.70	0.18419
682.02	0.14345
683.04	0.11856
684.54	0.085617
685.97	0.061477
687.41	0.042617
688.98	0.028535
690.41	0.019483
691.91	0.012693
693.55	0.0074123
695.12	0.0041433
697.10	0.0018801
698.87	0.0011257
