Wavelength (nm)	CHL078_Chllide a, 90Ace (Clementson, 2019).abs
332.50	0.37464
333.40	0.36854
334.20	0.37649
335.10	0.37414
335.90	0.37244
336.80	0.37618
337.70	0.37277
338.50	0.37014
339.40	0.36913
340.20	0.37032
341.10	0.36814
341.90	0.37118
342.80	0.37035
343.60	0.36848
344.50	0.37548
345.30	0.37497
346.20	0.37361
347.00	0.37988
347.90	0.38203
348.70	0.38773
349.60	0.39613
350.50	0.40178
351.30	0.40629
352.20	0.41554
353.00	0.42221
353.90	0.42920
354.70	0.43391
355.60	0.44325
356.40	0.44968
357.30	0.46340
358.10	0.46851
359.00	0.47836
359.80	0.48721
360.70	0.49740
361.50	0.50374
362.40	0.51331
363.30	0.52251
364.10	0.53346
365.00	0.54330
365.80	0.55397
366.70	0.56572
367.50	0.57340
368.40	0.58492
369.20	0.59103
370.10	0.60268
370.90	0.61039
371.80	0.61894
372.60	0.62559
373.50	0.63252
374.30	0.64297
375.20	0.64711
376.10	0.65468
376.90	0.65843
377.80	0.66501
378.60	0.67014
379.50	0.67445
380.30	0.67876
381.20	0.68119
382.00	0.68776
382.90	0.69281
383.70	0.70045
384.60	0.70591
385.40	0.70692
386.30	0.71429
387.10	0.72117
388.00	0.72837
388.90	0.73539
389.70	0.74223
390.60	0.74965
391.40	0.75740
392.30	0.76401
393.10	0.77178
394.00	0.77951
394.80	0.78792
395.70	0.79451
396.50	0.80251
397.40	0.81310
398.20	0.82367
399.10	0.83299
399.90	0.84603
400.80	0.85708
401.70	0.87058
402.50	0.88421
403.40	0.90045
404.20	0.91513
405.10	0.93114
405.90	0.94694
406.80	0.96032
407.60	0.97163
408.50	0.98591
409.30	0.99133
410.20	0.99830
411.00	1.0000
411.90	0.99918
412.70	0.99317
413.60	0.98332
414.50	0.96722
415.30	0.95100
416.20	0.93085
417.00	0.91344
417.90	0.89665
418.70	0.87902
419.60	0.85542
420.40	0.83837
421.30	0.81892
422.10	0.80115
423.00	0.78539
423.80	0.77688
424.70	0.76520
425.50	0.76075
426.40	0.75434
427.30	0.75361
428.10	0.75142
429.00	0.75017
429.80	0.74808
430.70	0.74429
431.50	0.73857
432.40	0.72966
433.20	0.71529
434.10	0.69789
434.90	0.67363
435.80	0.64779
436.60	0.61398
437.50	0.58095
438.30	0.54148
439.20	0.50247
440.10	0.46113
440.90	0.42082
441.80	0.37948
442.60	0.34392
443.50	0.30699
444.30	0.27547
445.20	0.24341
446.00	0.21670
446.90	0.19000
447.70	0.16949
448.60	0.15150
449.40	0.14285
450.30	0.12906
451.10	0.11696
452.00	0.10854
452.90	0.10025
453.70	0.092932
454.60	0.087959
455.40	0.084041
456.30	0.079183
457.10	0.075100
458.00	0.073028
458.80	0.069775
459.70	0.067727
460.50	0.066216
461.40	0.063975
462.20	0.061735
463.10	0.060800
463.90	0.059766
464.80	0.059294
465.70	0.058103
466.50	0.056397
467.40	0.055852
468.20	0.055629
469.10	0.053038
469.90	0.052567
470.80	0.050435
471.60	0.052352
472.50	0.047653
473.30	0.049656
474.20	0.048410
475.00	0.047800
475.90	0.046580
476.70	0.047132
477.60	0.045769
478.50	0.045598
479.30	0.045090
480.20	0.044979
481.00	0.044189
481.90	0.044855
482.70	0.044532
483.60	0.043303
484.40	0.044016
485.30	0.044128
486.10	0.045771
487.00	0.046409
487.80	0.047557
488.70	0.049087
489.50	0.049308
490.40	0.053171
491.30	0.053058
492.10	0.054992
493.00	0.057631
493.80	0.060897
494.70	0.062560
495.50	0.065120
496.40	0.065563
497.20	0.068311
498.10	0.070794
498.90	0.071279
499.80	0.071802
500.60	0.074738
501.50	0.074635
502.30	0.076998
503.20	0.076249
504.10	0.077060
504.90	0.077382
505.80	0.078256
506.60	0.076907
507.50	0.076711
508.30	0.074972
509.20	0.074428
510.00	0.071972
510.90	0.068614
511.70	0.065664
512.60	0.063616
513.40	0.061618
514.30	0.060017
515.10	0.056942
516.00	0.056671
516.90	0.054458
517.70	0.053378
518.60	0.052190
519.40	0.051771
520.30	0.052743
521.10	0.052399
522.00	0.051534
522.80	0.053477
523.70	0.052591
524.50	0.055176
525.40	0.054524
526.20	0.056486
527.10	0.059142
527.90	0.061154
528.80	0.064269
529.70	0.066168
530.50	0.069995
531.40	0.072564
532.20	0.072787
533.10	0.075233
533.90	0.075968
534.80	0.078234
535.60	0.077166
536.50	0.077209
537.30	0.075938
538.20	0.072440
539.00	0.070374
539.90	0.066891
540.70	0.063830
541.60	0.061886
542.50	0.058808
543.30	0.055108
544.20	0.051857
545.00	0.051651
545.90	0.048726
546.70	0.047775
547.60	0.047101
548.40	0.046802
549.30	0.045953
550.10	0.047078
551.00	0.044833
551.80	0.046104
552.70	0.046213
553.50	0.046934
554.40	0.047818
555.30	0.049447
556.10	0.049328
557.00	0.050287
557.80	0.050359
558.70	0.052480
559.50	0.052947
560.40	0.053930
