Wavelength (nm)	CHL080_Chllide a EE, Et2O (Holt, 1954a).abs
382.63	0.38033
384.60	0.37828
386.02	0.37746
387.67	0.37689
389.10	0.38131
390.51	0.38810
391.99	0.39750
393.58	0.41141
394.94	0.43186
396.25	0.45845
398.01	0.49076
399.99	0.52962
402.21	0.56725
403.57	0.59220
404.76	0.60652
406.13	0.61633
407.60	0.62165
409.53	0.62247
411.18	0.61920
413.06	0.61511
414.59	0.61879
415.84	0.62942
416.92	0.64087
418.28	0.67605
419.42	0.71532
420.95	0.78608
422.14	0.83843
423.50	0.89406
424.47	0.93578
425.21	0.95746
426.23	0.97750
427.25	0.99345
428.00	1.00000
429.01	0.99591
429.78	0.97996
430.94	0.91983
432.36	0.81594
434.58	0.64333
436.85	0.45027
438.65	0.28175
439.75	0.20649
440.71	0.16068
441.85	0.12959
443.27	0.096053
444.57	0.072738
445.88	0.055150
447.07	0.044107
448.55	0.032654
450.19	0.024882
452.13	0.019156
454.51	0.014248
456.95	0.011385
460.81	0.010157
467.00	0.0092852
474.56	0.0097484
481.88	0.010976
489.89	0.011422
499.20	0.010976
503.52	0.010734
509.43	0.011794
514.59	0.017520
519.70	0.024882
525.38	0.030200
529.42	0.032245
533.05	0.030200
536.40	0.026518
539.47	0.022428
542.65	0.019974
545.20	0.019565
548.55	0.019565
551.73	0.022837
554.63	0.027337
556.90	0.031836
559.46	0.039198
561.90	0.046561
564.74	0.053923
567.75	0.059241
570.59	0.061286
573.48	0.061695
576.15	0.060468
579.05	0.056786
581.60	0.050242
584.10	0.044516
586.15	0.041243
588.08	0.040425
589.84	0.042061
591.54	0.044925
593.25	0.049833
595.01	0.056377
597.28	0.069057
599.95	0.081328
602.50	0.091963
605.17	0.10178
608.12	0.10914
610.74	0.11323
613.12	0.11487
615.28	0.11241
617.49	0.10791
620.22	0.098916
623.46	0.087463
627.04	0.077647
630.22	0.072329
632.88	0.071102
635.04	0.073147
637.09	0.077647
638.68	0.084191
640.15	0.095644
641.40	0.11282
642.99	0.13900
644.92	0.17459
646.29	0.21140
647.31	0.24576
649.01	0.31815
651.51	0.43759
653.33	0.52962
655.20	0.61633
656.22	0.66092
656.96	0.69446
657.70	0.71900
658.67	0.74150
659.50	0.74722
660.45	0.74150
661.75	0.70000
662.70	0.65355
665.80	0.49158
668.41	0.33861
670.36	0.24903
672.00	0.17131
672.98	0.12346
673.72	0.10055
674.62	0.080919
675.53	0.064149
676.67	0.051469
677.80	0.041243
678.77	0.033063
680.08	0.027337
681.27	0.023655
682.46	0.021201
683.88	0.018338
685.24	0.016702
