Wavelength (nm)	CHL087_Phebide b EE, Et2O (Holt, 1954a).abs
379.87	0.13524
383.35	0.13890
385.96	0.14286
388.44	0.14651
390.87	0.15291
393.54	0.16083
395.77	0.17118
397.70	0.18337
399.19	0.19768
400.68	0.21444
402.05	0.23546
403.60	0.27444
405.10	0.31343
406.46	0.34146
407.39	0.35699
408.51	0.36948
410.00	0.37984
411.31	0.38288
412.99	0.38075
415.41	0.37374
416.65	0.37252
417.77	0.37527
419.02	0.38227
420.13	0.39385
421.25	0.40938
422.18	0.42857
423.49	0.46390
425.23	0.53670
427.03	0.63052
428.52	0.73774
429.83	0.86689
430.57	0.94273
431.32	0.98296
432.00	0.99621
433.00	1.00000
433.87	0.99604
435.20	0.97228
436.80	0.91258
438.80	0.77094
440.39	0.62108
441.14	0.54249
442.15	0.49467
443.13	0.47335
444.30	0.44380
445.55	0.41913
446.79	0.40177
449.02	0.36887
452.05	0.27079
454.00	0.18154
455.49	0.13220
456.74	0.095949
457.61	0.074931
458.66	0.060920
460.22	0.051173
461.89	0.042035
464.19	0.035029
466.93	0.029851
469.66	0.024673
472.21	0.021627
475.50	0.020408
479.98	0.021017
484.39	0.023759
488.55	0.025891
493.21	0.026805
497.75	0.027109
501.41	0.027414
504.96	0.028772
509.49	0.032168
512.91	0.041426
516.20	0.049345
519.25	0.057265
521.67	0.062443
524.59	0.064880
527.27	0.062747
529.32	0.062138
531.62	0.062443
533.91	0.062443
536.34	0.059701
537.95	0.053914
539.45	0.048736
541.00	0.043558
543.17	0.039598
545.91	0.037161
549.02	0.036552
552.68	0.036552
556.04	0.038380
559.33	0.039293
562.87	0.036247
565.73	0.030460
568.90	0.024063
571.82	0.018581
575.11	0.014925
578.22	0.012184
582.07	0.012184
585.31	0.014316
588.91	0.019494
592.20	0.027741
594.25	0.035334
596.12	0.039293
597.98	0.042339
599.97	0.044472
602.46	0.043253
606.06	0.038989
609.11	0.032592
611.72	0.026805
614.64	0.022236
618.12	0.018276
622.47	0.016753
625.76	0.016448
628.56	0.017362
631.10	0.017971
633.47	0.020713
635.70	0.024368
637.63	0.029242
639.62	0.035638
641.52	0.044167
643.72	0.054523
645.60	0.072799
647.07	0.091380
648.85	0.11179
650.80	0.14133
652.23	0.16509
653.42	0.18550
654.50	0.19403
655.50	0.19647
656.52	0.19433
657.89	0.18641
659.50	0.16509
661.40	0.13555
663.48	0.10204
665.34	0.074931
667.27	0.053914
669.26	0.037161
671.19	0.024977
673.55	0.016448
676.22	0.0088334
678.27	0.0030460
	0.0012184
