Wavelength (nm)	CHL088_3-Et Chl a, DCM (Tamiaki, 2011a).abs
352.98	0.29509
355.95	0.31706
358.47	0.34001
360.84	0.36037
362.91	0.37783
364.54	0.39140
366.24	0.40239
368.17	0.41112
370.54	0.41500
373.13	0.41726
375.28	0.42243
378.02	0.43051
380.40	0.44247
383.14	0.45378
385.66	0.46477
387.58	0.47705
389.06	0.48998
390.55	0.50937
391.95	0.53264
393.58	0.57078
395.44	0.61538
397.29	0.66386
398.69	0.70426
400.40	0.73691
401.66	0.76276
402.70	0.78216
403.21	0.79056
404.10	0.79864
405.50	0.80123
406.77	0.79864
407.66	0.78959
408.62	0.77860
409.59	0.76729
411.07	0.75436
412.48	0.75210
413.81	0.75792
414.77	0.77278
416.25	0.80123
417.74	0.83872
419.22	0.88591
420.55	0.92243
421.81	0.95249
423.00	0.97737
424.04	0.99515
425.00	1.00000
426.03	0.99579
426.85	0.97996
427.89	0.93374
428.77	0.87459
429.87	0.78151
430.72	0.69489
432.48	0.53523
433.44	0.44473
434.59	0.34938
436.55	0.21752
438.26	0.14156
439.89	0.091467
441.37	0.062702
442.92	0.044602
444.78	0.030058
447.07	0.021008
449.82	0.016483
452.63	0.013575
455.89	0.011312
460.19	0.011140
464.93	0.011811
471.52	0.012282
477.82	0.013251
483.38	0.014544
488.27	0.015997
493.01	0.016807
497.60	0.017776
501.68	0.017776
505.68	0.017453
509.60	0.020362
513.16	0.023594
516.35	0.027796
519.68	0.031351
522.79	0.033613
526.72	0.034906
530.72	0.035229
535.09	0.034906
539.02	0.033290
542.50	0.032967
545.02	0.034260
548.05	0.036845
550.57	0.041370
553.69	0.047834
556.94	0.055914
559.98	0.063671
563.69	0.071428
566.80	0.077892
570.06	0.085649
573.10	0.088235
575.69	0.085973
577.99	0.081124
580.21	0.077892
582.28	0.074984
584.58	0.077569
586.51	0.083710
588.58	0.092113
590.43	0.10213
592.80	0.11441
595.10	0.12573
597.92	0.13769
600.66	0.14706
603.18	0.15126
606.21	0.15385
609.18	0.15223
612.14	0.14577
614.14	0.13801
615.92	0.12993
617.33	0.12185
619.40	0.11183
621.99	0.10310
624.22	0.096638
626.88	0.093406
628.51	0.097285
629.99	0.10504
631.25	0.11377
632.88	0.12767
634.37	0.14609
636.29	0.18164
638.07	0.22204
639.92	0.28733
641.34	0.37783
642.96	0.48222
644.89	0.61797
646.29	0.72042
647.11	0.78862
647.63	0.82482
648.66	0.87168
649.18	0.88041
650.00	0.88555
650.89	0.88041
651.44	0.87071
652.45	0.82417
653.70	0.73400
655.78	0.58274
657.27	0.47802
659.98	0.31157
661.48	0.22043
662.39	0.17162
663.33	0.13769
664.15	0.11377
665.26	0.088235
666.52	0.067550
668.15	0.054298
670.00	0.039431
671.93	0.028442
674.00	0.018423
676.30	0.012928
680.45	0.0080604
683.34	0.0058177
687.04	0.0042017
690.82	0.0031664
696.01	0.0022161
700.60	0.0016174
706.16	0.0012520
711.12	0.0012520
715.45	0.0012520
720.00	0.0012520
