Wavelength (nm)	CHL089_3-Et-8-vinyl Chl a, DCM (Tamiaki, 2011a).abs
350.00	0.22958
352.16	0.24088
354.67	0.25218
357.33	0.26703
359.85	0.28060
362.59	0.29545
364.80	0.30610
366.88	0.31676
369.02	0.32354
370.80	0.32935
373.09	0.33258
375.53	0.33290
378.04	0.33194
380.41	0.33194
382.41	0.33323
384.55	0.33742
386.55	0.34130
388.92	0.34873
390.91	0.35680
392.32	0.36584
394.09	0.38037
395.42	0.39845
396.68	0.41879
398.46	0.44979
400.01	0.48370
402.01	0.52922
404.00	0.58347
405.63	0.62190
407.33	0.65418
408.81	0.67743
409.70	0.69164
410.51	0.70068
411.70	0.70779
413.47	0.71037
414.88	0.70779
415.99	0.70585
417.32	0.70617
418.72	0.71231
419.83	0.72264
421.01	0.74137
421.98	0.76558
423.16	0.79626
424.86	0.84082
426.19	0.87956
427.38	0.91282
429.22	0.95706
430.41	0.98095
431.89	0.99710
433.00	1.0000
433.96	0.99613
434.92	0.98354
436.25	0.95254
437.36	0.91379
438.47	0.85212
440.47	0.71327
442.02	0.58670
443.57	0.47659
445.50	0.33516
446.90	0.24766
448.23	0.18566
449.56	0.13465
450.90	0.099774
451.78	0.082338
452.60	0.068131
453.56	0.055215
454.67	0.044559
456.22	0.034227
457.70	0.029061
459.25	0.024540
461.40	0.020342
464.06	0.018082
467.09	0.016468
470.57	0.015499
475.01	0.015499
478.70	0.015822
482.40	0.017436
486.32	0.020019
489.80	0.021957
493.64	0.022603
497.79	0.022926
501.93	0.023571
506.51	0.023248
510.51	0.024217
514.28	0.026477
517.61	0.030029
520.79	0.033581
523.97	0.036487
526.78	0.038424
530.11	0.039393
533.14	0.039716
536.84	0.039393
540.46	0.038747
543.86	0.037779
547.41	0.037133
550.52	0.037779
553.48	0.038424
556.81	0.041331
560.65	0.045851
564.13	0.050694
567.68	0.054892
571.67	0.060381
574.04	0.062964
576.70	0.066516
579.14	0.068454
582.03	0.068131
584.54	0.068131
586.54	0.069422
588.61	0.075557
590.90	0.084598
592.97	0.092994
595.19	0.10203
597.78	0.11204
599.85	0.11979
601.55	0.12464
603.63	0.12948
605.55	0.13110
607.47	0.13142
610.06	0.13174
612.43	0.13174
614.28	0.12948
616.35	0.12399
618.12	0.11689
619.75	0.10914
621.89	0.10074
623.82	0.093962
625.52	0.089119
627.29	0.087182
628.99	0.086536
630.40	0.089442
632.17	0.095900
633.43	0.10429
634.84	0.11592
636.09	0.12948
637.13	0.14756
638.76	0.17469
640.16	0.20472
641.42	0.25089
642.82	0.30675
644.67	0.39555
646.30	0.49500
648.13	0.61834
649.26	0.69229
649.68	0.72167
650.54	0.76203
651.18	0.78431
652.00	0.78754
652.74	0.78399
653.40	0.76365
654.21	0.72264
655.47	0.65612
656.95	0.56442
657.91	0.49887
659.24	0.40523
659.92	0.36067
660.72	0.30933
661.46	0.26994
662.50	0.21763
663.24	0.18631
664.05	0.16145
664.94	0.13432
665.68	0.11334
666.64	0.093962
667.53	0.077818
668.64	0.063287
669.82	0.051663
671.50	0.038102
673.44	0.029061
675.66	0.020988
678.03	0.014207
680.91	0.0096868
684.24	0.0074266
687.42	0.0061350
691.20	0.0048434
695.19	0.0041545
700.22	0.0038747
706.21	0.0036753
710.72	0.0035518
715.31	0.0035518
720.00	0.0035518
