Wavelength (nm)	CHL092_2,3-di-CH2OH Chl a, MeOH (Sawicki, 2019).abs
370.21	0.71034
372.30	0.71427
374.71	0.72195
376.71	0.73047
378.25	0.73744
380.57	0.75061
382.40	0.75898
384.47	0.76765
386.10	0.77015
387.77	0.77133
389.49	0.77152
391.54	0.77230
394.65	0.77531
396.72	0.78110
398.60	0.78762
401.15	0.80356
402.46	0.81257
404.36	0.83271
406.08	0.85052
407.40	0.86291
409.25	0.88228
411.05	0.89622
413.38	0.90870
415.75	0.91548
417.96	0.92332
420.40	0.93649
422.00	0.94501
423.56	0.96205
424.81	0.97754
426.16	0.98838
427.60	0.99535
429.00	1.0000
430.72	0.99535
431.60	0.98296
432.67	0.96592
433.83	0.94501
434.99	0.91790
435.97	0.88305
437.13	0.84433
438.38	0.80018
439.41	0.75061
440.90	0.67858
442.57	0.60191
444.02	0.53375
445.82	0.46095
447.58	0.39124
449.82	0.32231
452.00	0.27119
453.63	0.23866
454.93	0.21775
456.97	0.19839
458.97	0.18755
461.98	0.16896
464.25	0.16199
466.69	0.15502
469.29	0.14960
472.54	0.14437
476.91	0.14019
482.02	0.13573
486.25	0.13320
491.87	0.13036
497.54	0.12803
505.44	0.12517
512.88	0.12384
520.73	0.12254
529.29	0.12127
535.05	0.12019
541.09	0.11979
546.99	0.12039
553.40	0.12236
560.10	0.12683
565.39	0.13246
570.85	0.14018
577.62	0.14860
583.10	0.15427
587.93	0.16020
593.46	0.17051
598.07	0.18367
603.18	0.20071
606.57	0.21001
610.71	0.22106
614.56	0.22749
619.35	0.23014
622.65	0.22863
625.58	0.22550
628.32	0.22120
632.22	0.21930
635.20	0.22124
638.50	0.22472
641.33	0.22988
643.24	0.23789
644.86	0.24563
646.58	0.26112
647.89	0.28126
649.14	0.30992
650.50	0.35019
651.70	0.39356
653.28	0.46017
654.39	0.50742
655.69	0.57248
656.85	0.63986
658.45	0.72738
659.70	0.79398
660.52	0.82651
661.92	0.87221
663.08	0.89854
664.06	0.91171
665.00	0.91868
666.00	0.91016
667.22	0.87918
668.61	0.81102
670.61	0.71266
672.89	0.57712
674.51	0.47256
676.19	0.37730
677.44	0.31379
678.42	0.27119
679.25	0.23402
680.56	0.19607
681.95	0.16121
683.53	0.12636
685.01	0.10158
687.30	0.071372
689.48	0.055107
691.52	0.045813
694.13	0.036519
696.73	0.029549
699.05	0.024127
701.35	0.021321
704.91	0.018249
711.18	0.013435
716.81	0.0092101
724.05	0.0055392
730.84	0.0032157
735.00	0.0023058
740.00	0.0012954
