Wavelength (nm)	CHL093_2-CH2OH Chl a, MeOH (Sawicki, 2019).abs
371.04	0.56054
372.37	0.57285
373.60	0.58615
374.73	0.60240
375.92	0.62160
377.10	0.63785
378.26	0.65213
379.87	0.66838
381.71	0.68217
382.50	0.68808
383.62	0.69989
384.74	0.71270
385.46	0.71270
386.32	0.70925
387.24	0.71220
388.10	0.71959
388.91	0.72107
389.61	0.72107
390.80	0.71368
391.92	0.70876
392.51	0.71023
393.43	0.71713
394.00	0.71368
394.62	0.70925
395.80	0.70383
396.99	0.70679
398.70	0.71368
400.08	0.71681
401.59	0.71910
402.98	0.72304
404.20	0.73436
405.41	0.74766
406.80	0.76686
407.78	0.78606
408.84	0.80477
410.28	0.81928
411.80	0.83235
413.45	0.84417
414.56	0.84860
415.95	0.85473
417.53	0.86091
418.65	0.86429
419.83	0.87272
420.95	0.88060
421.94	0.87962
423.01	0.88503
423.62	0.89537
424.66	0.90071
425.54	0.90604
426.53	0.90974
426.91	0.91630
427.79	0.92574
428.83	0.93477
430.31	0.94051
432.01	0.94420
433.00	0.94626
434.10	0.94256
435.25	0.93518
436.57	0.92164
438.71	0.88553
440.79	0.83424
443.37	0.75094
446.00	0.65000
448.40	0.52731
450.15	0.43662
452.00	0.35702
453.92	0.27536
455.94	0.19371
457.14	0.16170
458.62	0.13790
460.32	0.11534
462.46	0.093178
464.70	0.070610
466.82	0.056658
468.75	0.045990
470.69	0.038193
472.83	0.035321
474.97	0.033680
477.99	0.032859
481.83	0.032038
486.22	0.032859
491.38	0.034500
495.77	0.035731
500.92	0.037166
507.07	0.039014
513.98	0.042171
520.57	0.044348
527.92	0.048452
535.05	0.051734
540.81	0.055838
545.80	0.057889
550.74	0.058971
556.01	0.062813
559.85	0.067327
562.81	0.071822
566.60	0.077585
570.66	0.084971
574.72	0.093998
579.00	0.10344
582.29	0.11245
585.20	0.12015
589.15	0.12970
592.22	0.13708
595.24	0.14283
597.82	0.14652
602.26	0.15186
604.13	0.15751
605.94	0.16499
607.53	0.17673
609.39	0.18673
611.50	0.19945
613.78	0.21060
615.65	0.21971
617.35	0.22571
619.21	0.23187
621.08	0.23680
623.22	0.23545
626.29	0.23130
630.90	0.22900
635.84	0.22900
639.35	0.22859
641.82	0.22982
644.56	0.23146
646.26	0.23623
647.80	0.24254
649.28	0.25731
650.60	0.27372
651.97	0.29178
653.40	0.32138
655.26	0.35989
656.88	0.41283
658.50	0.46904
660.20	0.55439
661.85	0.64425
663.51	0.75381
664.45	0.81126
665.34	0.85270
666.17	0.89373
667.30	0.94051
668.26	0.96636
669.20	0.98647
670.07	0.99796
671.00	1.0000
671.72	0.99755
672.82	0.98647
673.81	0.96431
674.68	0.93395
675.80	0.89291
677.00	0.84778
678.45	0.77515
680.22	0.67667
681.97	0.56219
683.40	0.46494
685.00	0.35374
685.80	0.30573
686.59	0.27167
687.52	0.23843
688.51	0.20766
689.45	0.18058
690.59	0.15186
691.81	0.12313
693.06	0.10221
694.76	0.083330
696.41	0.066096
698.33	0.048862
699.87	0.036962
702.28	0.025063
704.42	0.016036
706.45	0.011112
708.54	0.0065979
710.95	0.0045463
714.02	0.0033153
717.04	0.0024946
720.06	0.0020843
722.91	0.0020843
	0.0020843
